population,crude,crude_lo,crude_hi,asr,asr_lo,asr_hi,known_count,variant,position,year,sex,count,unknown_excluded,per,unit,script
9859209.0,0.3955692591565916,0.28128841258397586,0.5407561992633776,0.5271032210487168,0.3743117485574403,0.7234933199393728,39.0,con_rett,principal,2020,MUJER,39,0,100000.0,"GRD episodes with documented F84 (observed panel, all activity) per 100,000 INE resident population (base 2017, 30 June); crude with exact Poisson limits, WHO-standardised with Fay-Feuer limits",lancet_americas/pipeline/06_models.py
9969851.0,0.38114912650148935,0.269723806756953,0.5231569550965165,0.5250052332360211,0.3709242102023548,0.7234571633841155,38.0,con_rett,principal,2021,MUJER,38,0,100000.0,"GRD episodes with documented F84 (observed panel, all activity) per 100,000 INE resident population (base 2017, 30 June); crude with exact Poisson limits, WHO-standardised with Fay-Feuer limits",lancet_americas/pipeline/06_models.py
10045585.0,0.7864151266451879,0.6226122616014386,0.9801078898309629,1.0592204433850065,0.8375852234120184,1.3237575228216045,79.0,con_rett,principal,2022,MUJER,79,0,100000.0,"GRD episodes with documented F84 (observed panel, all activity) per 100,000 INE resident population (base 2017, 30 June); crude with exact Poisson limits, WHO-standardised with Fay-Feuer limits",lancet_americas/pipeline/06_models.py
10112423.0,1.0482156452513902,0.8581930835648935,1.2677866276751601,1.4281742183899455,1.1679070114141694,1.7311695939963916,106.0,con_rett,principal,2023,MUJER,106,0,100000.0,"GRD episodes with documented F84 (observed panel, all activity) per 100,000 INE resident population (base 2017, 30 June); crude with exact Poisson limits, WHO-standardised with Fay-Feuer limits",lancet_americas/pipeline/06_models.py
10175877.0,1.356148467596454,1.1393309065947734,1.6022179887169934,1.8553321937961909,1.5574286567749291,2.1956171255640893,138.0,con_rett,principal,2024,MUJER,138,0,100000.0,"GRD episodes with documented F84 (observed panel, all activity) per 100,000 INE resident population (base 2017, 30 June); crude with exact Poisson limits, WHO-standardised with Fay-Feuer limits",lancet_americas/pipeline/06_models.py
19107216.0,1.2613035828976864,1.1070744920120714,1.4310075852719026,1.5894512315189435,1.3941623034662807,1.805241223821441,241.0,con_rett,principal,2019,TOTAL,241,0,100000.0,"GRD episodes with documented F84 (observed panel, all activity) per 100,000 INE resident population (base 2017, 30 June); crude with exact Poisson limits, WHO-standardised with Fay-Feuer limits",lancet_americas/pipeline/06_models.py
19458310.0,0.8376883706755622,0.7140241968035136,0.9766167311371416,1.0766526212194307,0.9171001364079523,1.2568975019531192,163.0,con_rett,principal,2020,TOTAL,163,0,100000.0,"GRD episodes with documented F84 (observed panel, all activity) per 100,000 INE resident population (base 2017, 30 June); crude with exact Poisson limits, WHO-standardised with Fay-Feuer limits",lancet_americas/pipeline/06_models.py
19678363.0,0.9604457443944905,0.8283932819258276,1.107564540389356,1.2201519734147466,1.0510283171603145,1.4098431020394653,189.0,con_rett,principal,2021,TOTAL,189,0,100000.0,"GRD episodes with documented F84 (observed panel, all activity) per 100,000 INE resident population (base 2017, 30 June); crude with exact Poisson limits, WHO-standardised with Fay-Feuer limits",lancet_americas/pipeline/06_models.py
19828563.0,1.533141862070388,1.365624150776696,1.715537272220822,1.9836359416278138,1.7654967229223613,2.2223078696408107,304.0,con_rett,principal,2022,TOTAL,304,0,100000.0,"GRD episodes with documented F84 (observed panel, all activity) per 100,000 INE resident population (base 2017, 30 June); crude with exact Poisson limits, WHO-standardised with Fay-Feuer limits",lancet_americas/pipeline/06_models.py
19960889.0,1.833585668453945,1.6505258432884682,2.0314000251803543,2.412589539747773,2.170531510573378,2.675193369365409,366.0,con_rett,principal,2023,TOTAL,366,0,100000.0,"GRD episodes with documented F84 (observed panel, all activity) per 100,000 INE resident population (base 2017, 30 June); crude with exact Poisson limits, WHO-standardised with Fay-Feuer limits",lancet_americas/pipeline/06_models.py
20086377.0,1.9963779431203545,1.8057378781234867,2.2016691545950793,2.62221019327155,2.370044203651649,2.89483843676714,399.0,con_rett,principal,2024,TOTAL,401,2,100000.0,"GRD episodes with documented F84 (observed panel, all activity) per 100,000 INE resident population (base 2017, 30 June); crude with exact Poisson limits, WHO-standardised with Fay-Feuer limits",lancet_americas/pipeline/06_models.py
9424139.0,18.951333379102323,18.082510908702787,19.851112696298138,23.77508548708096,22.680626088434316,24.909792186797425,1786.0,sin_rett,any,2019,HOMBRE,1786,0,100000.0,"GRD episodes with documented F84 (observed panel, all activity) per 100,000 INE resident population (base 2017, 30 June); crude with exact Poisson limits, WHO-standardised with Fay-Feuer limits",lancet_americas/pipeline/06_models.py
9599101.0,12.56367653595894,11.864521241309463,13.293276435221504,15.94170272029998,15.050506047640578,16.873227732484704,1206.0,sin_rett,any,2020,HOMBRE,1206,0,100000.0,"GRD episodes with documented F84 (observed panel, all activity) per 100,000 INE resident population (base 2017, 30 June); crude with exact Poisson limits, WHO-standardised with Fay-Feuer limits",lancet_americas/pipeline/06_models.py
9708512.0,18.602232762342982,17.75409513501588,19.48041915919842,23.77050769897447,22.680858910863176,24.900488035247403,1806.0,sin_rett,any,2021,HOMBRE,1806,0,100000.0,"GRD episodes with documented F84 (observed panel, all activity) per 100,000 INE resident population (base 2017, 30 June); crude with exact Poisson limits, WHO-standardised with Fay-Feuer limits",lancet_americas/pipeline/06_models.py
9782978.0,29.500219667262872,28.433654015425468,30.59655641291554,38.60062739668401,37.19858590138649,40.04330526861004,2886.0,sin_rett,any,2022,HOMBRE,2886,0,100000.0,"GRD episodes with documented F84 (observed panel, all activity) per 100,000 INE resident population (base 2017, 30 June); crude with exact Poisson limits, WHO-standardised with Fay-Feuer limits",lancet_americas/pipeline/06_models.py
9848466.0,45.661933543762046,44.33700795981604,47.01639559205172,60.64064893984254,58.87425788447781,62.44773388397961,4497.0,sin_rett,any,2023,HOMBRE,4497,0,100000.0,"GRD episodes with documented F84 (observed panel, all activity) per 100,000 INE resident population (base 2017, 30 June); crude with exact Poisson limits, WHO-standardised with Fay-Feuer limits",lancet_americas/pipeline/06_models.py
9910500.0,59.01821300640734,57.515299771936945,60.5504597358609,78.96505127948203,76.94637631408733,81.02438512555734,5846.0,sin_rett,any,2024,HOMBRE,5849,3,100000.0,"GRD episodes with documented F84 (observed panel, all activity) per 100,000 INE resident population (base 2017, 30 June); crude with exact Poisson limits, WHO-standardised with Fay-Feuer limits",lancet_americas/pipeline/06_models.py
9683077.0,5.64903077812972,5.185486798750046,6.142895135294497,7.596088392699671,6.969747793984353,8.264695071210626,547.0,sin_rett,any,2019,MUJER,547,0,100000.0,"GRD episodes with documented F84 (observed panel, all activity) per 100,000 INE resident population (base 2017, 30 June); crude with exact Poisson limits, WHO-standardised with Fay-Feuer limits",lancet_americas/pipeline/06_models.py
9859209.0,4.087549011284779,3.698162227604349,4.506783673864961,5.513765970717763,4.9852976623177785,6.084462428181094,403.0,sin_rett,any,2020,MUJER,403,0,100000.0,"GRD episodes with documented F84 (observed panel, all activity) per 100,000 INE resident population (base 2017, 30 June); crude with exact Poisson limits, WHO-standardised with Fay-Feuer limits",lancet_americas/pipeline/06_models.py
9969851.0,5.616934495811422,5.161291599561597,6.102020786233777,7.653961891515138,7.029782586202432,8.3203360620392,560.0,sin_rett,any,2021,MUJER,560,0,100000.0,"GRD episodes with documented F84 (observed panel, all activity) per 100,000 INE resident population (base 2017, 30 June); crude with exact Poisson limits, WHO-standardised with Fay-Feuer limits",lancet_americas/pipeline/06_models.py
10045585.0,9.675892444292693,9.077091754787912,10.303816310479696,13.369664757745113,12.537150791165702,14.244433425380157,972.0,sin_rett,any,2022,MUJER,972,0,100000.0,"GRD episodes with documented F84 (observed panel, all activity) per 100,000 INE resident population (base 2017, 30 June); crude with exact Poisson limits, WHO-standardised with Fay-Feuer limits",lancet_americas/pipeline/06_models.py
10112423.0,19.026102843996934,18.185357806562617,19.895689385374425,26.32669578241008,25.156541412799577,27.538741912401953,1924.0,sin_rett,any,2023,MUJER,1924,0,100000.0,"GRD episodes with documented F84 (observed panel, all activity) per 100,000 INE resident population (base 2017, 30 June); crude with exact Poisson limits, WHO-standardised with Fay-Feuer limits",lancet_americas/pipeline/06_models.py
10175877.0,28.28257456335213,27.258625057392628,29.33514592430097,38.96477347926367,37.54480848302132,40.426288378073366,2878.0,sin_rett,any,2024,MUJER,2878,0,100000.0,"GRD episodes with documented F84 (observed panel, all activity) per 100,000 INE resident population (base 2017, 30 June); crude with exact Poisson limits, WHO-standardised with Fay-Feuer limits",lancet_americas/pipeline/06_models.py
19107216.0,12.215280342253942,11.724690314868749,12.721123930265122,15.828279198822013,15.189640241478433,16.487413885874588,2333.0,sin_rett,any,2019,TOTAL,2334,1,100000.0,"GRD episodes with documented F84 (observed panel, all activity) per 100,000 INE resident population (base 2017, 30 June); crude with exact Poisson limits, WHO-standardised with Fay-Feuer limits",lancet_americas/pipeline/06_models.py
19458310.0,8.268960665134845,7.869813210667412,8.6831076221802,10.818551276285788,10.293672810913534,11.363938694941673,1609.0,sin_rett,any,2020,TOTAL,1609,0,100000.0,"GRD episodes with documented F84 (observed panel, all activity) per 100,000 INE resident population (base 2017, 30 June); crude with exact Poisson limits, WHO-standardised with Fay-Feuer limits",lancet_americas/pipeline/06_models.py
19678363.0,12.028439560750048,11.54869861457722,12.522990629704696,15.848836869706718,15.213005409410476,16.505184919653882,2366.0,sin_rett,any,2021,TOTAL,2367,1,100000.0,"GRD episodes with documented F84 (observed panel, all activity) per 100,000 INE resident population (base 2017, 30 June); crude with exact Poisson limits, WHO-standardised with Fay-Feuer limits",lancet_americas/pipeline/06_models.py
19828563.0,19.46182383463693,18.85257784296377,20.085745853697492,26.212035690186212,25.387191323835545,27.057536677784263,3858.0,sin_rett,any,2022,TOTAL,3859,1,100000.0,"GRD episodes with documented F84 (observed panel, all activity) per 100,000 INE resident population (base 2017, 30 June); crude with exact Poisson limits, WHO-standardised with Fay-Feuer limits",lancet_americas/pipeline/06_models.py
