year,series,module,code,variant,identical_across_variants,indicator,era,era_start,era_end,domain,setting,unit,measure,month,aggregation_rule,total,total_dedup,n_reporting_establishments,n_establishments_value_gt0,n_rows,n_rows_value,n_rows_zero,n_rows_empty,n_rows_exact_duplicate,months_covered,n_stable_panel_establishments,stable_panel_total,comparability_warning,note,source_file,script
2023,P,P6,P6241010,single_code,True,Autism under control in primary care,2021–2025,2021,2025,follow_up,primary_care,people in stock,december_stock,12,stock MES=12; COL01; never summed with the other semester,9717.0,9717.0,956,956,956,956,0,0,0,1,353,6359.0,Strict series begins in 2021,,REM/SerieP/SerieP_2023.csv,lancet_americas/pipeline/02_rem_pathway.py
2024,P,P6,P6241010,single_code,True,Autism under control in primary care,2021–2025,2021,2025,follow_up,primary_care,people in stock,december_stock,12,stock MES=12; COL01; never summed with the other semester,15934.0,15934.0,1160,1159,1160,1159,1,0,0,1,353,9152.0,Strict series begins in 2021,,REM/SerieP/SerieP_2024.csv,lancet_americas/pipeline/02_rem_pathway.py
2025,P,P6,P6241010,single_code,True,Autism under control in primary care,2021–2025,2021,2025,follow_up,primary_care,people in stock,december_stock,12,stock MES=12; COL01; never summed with the other semester,21843.0,21843.0,1274,1273,1274,1273,0,1,0,1,353,11783.0,Strict series begins in 2021,,REM/SerieP/SerieP_2025.csv,lancet_americas/pipeline/02_rem_pathway.py
2021,P,P6,P6241010,single_code,True,Autism under control in primary care,2021–2025,2021,2025,follow_up,primary_care,people in stock,june_stock,06,stock MES=06; COL01; never summed with the other semester,1448.0,1448.0,359,353,359,353,6,0,0,1,247,1130.0,Strict series begins in 2021,,REM/SerieP/SerieP_2021.csv,lancet_americas/pipeline/02_rem_pathway.py
2022,P,P6,P6241010,single_code,True,Autism under control in primary care,2021–2025,2021,2025,follow_up,primary_care,people in stock,june_stock,06,stock MES=06; COL01; never summed with the other semester,3264.0,3264.0,592,587,592,587,5,0,0,1,247,1943.0,Strict series begins in 2021,,REM/SerieP/SerieP_2022.csv,lancet_americas/pipeline/02_rem_pathway.py
2023,P,P6,P6241010,single_code,True,Autism under control in primary care,2021–2025,2021,2025,follow_up,primary_care,people in stock,june_stock,06,stock MES=06; COL01; never summed with the other semester,7199.0,7199.0,835,834,835,834,1,0,0,1,247,3704.0,Strict series begins in 2021,,REM/SerieP/SerieP_2023.csv,lancet_americas/pipeline/02_rem_pathway.py
2024,P,P6,P6241010,single_code,True,Autism under control in primary care,2021–2025,2021,2025,follow_up,primary_care,people in stock,june_stock,06,stock MES=06; COL01; never summed with the other semester,13996.0,13996.0,1061,1061,1061,1061,0,0,0,1,247,6131.0,Strict series begins in 2021,,REM/SerieP/SerieP_2024.csv,lancet_americas/pipeline/02_rem_pathway.py
2025,P,P6,P6241010,single_code,True,Autism under control in primary care,2021–2025,2021,2025,follow_up,primary_care,people in stock,june_stock,06,stock MES=06; COL01; never summed with the other semester,18013.0,18013.0,1204,1204,1204,1204,0,0,0,1,247,7163.0,Strict series begins in 2021,,REM/SerieP/SerieP_2025.csv,lancet_americas/pipeline/02_rem_pathway.py
2021,P,P6,P6241060,single_code,True,Autism under control in specialty care,2021–2025,2021,2025,follow_up,specialty,people in stock,december_stock,12,stock MES=12; COL01; never summed with the other semester,3562.0,3562.0,95,94,95,94,1,0,0,1,68,3027.0,Strict series begins in 2021,,REM/SerieP/SerieP_2021.csv,lancet_americas/pipeline/02_rem_pathway.py
2022,P,P6,P6241060,single_code,True,Autism under control in specialty care,2021–2025,2021,2025,follow_up,specialty,people in stock,december_stock,12,stock MES=12; COL01; never summed with the other semester,4684.0,4684.0,113,113,113,113,0,0,0,1,68,3754.0,Strict series begins in 2021,,REM/SerieP/SerieP_2022.csv,lancet_americas/pipeline/02_rem_pathway.py
2023,P,P6,P6241060,single_code,True,Autism under control in specialty care,2021–2025,2021,2025,follow_up,specialty,people in stock,december_stock,12,stock MES=12; COL01; never summed with the other semester,7982.0,7982.0,129,129,129,129,0,0,0,1,68,5913.0,Strict series begins in 2021,,REM/SerieP/SerieP_2023.csv,lancet_americas/pipeline/02_rem_pathway.py
2024,P,P6,P6241060,single_code,True,Autism under control in specialty care,2021–2025,2021,2025,follow_up,specialty,people in stock,december_stock,12,stock MES=12; COL01; never summed with the other semester,8835.0,8835.0,144,144,144,144,0,0,0,1,68,5733.0,Strict series begins in 2021,,REM/SerieP/SerieP_2024.csv,lancet_americas/pipeline/02_rem_pathway.py
2025,P,P6,P6241060,single_code,True,Autism under control in specialty care,2021–2025,2021,2025,follow_up,specialty,people in stock,december_stock,12,stock MES=12; COL01; never summed with the other semester,12645.0,12645.0,153,153,153,153,0,0,0,1,68,8369.0,Strict series begins in 2021,,REM/SerieP/SerieP_2025.csv,lancet_americas/pipeline/02_rem_pathway.py
2021,P,P6,P6241060,single_code,True,Autism under control in specialty care,2021–2025,2021,2025,follow_up,specialty,people in stock,june_stock,06,stock MES=06; COL01; never summed with the other semester,3204.0,3204.0,90,90,90,90,0,0,0,1,59,2561.0,Strict series begins in 2021,,REM/SerieP/SerieP_2021.csv,lancet_americas/pipeline/02_rem_pathway.py
2022,P,P6,P6241060,single_code,True,Autism under control in specialty care,2021–2025,2021,2025,follow_up,specialty,people in stock,june_stock,06,stock MES=06; COL01; never summed with the other semester,4427.0,4427.0,102,102,102,102,0,0,0,1,59,3262.0,Strict series begins in 2021,,REM/SerieP/SerieP_2022.csv,lancet_americas/pipeline/02_rem_pathway.py
2023,P,P6,P6241060,single_code,True,Autism under control in specialty care,2021–2025,2021,2025,follow_up,specialty,people in stock,june_stock,06,stock MES=06; COL01; never summed with the other semester,6624.0,6624.0,123,123,123,123,0,0,0,1,59,4662.0,Strict series begins in 2021,,REM/SerieP/SerieP_2023.csv,lancet_americas/pipeline/02_rem_pathway.py
2024,P,P6,P6241060,single_code,True,Autism under control in specialty care,2021–2025,2021,2025,follow_up,specialty,people in stock,june_stock,06,stock MES=06; COL01; never summed with the other semester,9262.0,9262.0,139,139,139,139,0,0,0,1,59,5978.0,Strict series begins in 2021,,REM/SerieP/SerieP_2024.csv,lancet_americas/pipeline/02_rem_pathway.py
2025,P,P6,P6241060,single_code,True,Autism under control in specialty care,2021–2025,2021,2025,follow_up,specialty,people in stock,june_stock,06,stock MES=06; COL01; never summed with the other semester,9940.0,9940.0,142,142,142,142,0,0,0,1,59,5823.0,Strict series begins in 2021,,REM/SerieP/SerieP_2025.csv,lancet_americas/pipeline/02_rem_pathway.py
