year,series,module,code,variant,identical_across_variants,indicator,era,era_start,era_end,domain,setting,unit,measure,month,aggregation_rule,total,total_dedup,n_reporting_establishments,n_establishments_value_gt0,n_rows,n_rows_value,n_rows_zero,n_rows_empty,n_rows_exact_duplicate,months_covered,n_stable_panel_establishments,stable_panel_total,comparability_warning,note,source_file,script
2025,P,P6,P6241040,single_code,True,Childhood disintegrative disorder under control in primary care,2021–2025,2021,2025,follow_up,primary_care,people in stock,december_stock,12,stock MES=12; COL01; never summed with the other semester,922.0,922.0,41,41,41,41,0,0,0,1,4,56.0,Do not include in strict autism outcome,,REM/SerieP/SerieP_2025.csv,study/pipeline/02_rem_pathway.py
2021,P,P6,P6241040,single_code,True,Childhood disintegrative disorder under control in primary care,2021–2025,2021,2025,follow_up,primary_care,people in stock,june_stock,06,stock MES=06; COL01; never summed with the other semester,59.0,59.0,26,25,26,25,1,0,0,1,2,7.0,Do not include in strict autism outcome,,REM/SerieP/SerieP_2021.csv,study/pipeline/02_rem_pathway.py
2022,P,P6,P6241040,single_code,True,Childhood disintegrative disorder under control in primary care,2021–2025,2021,2025,follow_up,primary_care,people in stock,june_stock,06,stock MES=06; COL01; never summed with the other semester,72.0,72.0,28,26,28,26,2,0,0,1,2,7.0,Do not include in strict autism outcome,,REM/SerieP/SerieP_2022.csv,study/pipeline/02_rem_pathway.py
2023,P,P6,P6241040,single_code,True,Childhood disintegrative disorder under control in primary care,2021–2025,2021,2025,follow_up,primary_care,people in stock,june_stock,06,stock MES=06; COL01; never summed with the other semester,48.0,48.0,27,26,27,26,1,0,0,1,2,5.0,Do not include in strict autism outcome,,REM/SerieP/SerieP_2023.csv,study/pipeline/02_rem_pathway.py
2024,P,P6,P6241040,single_code,True,Childhood disintegrative disorder under control in primary care,2021–2025,2021,2025,follow_up,primary_care,people in stock,june_stock,06,stock MES=06; COL01; never summed with the other semester,265.0,265.0,41,39,41,39,2,0,0,1,2,6.0,Do not include in strict autism outcome,,REM/SerieP/SerieP_2024.csv,study/pipeline/02_rem_pathway.py
2025,P,P6,P6241040,single_code,True,Childhood disintegrative disorder under control in primary care,2021–2025,2021,2025,follow_up,primary_care,people in stock,june_stock,06,stock MES=06; COL01; never summed with the other semester,321.0,321.0,37,37,37,37,0,0,0,1,2,7.0,Do not include in strict autism outcome,,REM/SerieP/SerieP_2025.csv,study/pipeline/02_rem_pathway.py
2021,P,P6,P6241050,single_code,True,Pervasive developmental disorder unspecified under control in primary care,2021–2025,2021,2025,follow_up,primary_care,people in stock,december_stock,12,stock MES=12; COL01; never summed with the other semester,2649.0,2648.0,410,406,411,407,4,0,1,1,152,1447.0,Broad sensitivity only,,REM/SerieP/SerieP_2021.csv,study/pipeline/02_rem_pathway.py
2022,P,P6,P6241050,single_code,True,Pervasive developmental disorder unspecified under control in primary care,2021–2025,2021,2025,follow_up,primary_care,people in stock,december_stock,12,stock MES=12; COL01; never summed with the other semester,3160.0,3160.0,451,450,451,450,1,0,0,1,152,1598.0,Broad sensitivity only,,REM/SerieP/SerieP_2022.csv,study/pipeline/02_rem_pathway.py
2023,P,P6,P6241050,single_code,True,Pervasive developmental disorder unspecified under control in primary care,2021–2025,2021,2025,follow_up,primary_care,people in stock,december_stock,12,stock MES=12; COL01; never summed with the other semester,3167.0,3167.0,463,463,463,463,0,0,0,1,152,1820.0,Broad sensitivity only,,REM/SerieP/SerieP_2023.csv,study/pipeline/02_rem_pathway.py
2024,P,P6,P6241050,single_code,True,Pervasive developmental disorder unspecified under control in primary care,2021–2025,2021,2025,follow_up,primary_care,people in stock,december_stock,12,stock MES=12; COL01; never summed with the other semester,3027.0,3027.0,450,450,450,450,0,0,0,1,152,1931.0,Broad sensitivity only,,REM/SerieP/SerieP_2024.csv,study/pipeline/02_rem_pathway.py
2025,P,P6,P6241050,single_code,True,Pervasive developmental disorder unspecified under control in primary care,2021–2025,2021,2025,follow_up,primary_care,people in stock,december_stock,12,stock MES=12; COL01; never summed with the other semester,3209.0,3209.0,473,472,473,472,0,1,0,1,152,1959.0,Broad sensitivity only,,REM/SerieP/SerieP_2025.csv,study/pipeline/02_rem_pathway.py
2021,P,P6,P6241050,single_code,True,Pervasive developmental disorder unspecified under control in primary care,2021–2025,2021,2025,follow_up,primary_care,people in stock,june_stock,06,stock MES=06; COL01; never summed with the other semester,3007.0,3007.0,374,374,374,374,0,0,0,1,117,1339.0,Broad sensitivity only,,REM/SerieP/SerieP_2021.csv,study/pipeline/02_rem_pathway.py
2022,P,P6,P6241050,single_code,True,Pervasive developmental disorder unspecified under control in primary care,2021–2025,2021,2025,follow_up,primary_care,people in stock,june_stock,06,stock MES=06; COL01; never summed with the other semester,2722.0,2722.0,428,425,428,425,3,0,0,1,117,1306.0,Broad sensitivity only,,REM/SerieP/SerieP_2022.csv,study/pipeline/02_rem_pathway.py
