year,series,sheet,code,in_era,era,indicator,found_in_dictionary,label,section,col01_meaning,col02_meaning,col03_meaning,col04_meaning,col37_meaning,n_col_tokens,age_columns,layout_check,dictionary_file,excel_row
2022,A,A03,09600217,False,2023–2023,M-CHAT-R/F second part: medium risk in first part,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2022/SA_22_V1.1-CODIGOS.xlsm,
2023,A,A03,09600217,True,2023–2023,M-CHAT-R/F second part: medium risk in first part,True,Resultado M-CHAT R/F 2° Parte | Riesgo Medio en 1° parte,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (MCHAT-RF),16 - 30 meses | Hombres,16 - 30 meses | Mujeres,Pueblos Originarios,Migrantes,absent,4.0,,ok,REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,222.0
2024,A,A03,09600217,False,2023–2023,M-CHAT-R/F second part: medium risk in first part,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,
2025,A,A03,09600217,False,2023–2023,M-CHAT-R/F second part: medium risk in first part,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2025/DICCIONARIO CODIGOS SA_25_V1.5.xlsm,
2019,A,A03,09600218,False,2023–2024,M-CHAT-R/F second part: no referral required,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2019/SA_19_V1.3-CODIGOS.xlsm,
2020,A,A03,09600218,False,2023–2024,M-CHAT-R/F second part: no referral required,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2020/SA_20_V1.2-CODIGOS.xlsx,
2021,A,A03,09600218,False,2023–2024,M-CHAT-R/F second part: no referral required,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2021/SA_21_V1.2-CODIGOS.xlsm,
2022,A,A03,09600218,False,2023–2024,M-CHAT-R/F second part: no referral required,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2022/SA_22_V1.1-CODIGOS.xlsm,
2023,A,A03,09600218,True,2023–2024,M-CHAT-R/F second part: no referral required,True,[Resultado M-CHAT R/F 2° Parte] No requiere derivación,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (MCHAT-RF),16 - 30 meses | Hombres,16 - 30 meses | Mujeres,Pueblos Originarios,Migrantes,absent,4.0,,ok,REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,223.0
2024,A,A03,09600218,True,2023–2024,M-CHAT-R/F second part: no referral required,True,Resultado M-CHAT R/F 2° Parte | No requiere derivación,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (MCHAT-RF),16 - 30 meses | Hombres,16 - 30 meses | Mujeres,Pueblos Originarios,Migrantes,absent,4.0,,ok,REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,224.0
2025,A,A03,09600218,False,2023–2024,M-CHAT-R/F second part: no referral required,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2025/DICCIONARIO CODIGOS SA_25_V1.5.xlsm,
2019,A,A03,09600219,False,2023–2024,M-CHAT-R/F second part: referral required,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2019/SA_19_V1.3-CODIGOS.xlsm,
2020,A,A03,09600219,False,2023–2024,M-CHAT-R/F second part: referral required,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2020/SA_20_V1.2-CODIGOS.xlsx,
2021,A,A03,09600219,False,2023–2024,M-CHAT-R/F second part: referral required,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2021/SA_21_V1.2-CODIGOS.xlsm,
2022,A,A03,09600219,False,2023–2024,M-CHAT-R/F second part: referral required,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2022/SA_22_V1.1-CODIGOS.xlsm,
2023,A,A03,09600219,True,2023–2024,M-CHAT-R/F second part: referral required,True,[Resultado M-CHAT R/F 2° Parte] Requiere derivación,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (MCHAT-RF),16 - 30 meses | Hombres,16 - 30 meses | Mujeres,Pueblos Originarios,Migrantes,absent,4.0,,ok,REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,224.0
2024,A,A03,09600219,True,2023–2024,M-CHAT-R/F second part: referral required,True,[Resultado M-CHAT R/F 2° Parte] Requiere derivación,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (MCHAT-RF),16 - 30 meses | Hombres,16 - 30 meses | Mujeres,Pueblos Originarios,Migrantes,absent,4.0,,ok,REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,225.0
2025,A,A03,09600219,False,2023–2024,M-CHAT-R/F second part: referral required,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2025/DICCIONARIO CODIGOS SA_25_V1.5.xlsm,
2019,A,A03,03700104,False,2024–2024,Children aged 31–59 months evaluated at integral health control,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2019/SA_19_V1.3-CODIGOS.xlsm,
2020,A,A03,03700104,False,2024–2024,Children aged 31–59 months evaluated at integral health control,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2020/SA_20_V1.2-CODIGOS.xlsx,
2021,A,A03,03700104,False,2024–2024,Children aged 31–59 months evaluated at integral health control,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2021/SA_21_V1.2-CODIGOS.xlsm,
2022,A,A03,03700104,False,2024–2024,Children aged 31–59 months evaluated at integral health control,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2022/SA_22_V1.1-CODIGOS.xlsm,
2023,A,A03,03700104,False,2024–2024,Children aged 31–59 months evaluated at integral health control,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,
2024,A,A03,03700104,True,2024–2024,Children aged 31–59 months evaluated at integral health control,True,Niños/as evaluados en Control de Salud Integral,SECCIÓN F1: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (31 A 59 MESES),31-59 meses | Hombres,31-59 meses | Mujeres,Pueblos Originarios,Migrantes,absent,4.0,,ok,REM/SerieA/metadata/diccionarios/2024/DICCIONARIO CODIGOS SA_24_V1.1.xlsm,230.0
2025,A,A03,03700104,False,2024–2024,Children aged 31–59 months evaluated at integral health control,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2025/DICCIONARIO CODIGOS SA_25_V1.5.xlsm,
2019,A,A03,03700105,False,2024–2024,Children aged 31–59 months suspected elsewhere,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2019/SA_19_V1.3-CODIGOS.xlsm,
2020,A,A03,03700105,False,2024–2024,Children aged 31–59 months suspected elsewhere,False,,,,,,,,,,,REM/SerieA/metadata/diccionarios/2020/SA_20_V1.2-CODIGOS.xlsx,
