year,variant,position,panel,activity,n_episodes_cell,n_invalid_dates,n_valid_dates,mean_days,sd_days,median_days,q25_days,q75_days,p90_days,max_days,total_days,n_los_zero,unit,denominator,script
2019,sin_rett,principal,fixed65,hospitalisation,203,0,203,16.064,25.3385,7.0,1.0,21.0,37.0,196.0,3261.0,24,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,sin_rett,principal,fixed65,other,24,0,24,2.875,4.7668,1.0,0.0,3.25,7.0,22.0,69.0,9,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,sin_rett,principal,observed,all,228,0,228,14.6053,24.311,5.0,1.0,19.25,35.6,196.0,3330.0,34,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,sin_rett,principal,observed,cma,1,0,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,sin_rett,principal,observed,hospitalisation,203,0,203,16.064,25.3385,7.0,1.0,21.0,37.0,196.0,3261.0,24,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,sin_rett,principal,observed,other,24,0,24,2.875,4.7668,1.0,0.0,3.25,7.0,22.0,69.0,9,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,sin_rett,secondary_only,fixed65,all,2106,0,2106,7.1059,24.9212,2.0,0.0,5.0,14.0,557.0,14965.0,590,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,sin_rett,secondary_only,fixed65,cma,167,0,167,0.0479,0.2142,0.0,0.0,0.0,0.0,1.0,8.0,159,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,sin_rett,secondary_only,fixed65,hospitalisation,1708,0,1708,8.6499,27.4333,3.0,1.0,7.0,17.0,557.0,14774.0,254,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,sin_rett,secondary_only,fixed65,other,231,0,231,0.7922,2.1609,0.0,0.0,0.0,3.0,15.0,183.0,177,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,sin_rett,secondary_only,observed,all,2106,0,2106,7.1059,24.9212,2.0,0.0,5.0,14.0,557.0,14965.0,590,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,sin_rett,secondary_only,observed,cma,167,0,167,0.0479,0.2142,0.0,0.0,0.0,0.0,1.0,8.0,159,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,sin_rett,secondary_only,observed,hospitalisation,1708,0,1708,8.6499,27.4333,3.0,1.0,7.0,17.0,557.0,14774.0,254,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,sin_rett,secondary_only,observed,other,231,0,231,0.7922,2.1609,0.0,0.0,0.0,3.0,15.0,183.0,177,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,strict_autism_f840,any,fixed65,all,1400,0,1400,6.8486,22.3265,2.0,0.0,5.0,15.1,557.0,9588.0,430,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,strict_autism_f840,any,fixed65,cma,102,0,102,0.0098,0.099,0.0,0.0,0.0,0.0,1.0,1.0,101,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,strict_autism_f840,any,fixed65,hospitalisation,1111,0,1111,8.4968,24.7811,3.0,1.0,7.0,21.0,557.0,9440.0,183,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
