year,category,panel,n_episodes,sex,age_group
2019,F84,observed,5,HOMBRE,40-44
2019,F84,observed,3,HOMBRE,45-49
2019,F84,observed,573,HOMBRE,5-9
2019,F84,observed,4,HOMBRE,50-54
2019,F84,observed,171,MUJER,0-4
2019,F84,observed,159,MUJER,10-14
2019,F84,observed,58,MUJER,15-19
2019,F84,observed,24,MUJER,20-24
2019,F84,observed,9,MUJER,25-29
2019,F84,observed,13,MUJER,30-34
2019,F84,observed,4,MUJER,35-39
2019,F84,observed,2,MUJER,45-49
2019,F84,observed,144,MUJER,5-9
2019,F84,observed,2,MUJER,50-54
2019,F84,observed,1,MUJER,60-64
2019,F88,observed,19,,
2019,F88,fixed65,19,,
2019,F88,observed,3,HOMBRE,10-14
2019,F88,observed,1,HOMBRE,5-9
2019,F88,observed,1,HOMBRE,80+
2019,F88,observed,6,MUJER,15-19
2019,F89,observed,121,,
2019,F89,fixed65,121,,
2019,F89,observed,13,HOMBRE,0-4
2019,F89,observed,22,HOMBRE,10-14
2019,F89,observed,9,HOMBRE,15-19
2019,F89,observed,15,MUJER,0-4
2019,F89,observed,22,MUJER,10-14
2019,F89,observed,15,MUJER,15-19
2019,F89,observed,9,MUJER,5-9
2019,F80,observed,6,HOMBRE,50-54
2019,F80,observed,3,MUJER,20-24
2019,F80,observed,1,MUJER,45-49
2019,F80,observed,4,MUJER,50-54
2019,F80,observed,5,MUJER,65-69
2019,F81,observed,1,HOMBRE,50-54
2019,F81,observed,1,MUJER,20-24
2019,F81,observed,1,MUJER,25-29
2019,F82,observed,3,HOMBRE,30-34
2019,F82,observed,3,MUJER,25-29
2019,F83,observed,2,HOMBRE,15-19
2019,F83,observed,3,HOMBRE,30-34
2019,F83,observed,1,MUJER,20-24
2019,F84,observed,3,MUJER,40-44
2019,F88,observed,4,MUJER,10-14
2019,F89,observed,2,HOMBRE,40-44
2019,F80,observed,7,HOMBRE,15-19
2019,F80,observed,6,HOMBRE,20-24
2019,F80,observed,3,HOMBRE,25-29
2019,F80,observed,1,HOMBRE,35-39
2019,F80,observed,7,HOMBRE,45-49
2019,F81,observed,3,HOMBRE,0-4
2019,F81,observed,3,MUJER,15-19
2019,F82,observed,1,HOMBRE,55-59
2019,F82,observed,1,HOMBRE,60-64
2019,F82,observed,3,MUJER,20-24
2019,F83,observed,1,HOMBRE,25-29
2019,F83,observed,1,MUJER,35-39
2019,F84,observed,2,HOMBRE,60-64
2019,F84,observed,5,MUJER,55-59
2019,F84,observed,1,MUJER,65-69
2019,F88,observed,1,HOMBRE,15-19
2019,F88,observed,1,MUJER,40-44
2019,F89,observed,3,HOMBRE,20-24
2019,F80,observed,2,HOMBRE,40-44
2019,F81,observed,1,MUJER,65-69
2019,F82,observed,2,HOMBRE,20-24
2019,F82,observed,1,HOMBRE,35-39
2019,F82,observed,1,HOMBRE,40-44
2019,F82,observed,1,MUJER,60-64
2019,F83,observed,3,MUJER,25-29
2019,F83,observed,1,MUJER,30-34
2019,F84,observed,3,HOMBRE,55-59
2019,F84,observed,1,HOMBRE,70-74
2019,F84,observed,1,unknown,10-14
2019,F88,observed,2,HOMBRE,20-24
2019,F89,observed,1,HOMBRE,35-39
2019,F89,observed,6,HOMBRE,5-9
2019,F89,observed,1,MUJER,30-34
2019,F89,observed,1,MUJER,35-39
2019,F80,observed,2,MUJER,30-34
2019,F80,observed,1,unknown,0-4
2019,F81,observed,1,MUJER,0-4
2019,F81,observed,1,MUJER,75-79
2019,F82,observed,2,MUJER,30-34
2019,F82,observed,1,MUJER,55-59
2019,F82,observed,1,MUJER,65-69
2019,F83,observed,5,MUJER,15-19
2019,F84,observed,1,HOMBRE,65-69
2019,F84,observed,1,HOMBRE,80+
2019,F89,observed,1,MUJER,55-59
2019,F80,observed,1,HOMBRE,30-34
2019,F82,observed,1,HOMBRE,45-49
2019,F82,observed,1,HOMBRE,70-74
