metropolitan,GRD,GRD_count,A05,A05_count,P2,P2_count
True,16.01321511647507,19.0,,,19.38441829889087,23.0
False,23.65959305499945,65.0,42.22327375969133,116.0,60.058966985767846,165.0
False,30.612244897959183,6.0,,,270.4081632653061,53.0
False,41.89034039780309,81.0,33.098540561227125,64.0,71.88589278141518,139.0
True,16.96156166601182,79.0,12.023385484767871,56.0,17.390968290467818,81.0
False,28.97367756970039,93.0,33.646851371264965,108.0,44.23937865481135,142.0
False,43.08167177648745,249.0,19.72413888562076,114.0,,
False,16.688918558077436,5.0,,,93.45794392523364,28.0
False,15.40404818386272,15.0,,,23.6195405485895,23.0
False,26.924694993689528,16.0,,,,
False,25.96578286835348,9.0,72.12717463431522,25.0,,
False,59.01266708113149,243.0,39.827479017718375,164.0,77.95500466272925,321.0
False,14.66311493438256,6.0,,,92.86639458442288,38.0
False,,,,,26.91645133505599,10.0
False,15.369049296225617,12.0,,,47.38790199669565,37.0
True,17.850359066838152,156.0,3.776037494908071,33.0,17.73593368820457,155.0
False,20.05097168064079,38.0,26.382857474527352,50.0,81.25920102154424,154.0
False,15.125650943192376,7.0,,,,
False,18.964536317087045,8.0,,,165.93969277451166,70.0
False,72.72580351912083,36.0,105.0483828609523,52.0,,
False,20.7069347524486,10.0,,,163.5847845443439,79.0
False,0.0,0.0,,,,
False,50.87190709628665,517.0,42.21285907989743,429.0,51.46229673376772,523.0
True,12.336978396408703,80.0,11.87434170654338,77.0,18.81389205452328,122.0
False,7.589940798461772,9.0,,,100.35588389077232,119.0
False,39.72157070439586,42.0,60.52810774003178,64.0,,
False,31.60622853410312,15.0,44.24871994774437,21.0,141.17448745232727,67.0
True,44.41644496213272,1176.0,7.289433569465658,193.0,,
False,28.02741136331156,202.0,38.71112757605904,279.0,51.059838523260666,368.0
False,80.12397203585327,182.0,177.85760825541058,404.0,144.83948791096552,329.0
False,28.295316036914507,13.0,,,15.235939404492424,7.0
False,11.746346047354557,7.0,25.17074153004548,15.0,,
False,0.0,0.0,44.598352484390574,17.0,120.67789495776276,46.0
True,15.707195568526126,169.0,20.6331208059929,222.0,18.86722307935387,203.0
False,12.739477681415062,13.0,,,55.85770983389681,57.0
False,,,,,,
False,57.186096511806085,362.0,75.51092301835168,478.0,49.60340968151136,314.0
False,,,,,,
True,14.420823669378583,24.0,6.609544181798517,11.0,84.1214714047084,140.0
False,35.26700568933822,174.0,45.60388666724769,225.0,118.77278927558731,586.0
False,,,51.19672340970178,12.0,251.71722343103372,59.0
False,,,,,139.003416185652,59.0
True,9.735992341019358,6.0,,,,
True,18.23477437782121,110.0,16.24552626387708,98.0,,
True,17.890767124209752,101.0,,,45.16975858092561,255.0
False,27.84185824516745,7.0,,,,
