variant,series,unit,stock_or_flow,index_base_year,year,value,index,first_year,last_year,note,script
con_rett,deis_principal_rate,"DEIS discharges with F84 principal per 100,000 discharges",rate,2021,2024,41.38305777614645,196.47738351841093,2019,2024,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,deis_principal_rate,"DEIS discharges with F84 principal per 100,000 discharges",rate,2019,2019,20.153792631869383,100.0,2019,2024,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,deis_principal_rate,"DEIS discharges with F84 principal per 100,000 discharges",rate,2019,2020,20.067990652976334,99.57426385961038,2019,2024,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,deis_principal_rate,"DEIS discharges with F84 principal per 100,000 discharges",rate,2019,2021,21.06250451582823,104.50888773422177,2019,2024,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,deis_principal_rate,"DEIS discharges with F84 principal per 100,000 discharges",rate,2019,2022,30.054135010688,149.12396668785365,2019,2024,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,deis_principal_rate,"DEIS discharges with F84 principal per 100,000 discharges",rate,2019,2023,37.21467970255547,184.6534812693644,2019,2024,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,deis_principal_rate,"DEIS discharges with F84 principal per 100,000 discharges",rate,2019,2024,41.38305777614645,205.3363281643924,2019,2024,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,a05_strict_entries,"A05 autism entries (05990022), count",flow,2021,2021,2085.0,100.0,2021,2025,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,a05_strict_entries,"A05 autism entries (05990022), count",flow,2021,2022,4640.0,222.54196642685852,2021,2025,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,a05_strict_entries,"A05 autism entries (05990022), count",flow,2021,2023,8049.0,386.0431654676259,2021,2025,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
