cut_comuna,indicator,variant,population_base,observed,expected,expected_unscaled,expected_scaling_factor,person_years,rate_per_100k,standardisation,years_in_period,years_reported,rate_lo,rate_hi,sir,sir_lo,sir_hi,sir_eb,eb_weight,prior_mean,prior_variance,suppressed,never_reported,period,years,cut_region,script
2104,grd_episodes,sin_rett,base2017,12.0,19.939165926256113,19.931291369198235,1.000395085140848,82613,14.525558931403047,age-sex indirect (national age x sex x year rates of the same source),6,4,7.505568262527952,25.3732282427426,0.6018305903256599,0.3109746481700737,1.0512769253088214,0.6698066711086799,0.8292784952047995,1.0,0.2436156509750521,False,False,full,2019-2024,2,lancet_americas/pipeline/15b_spatial_correlation.py
2201,grd_episodes,sin_rett,base2017,409.0,278.17301997090965,278.06316134764404,1.000395085140848,1153865,35.446087713900674,age-sex indirect (national age x sex x year rates of the same source),6,6,32.093673572049696,39.05350662310397,1.470307940154555,1.33124940226359,1.619944106167461,1.4634688184940652,0.985458204983224,1.0,0.2436156509750521,False,False,full,2019-2024,2,lancet_americas/pipeline/15b_spatial_correlation.py
2202,grd_episodes,sin_rett,base2017,0.0,0.3266139979176694,0.3264850085420848,1.000395085140848,1676,0.0,age-sex indirect (national age x sex x year rates of the same source),6,0,0.0,220.10020609271697,0.0,0.0,11.294309116058775,0.9262962027807204,0.0737037972192795,1.0,0.2436156509750521,True,True,full,2019-2024,2,lancet_americas/pipeline/15b_spatial_correlation.py
2203,grd_episodes,sin_rett,base2017,10.0,13.685603390631805,13.680198547461854,1.000395085140848,63899,15.6496971783596,age-sex indirect (national age x sex x year rates of the same source),6,3,7.504638094700126,28.780350305979404,0.7306948560883543,0.3503965853208209,1.3437738561535777,0.792832247661908,0.7692677136759785,1.0,0.2436156509750521,False,False,full,2019-2024,2,lancet_americas/pipeline/15b_spatial_correlation.py
2301,grd_episodes,sin_rett,base2017,43.0,41.42397870372162,41.407619168670195,1.000395085140848,168940,25.452823487628745,age-sex indirect (national age x sex x year rates of the same source),6,6,18.42033456373102,34.284786202429046,1.0380461111075452,0.751239117674888,1.3982412994331688,1.0346159159322452,0.9098411092370592,1.0,0.2436156509750521,False,False,full,2019-2024,2,lancet_americas/pipeline/15b_spatial_correlation.py
2302,grd_episodes,sin_rett,base2017,2.0,8.713345339334845,8.709904185612901,1.000395085140848,40119,4.985169121862459,age-sex indirect (national age x sex x year rates of the same source),6,2,0.6037271082129788,18.008144938118996,0.2295329660551104,0.0277975070551323,0.8291519945972293,0.4762634344156891,0.6797650548430513,1.0,0.2436156509750521,True,False,full,2019-2024,2,lancet_americas/pipeline/15b_spatial_correlation.py
3101,grd_episodes,sin_rett,base2017,182.0,252.61221404985093,252.51245013292433,1.000395085140848,1040196,17.496702544520456,age-sex indirect (national age x sex x year rates of the same source),6,6,15.046986421906158,20.23157016373442,0.7204718927964576,0.6195985078153166,0.8330871267326319,0.7249414613227178,0.9840103073319724,1.0,0.2436156509750521,False,False,full,2019-2024,3,lancet_americas/pipeline/15b_spatial_correlation.py
3102,grd_episodes,sin_rett,base2017,5.0,27.68821906732244,27.67728418360247,1.000395085140848,117757,4.246032083018419,age-sex indirect (national age x sex x year rates of the same source),6,2,1.3786750597573143,9.908822472823417,0.1805822175793526,0.0586345545074964,0.4214186564672772,0.2863779293962372,0.8708891677889234,1.0,0.2436156509750521,False,False,full,2019-2024,3,lancet_americas/pipeline/15b_spatial_correlation.py
3103,grd_episodes,sin_rett,base2017,15.0,21.30431420491884,21.29590051106594,1.000395085140848,86124,17.416747944823744,age-sex indirect (national age x sex x year rates of the same source),6,6,9.748021611610366,28.726277078962724,0.704082743791712,0.3940697669040642,1.1612774123362168,0.7518879423078931,0.8384507915194631,1.0,0.2436156509750521,False,False,full,2019-2024,3,lancet_americas/pipeline/15b_spatial_correlation.py
3201,grd_episodes,sin_rett,base2017,3.0,19.336341391769547,19.328704907668698,1.000395085140848,78624,3.815628815628816,age-sex indirect (national age x sex x year rates of the same source),6,2,0.7868743931822361,11.150886586465104,0.1551482743926387,0.0319953040940276,0.4534090959665247,0.3030918335723424,0.8248881375328345,1.0,0.2436156509750521,True,False,full,2019-2024,3,lancet_americas/pipeline/15b_spatial_correlation.py
