survey,survey_year,variant,module,domain,domain_definition,subgroup_type,subgroup,estimate_type,item_variable,item_wording,positive_definition,weight_var,strata_var,psu_var,n,cases,proportion,proportion_unit,se,lo,hi,ci_method,weighted_total,weighted_population,weighted_unit,deff,rse,df,n_psu,n_strata,precision_flag,deff_note,variant_note,source_file,source_sha256,source_documents,script
ENDIDE 2022,2022,both,"NNA (2-17), responsable principal",ENDIDE NNA 2-17: autismo reportado,Personas seleccionadas de 2 a 17 años con cuestionario NNA respondido por el/la responsable principal (n29_19 no perdido); edad 2-5,age_group,2-5,primary,n29_19,Enfermedad o condición de salud: Autismo (Trastorno del espectro Autista),n29_19 == 1 (Sí); 0 = No; sin códigos perdidos,fexp,estrato,cod_upm,1053,45,0.03448918130826067,proportion (0-1) of persons in domain,0.006773145715989906,0.023414085948805365,0.0505318424856795,"logit, t with df = PSU - strata (Taylor linearisation)",27405.0,794597.0,persons (survey expansion weights),1.4506718355068156,0.19638464756389093,8445,8477,32,adequate,DEFF = 1.45 (varianza de diseño / varianza MAS con el mismo n no ponderado y p del dominio); EE relativo = 19.6 %; adecuado según el umbral de 30 casos no ponderados,Idéntico en con_rett y sin_rett: el reporte de autismo no separa el síndrome de Rett,endide_2022_adultos_cuidadores_nna.dta.zip,648490f083f432b0d321cfcb0a58e3a662e458b2e078effcf22e71729fb4f20c,libro_codigos_endide_2022.pdf; metodologia_diseno_muestral_endide_2022.pdf,study/pipeline/04_surveys.py
ENDIDE 2022,2022,both,"NNA (2-17), responsable principal",ENDIDE NNA 2-17: autismo reportado,Personas seleccionadas de 2 a 17 años con cuestionario NNA respondido por el/la responsable principal (n29_19 no perdido); edad 6-11,age_group,6-11,primary,n29_19,Enfermedad o condición de salud: Autismo (Trastorno del espectro Autista),n29_19 == 1 (Sí); 0 = No; sin códigos perdidos,fexp,estrato,cod_upm,2131,68,0.033254299075097304,proportion (0-1) of persons in domain,0.004820392230645261,0.0249972659339065,0.04411536740034209,"logit, t with df = PSU - strata (Taylor linearisation)",51066.0,1535621.0,persons (survey expansion weights),1.5402391477712167,0.1449554603379099,8445,8477,32,adequate,DEFF = 1.54 (varianza de diseño / varianza MAS con el mismo n no ponderado y p del dominio); EE relativo = 14.5 %; adecuado según el umbral de 30 casos no ponderados,Idéntico en con_rett y sin_rett: el reporte de autismo no separa el síndrome de Rett,endide_2022_adultos_cuidadores_nna.dta.zip,648490f083f432b0d321cfcb0a58e3a662e458b2e078effcf22e71729fb4f20c,libro_codigos_endide_2022.pdf; metodologia_diseno_muestral_endide_2022.pdf,study/pipeline/04_surveys.py
ENDIDE 2022,2022,both,"NNA (2-17), responsable principal",ENDIDE NNA 2-17: autismo reportado,Personas seleccionadas de 2 a 17 años con cuestionario NNA respondido por el/la responsable principal (n29_19 no perdido); edad 12-17,age_group,12-17,primary,n29_19,Enfermedad o condición de salud: Autismo (Trastorno del espectro Autista),n29_19 == 1 (Sí); 0 = No; sin códigos perdidos,fexp,estrato,cod_upm,2342,50,0.02166655540500148,proportion (0-1) of persons in domain,0.003538508431151861,0.015714823475215377,0.029804153514979115,"logit, t with df = PSU - strata (Taylor linearisation)",36026.0,1662747.0,persons (survey expansion weights),1.3834089728120458,0.16331661240138964,8445,8477,32,adequate,DEFF = 1.38 (varianza de diseño / varianza MAS con el mismo n no ponderado y p del dominio); EE relativo = 16.3 %; adecuado según el umbral de 30 casos no ponderados,Idéntico en con_rett y sin_rett: el reporte de autismo no separa el síndrome de Rett,endide_2022_adultos_cuidadores_nna.dta.zip,648490f083f432b0d321cfcb0a58e3a662e458b2e078effcf22e71729fb4f20c,libro_codigos_endide_2022.pdf; metodologia_diseno_muestral_endide_2022.pdf,study/pipeline/04_surveys.py
ENDIDE 2022,2022,both,"NNA (2-17), responsable principal",ENDIDE NNA con autismo reportado: confirmado por un médico,NNA con autismo reportado (n29_19 == 1) y respuesta válida en n29a_19 (1 Sí / 2 No); -99 No responde excluido,total,total,primary,n29a_19,¿Le ha dicho un médico que tiene…? Autismo (Trastorno del espectro Autista),n29a_19 == 1 (Sí); 2 = No; -99 = No responde (perdido); ítem aplicado solo si n29_19 == 1,fexp,estrato,cod_upm,153,139,0.9000235460324936,proportion (0-1) of persons in domain,0.03032112139037752,0.8230192775866124,0.9457324695097058,"logit, t with df = PSU - strata (Taylor linearisation)",95560.0,106175.0,persons (survey expansion weights),1.563256880301611,0.03368925349124459,8445,8477,32,adequate,DEFF = 1.56 (varianza de diseño / varianza MAS con el mismo n no ponderado y p del dominio); EE relativo = 3.4 %; adecuado según el umbral de 30 casos no ponderados,Idéntico en con_rett y sin_rett: el reporte de autismo no separa el síndrome de Rett,endide_2022_adultos_cuidadores_nna.dta.zip,648490f083f432b0d321cfcb0a58e3a662e458b2e078effcf22e71729fb4f20c,libro_codigos_endide_2022.pdf; metodologia_diseno_muestral_endide_2022.pdf,study/pipeline/04_surveys.py
ENDIDE 2022,2022,both,"NNA (2-17), responsable principal",ENDIDE NNA con autismo reportado: confirmado por un médico,NNA con autismo reportado (n29_19 == 1) y respuesta válida en n29a_19 (1 Sí / 2 No); -99 No responde excluido; sexo = Hombre,sex,Hombre,primary,n29a_19,¿Le ha dicho un médico que tiene…? Autismo (Trastorno del espectro Autista),n29a_19 == 1 (Sí); 2 = No; -99 = No responde (perdido); ítem aplicado solo si n29_19 == 1,fexp,estrato,cod_upm,120,111,0.9101034584688147,proportion (0-1) of persons in domain,0.03425712659326607,0.8166954647059491,0.9583407609870993,"logit, t with df = PSU - strata (Taylor linearisation)",76972.0,84575.0,persons (survey expansion weights),1.7212714383789252,0.037640914639420535,8445,8477,32,adequate,DEFF = 1.72 (varianza de diseño / varianza MAS con el mismo n no ponderado y p del dominio); EE relativo = 3.8 %; adecuado según el umbral de 30 casos no ponderados,Idéntico en con_rett y sin_rett: el reporte de autismo no separa el síndrome de Rett,endide_2022_adultos_cuidadores_nna.dta.zip,648490f083f432b0d321cfcb0a58e3a662e458b2e078effcf22e71729fb4f20c,libro_codigos_endide_2022.pdf; metodologia_diseno_muestral_endide_2022.pdf,study/pipeline/04_surveys.py
ENDIDE 2022,2022,both,"NNA (2-17), responsable principal",ENDIDE NNA con autismo reportado: confirmado por un médico,NNA con autismo reportado (n29_19 == 1) y respuesta válida en n29a_19 (1 Sí / 2 No); -99 No responde excluido; sexo = Mujer,sex,Mujer,primary,n29a_19,¿Le ha dicho un médico que tiene…? Autismo (Trastorno del espectro Autista),n29a_19 == 1 (Sí); 2 = No; -99 = No responde (perdido); ítem aplicado solo si n29_19 == 1,fexp,estrato,cod_upm,33,28,0.8605555555555555,proportion (0-1) of persons in domain,0.06410377520202419,0.6841154815481538,0.9461945665579202,"logit, t with df = PSU - strata (Taylor linearisation)",18588.0,21600.0,persons (survey expansion weights),1.130058755196424,0.07449115259111914,8445,8477,32,imprecise,"DEFF = 1.13 (varianza de diseño / varianza MAS con el mismo n no ponderado y p del dominio); EE relativo = 7.4 %; imprecise: menos de 30 casos no ponderados, usar solo como orden de magnitud",Idéntico en con_rett y sin_rett: el reporte de autismo no separa el síndrome de Rett,endide_2022_adultos_cuidadores_nna.dta.zip,648490f083f432b0d321cfcb0a58e3a662e458b2e078effcf22e71729fb4f20c,libro_codigos_endide_2022.pdf; metodologia_diseno_muestral_endide_2022.pdf,study/pipeline/04_surveys.py
ENDIDE 2022,2022,both,"NNA (2-17), responsable principal",ENDIDE NNA con autismo reportado: confirmado por un médico (sensibilidad: No responde = no confirmado),"NNA con autismo reportado (n29_19 == 1), todos; -99 No responde contado como no confirmado",total,total,sensitivity,n29a_19,¿Le ha dicho un médico que tiene…? Autismo (Trastorno del espectro Autista),n29a_19 == 1 (Sí); 2 = No; -99 = No responde (perdido); ítem aplicado solo si n29_19 == 1,fexp,estrato,cod_upm,163,139,0.8346070202712735,proportion (0-1) of persons in domain,0.036918648632372424,0.7492026376430161,0.895004296162972,"logit, t with df = PSU - strata (Taylor linearisation)",95560.0,114497.0,persons (survey expansion weights),1.6094596417334166,0.04423476886208398,8445,8477,32,adequate,DEFF = 1.61 (varianza de diseño / varianza MAS con el mismo n no ponderado y p del dominio); EE relativo = 4.4 %; adecuado según el umbral de 30 casos no ponderados,Idéntico en con_rett y sin_rett: el reporte de autismo no separa el síndrome de Rett,endide_2022_adultos_cuidadores_nna.dta.zip,648490f083f432b0d321cfcb0a58e3a662e458b2e078effcf22e71729fb4f20c,libro_codigos_endide_2022.pdf; metodologia_diseno_muestral_endide_2022.pdf,study/pipeline/04_surveys.py
ENDIDE 2022,2022,both,"NNA (2-17), responsable principal",ENDIDE NNA 2-17: autismo reportado y confirmado por un médico,Personas seleccionadas de 2 a 17 años con cuestionario NNA respondido por el/la responsable principal (n29_19 no perdido); numerador = n29_19 == 1 y n29a_19 == 1,total,total,primary,n29a_19,¿Le ha dicho un médico que tiene…? Autismo (Trastorno del espectro Autista),n29a_19 == 1 (Sí); 2 = No; -99 = No responde (perdido); ítem aplicado solo si n29_19 == 1,fexp,estrato,cod_upm,5526,139,0.023932090564279928,proportion (0-1) of persons in domain,0.0025528933522974942,0.01940663365054409,0.029481117328476764,"logit, t with df = PSU - strata (Taylor linearisation)",95560.0,3992965.0,persons (survey expansion weights),1.541755666426505,0.1066723922609519,8445,8477,32,adequate,DEFF = 1.54 (varianza de diseño / varianza MAS con el mismo n no ponderado y p del dominio); EE relativo = 10.7 %; adecuado según el umbral de 30 casos no ponderados,Idéntico en con_rett y sin_rett: el reporte de autismo no separa el síndrome de Rett,endide_2022_adultos_cuidadores_nna.dta.zip,648490f083f432b0d321cfcb0a58e3a662e458b2e078effcf22e71729fb4f20c,libro_codigos_endide_2022.pdf; metodologia_diseno_muestral_endide_2022.pdf,study/pipeline/04_surveys.py
ENDIDE 2022,2022,both,"NNA (2-17), responsable principal",ENDIDE NNA 2-17: autismo reportado y confirmado por un médico,Personas seleccionadas de 2 a 17 años con cuestionario NNA respondido por el/la responsable principal (n29_19 no perdido); numerador = n29_19 == 1 y n29a_19 == 1; sexo = Hombre,sex,Hombre,primary,n29a_19,¿Le ha dicho un médico que tiene…? Autismo (Trastorno del espectro Autista),n29a_19 == 1 (Sí); 2 = No; -99 = No responde (perdido); ítem aplicado solo si n29_19 == 1,fexp,estrato,cod_upm,2880,111,0.037906933681087704,proportion (0-1) of persons in domain,0.004456408848847316,0.030075510455688986,0.04767735673692538,"logit, t with df = PSU - strata (Taylor linearisation)",76972.0,2030552.0,persons (survey expansion weights),1.5682915532600066,0.11756183938113358,8445,8477,32,adequate,DEFF = 1.57 (varianza de diseño / varianza MAS con el mismo n no ponderado y p del dominio); EE relativo = 11.8 %; adecuado según el umbral de 30 casos no ponderados,Idéntico en con_rett y sin_rett: el reporte de autismo no separa el síndrome de Rett,endide_2022_adultos_cuidadores_nna.dta.zip,648490f083f432b0d321cfcb0a58e3a662e458b2e078effcf22e71729fb4f20c,libro_codigos_endide_2022.pdf; metodologia_diseno_muestral_endide_2022.pdf,study/pipeline/04_surveys.py
ENDIDE 2022,2022,both,"NNA (2-17), responsable principal",ENDIDE NNA 2-17: autismo reportado y confirmado por un médico,Personas seleccionadas de 2 a 17 años con cuestionario NNA respondido por el/la responsable principal (n29_19 no perdido); numerador = n29_19 == 1 y n29a_19 == 1; sexo = Mujer,sex,Mujer,primary,n29a_19,¿Le ha dicho un médico que tiene…? Autismo (Trastorno del espectro Autista),n29a_19 == 1 (Sí); 2 = No; -99 = No responde (perdido); ítem aplicado solo si n29_19 == 1,fexp,estrato,cod_upm,2646,28,0.009472012262454437,proportion (0-1) of persons in domain,0.0020591577467086184,0.006180741528309794,0.014490344494741502,"logit, t with df = PSU - strata (Taylor linearisation)",18588.0,1962413.0,persons (survey expansion weights),1.19580419643621,0.21739390634773512,8445,8477,32,imprecise,"DEFF = 1.20 (varianza de diseño / varianza MAS con el mismo n no ponderado y p del dominio); EE relativo = 21.7 %; imprecise: menos de 30 casos no ponderados, usar solo como orden de magnitud",Idéntico en con_rett y sin_rett: el reporte de autismo no separa el síndrome de Rett,endide_2022_adultos_cuidadores_nna.dta.zip,648490f083f432b0d321cfcb0a58e3a662e458b2e078effcf22e71729fb4f20c,libro_codigos_endide_2022.pdf; metodologia_diseno_muestral_endide_2022.pdf,study/pipeline/04_surveys.py
