era,year,variant,position,panel,horizon_days,n_discharges,n_eligible,n_readmitted_any_cause,n_readmitted_f84,n_with_overlapping_next_admission,pct_any_cause,pct_any_cause_lo,pct_any_cause_hi,pct_f84,pct_f84_lo,pct_f84_hi,unit,denominator,script
2021-2024,2022,strict_autism_f840,principal,fixed65,30,202,202,40,32,0,19.802,14.8925,25.8386,15.8416,11.4504,21.5077,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2022,strict_autism_f840,principal,fixed65,90,202,202,54,45,0,26.7327,21.1055,33.2283,22.2772,17.0867,28.5025,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2022,strict_autism_f840,principal,fixed65,365,202,202,84,68,0,41.5842,35.0063,48.4761,33.6634,27.5054,40.431,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2022,strict_autism_f840,principal,observed,30,202,202,40,32,0,19.802,14.8925,25.8386,15.8416,11.4504,21.5077,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2022,strict_autism_f840,principal,observed,90,202,202,54,45,0,26.7327,21.1055,33.2283,22.2772,17.0867,28.5025,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2022,strict_autism_f840,principal,observed,365,202,202,84,68,0,41.5842,35.0063,48.4761,33.6634,27.5054,40.431,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2022,strict_autism_f840,secondary_only,fixed65,30,2856,2856,307,229,2,10.7493,9.6656,11.9384,8.0182,7.0777,9.0715,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2022,strict_autism_f840,secondary_only,fixed65,90,2856,2856,474,353,2,16.5966,15.2772,18.0058,12.3599,11.2032,13.6178,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2022,strict_autism_f840,secondary_only,fixed65,365,2856,2856,822,636,2,28.7815,27.1504,30.4696,22.2689,20.7809,23.8315,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2022,strict_autism_f840,secondary_only,observed,30,2856,2856,307,229,2,10.7493,9.6656,11.9384,8.0182,7.0777,9.0715,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
