series,year,sex,age_group,population,count,rate,rate_lo,rate_hi
A05_egresos_TGD_total,2024,HOMBRE,25-29,767831.0,61,7.944456527543171,6.076879751010643,10.204986763341942
A05_egresos_TGD_total,2024,HOMBRE,30-34,861519.0,34,3.946517720444935,2.7330782472089723,5.5148629450079545
A05_egresos_TGD_total,2024,HOMBRE,35-39,790820.0,45,5.690296148301763,4.150541057160221,7.6140639458990425
A05_egresos_TGD_total,2024,HOMBRE,40-44,715861.0,22,3.0732223155053844,1.9259720633236912,4.652895518421206
A05_egresos_TGD_total,2024,HOMBRE,45-49,667483.0,11,1.6479820459846917,0.8226666997117289,2.948695099845532
A05_egresos_TGD_total,2024,HOMBRE,5-9,622349.0,1115,179.15992473676346,168.79690922384253,189.99269718974665
A05_egresos_TGD_total,2024,HOMBRE,50-54,612505.0,12,1.9591676802638345,1.0123305293380818,3.422271662790828
A05_egresos_TGD_total,2024,HOMBRE,55-59,585699.0,8,1.3658893049160064,0.5896940538994435,2.691346445903666
A05_egresos_TGD_total,2024,HOMBRE,60-64,521387.0,10,1.9179611305997273,0.9197369125299314,3.5271988066479945
A05_egresos_TGD_total,2024,HOMBRE,65-69,430924.0,3,0.6961784444588837,0.14356873204917836,2.0345288426131574
A05_egresos_TGD_total,2024,HOMBRE,70-74,326872.0,1,0.30593015002814555,0.007745480795017584,1.7045336984932629
A05_egresos_TGD_total,2024,HOMBRE,75-79,213855.0,2,0.9352131116878258,0.11325864653338243,3.3783113173523933
A05_egresos_TGD_total,2024,HOMBRE,80+,234860.0,6,2.554713446308439,0.9375348094570598,5.560535647840707
A05_egresos_TGD_total,2024,MUJER,0-4,580776.0,79,13.602490461038334,10.769219795514081,16.95276167828487
A05_egresos_TGD_total,2024,MUJER,10-14,634559.0,385,60.67205728702926,54.76219940551055,67.04583983212169
A05_egresos_TGD_total,2024,MUJER,15-19,614278.0,370,60.23331455790375,54.25153493139729,66.69449641157493
A05_egresos_TGD_total,2024,MUJER,20-24,641616.0,146,22.75504351512431,19.21376064668995,26.75990392545163
A05_egresos_TGD_total,2024,MUJER,25-29,746460.0,57,7.63604211880074,5.783463730531408,9.893378265809663
A05_egresos_TGD_total,2024,MUJER,30-34,838059.0,60,7.159400471804491,5.463376796861231,9.215567568231274
A05_egresos_TGD_total,2024,MUJER,35-39,770683.0,40,5.190201418741558,3.7079559873240964,7.067581218735079
A05_egresos_TGD_total,2024,MUJER,40-44,705304.0,39,5.529530528679832,3.9320367514485213,7.559050262841675
A05_egresos_TGD_total,2024,MUJER,45-49,669888.0,17,2.537737651667144,1.4783257006555266,4.063163814832721
A05_egresos_TGD_total,2024,MUJER,5-9,599322.0,344,57.39819329175302,51.49223696314265,63.79582559477429
A05_egresos_TGD_total,2024,MUJER,50-54,628569.0,14,2.2272813326778764,1.217675430430167,3.7369996168814525
A05_egresos_TGD_total,2024,MUJER,55-59,616599.0,19,3.0814192043775614,1.8552156530203148,4.812017789776758
A05_egresos_TGD_total,2024,MUJER,60-64,567088.0,26,4.584826340885365,2.9949607848510884,6.7178328730505665
A05_egresos_TGD_total,2024,MUJER,65-69,488891.0,10,2.0454457128480583,0.9808707249944125,3.7616474923894647
A05_egresos_TGD_total,2024,MUJER,70-74,392267.0,14,3.568997647010837,1.9512042247501307,5.988171608071945
A05_egresos_TGD_total,2024,MUJER,75-79,277579.0,3,1.0807734014460748,0.22288145821391436,3.1584785123306602
A05_egresos_TGD_total,2024,MUJER,80+,403939.0,2,0.4951242638121102,0.059961845363771506,1.7885590813771288
A05_egresos_TGD_total,2021,TOTAL,0-4,1178895.0,141,11.960352703166949,10.067719947265948,14.10540618488055
A05_egresos_TGD_total,2021,TOTAL,10-14,1287620.0,381,29.589475155713643,26.69256523844512,32.71503429819276
A05_egresos_TGD_total,2021,TOTAL,15-19,1242805.0,293,23.5757017392109,20.953229198049087,26.43562590948037
A05_egresos_TGD_total,2021,TOTAL,20-24,1416129.0,71,5.0136675401746595,3.9157159449809322,6.324059397632603
A05_egresos_TGD_total,2021,TOTAL,25-29,1629871.0,34,2.0860546632218133,1.444653496170695,2.915052301390913
A05_egresos_TGD_total,2021,TOTAL,30-34,1659478.0,27,1.6270176525389308,1.0722148851485092,2.367225262712861
A05_egresos_TGD_total,2021,TOTAL,35-39,1461105.0,24,1.6425924214892154,1.052439958434641,2.4440473199224706
A05_egresos_TGD_total,2021,TOTAL,40-44,1362172.0,18,1.3214190278467037,0.7831566630645416,2.0884117620629397
A05_egresos_TGD_total,2021,TOTAL,45-49,1296281.0,16,1.2343002790290067,0.7055092571472947,2.0044263240424676
