definition,unit,year,sex,age_group,population,count,rate,rate_lo,rate_hi
TEA_operacional,persons,2020,HOMBRE,65-69,378921.0,1.0,0.2639072524352042,0.006681553142816016,1.4703970988514488
TEA_operacional,persons,2020,HOMBRE,70-74,264075.0,1.0,0.37868029915743634,0.00958735510150142,2.109871586079295
TEA_operacional,persons,2020,HOMBRE,75-79,176396.0,0.0,0.0,0.0,2.0912489252102855
TEA_operacional,persons,2020,HOMBRE,80+,196519.0,1.0,0.5088566499931304,0.012883134956055076,2.835167790869533
TEA_operacional,persons,2020,MUJER,0-4,583854.0,91.0,15.586088302897641,12.548946054464142,19.13626264726245
TEA_operacional,persons,2020,MUJER,10-14,621419.0,78.0,12.551917466314999,9.921769885539439,15.665361060873547
TEA_operacional,persons,2020,MUJER,15-19,619434.0,39.0,6.296070283516888,4.477121451104796,8.606935341914207
TEA_operacional,persons,2020,MUJER,20-24,710171.0,9.0,1.2673004107461443,0.5794904462979105,2.4057309368334057
TEA_operacional,persons,2020,MUJER,25-29,811792.0,12.0,1.4782111673926326,0.7638132808308308,2.5821374253721348
TEA_operacional,persons,2020,MUJER,30-34,785982.0,4.0,0.5089175070167001,0.13866289223243342,1.303030944144229
TEA_operacional,persons,2020,MUJER,35-39,709886.0,7.0,0.9860738203035417,0.39645281799047527,2.0316889418445183
TEA_operacional,persons,2020,MUJER,40-44,671719.0,2.0,0.29774355050251666,0.03605812527916658,1.0755520787299393
TEA_operacional,persons,2020,MUJER,45-49,640360.0,1.0,0.15616215878568304,0.00395368355054811,0.8700798599130017
TEA_operacional,persons,2020,MUJER,5-9,629523.0,77.0,12.231483202361153,9.652895264263023,15.287255350499171
TEA_operacional,persons,2020,MUJER,50-54,623388.0,0.0,0.0,0.0,0.5917469463823389
TEA_operacional,persons,2020,MUJER,55-59,590614.0,1.0,0.16931532269807353,0.004286692828867903,0.9433645986954082
TEA_operacional,persons,2020,MUJER,60-64,518362.0,1.0,0.19291537574127735,0.004884194440234793,1.074855678259382
TEA_operacional,persons,2020,MUJER,65-69,435687.0,0.0,0.0,0.0,0.8466810931044386
TEA_operacional,persons,2020,MUJER,70-74,319314.0,1.0,0.31317136110536964,0.007928812386644455,1.7448791443340719
TEA_operacional,persons,2020,MUJER,75-79,237389.0,1.0,0.4212495102974443,0.010665114215186835,2.3470520499850025
TEA_operacional,persons,2020,MUJER,80+,350315.0,0.0,0.0,0.0,1.053017842260233
TEA_operacional,persons,2021,HOMBRE,0-4,600632.0,305.0,50.77984522969139,45.24025859271526,56.81057174755596
TEA_operacional,persons,2021,HOMBRE,10-14,655232.0,350.0,53.41619456925181,47.96599922616721,59.31604360081248
TEA_operacional,persons,2021,HOMBRE,15-19,631851.0,154.0,24.37283473477133,20.675449640565212,28.54063267833308
TEA_operacional,persons,2021,HOMBRE,20-24,719079.0,71.0,9.873741271821316,7.711473851203975,12.454381105149867
TEA_operacional,persons,2021,HOMBRE,25-29,827115.0,47.0,5.682402084353446,4.175215316741415,7.556390144133157
TEA_operacional,persons,2021,HOMBRE,30-34,842111.0,25.0,2.9687297755284043,1.9212053812180732,4.3824307837720164
TEA_operacional,persons,2021,HOMBRE,35-39,738934.0,15.0,2.0299512541038847,1.1361483072619902,3.348095888331819
TEA_operacional,persons,2021,HOMBRE,40-44,683807.0,4.0,0.584960376246514,0.15938201475362565,1.4977308912315455
TEA_operacional,persons,2021,HOMBRE,45-49,644339.0,6.0,0.9311868441922653,0.34172916019220484,2.0268017336400073
TEA_operacional,persons,2021,HOMBRE,5-9,651336.0,480.0,73.6946829286267,67.2485778741143,80.59197399926485
TEA_operacional,persons,2021,HOMBRE,50-54,602079.0,5.0,0.8304558039725684,0.26964673906886316,1.938006819590564
TEA_operacional,persons,2021,HOMBRE,55-59,566471.0,3.0,0.5295946306165717,0.10921514479922209,1.5477002476282675
TEA_operacional,persons,2021,HOMBRE,60-64,483184.0,2.0,0.41392099076128347,0.05012775227324683,1.495224938682564
TEA_operacional,persons,2021,HOMBRE,65-69,393552.0,2.0,0.5081920559417815,0.061544415615716594,1.835764439698937
TEA_operacional,persons,2021,HOMBRE,70-74,278885.0,2.0,0.7171414740843,0.08684915952595693,2.590561581915112
TEA_operacional,persons,2021,HOMBRE,75-79,184713.0,1.0,0.5413804117739413,0.013706565311748428,3.0163785932440588
TEA_operacional,persons,2021,HOMBRE,80+,205192.0,3.0,1.462045303910484,0.30150889064661457,4.2727168065725385
TEA_operacional,persons,2021,MUJER,0-4,578263.0,101.0,17.46610106474044,14.226426175120826,21.222896105376016
TEA_operacional,persons,2021,MUJER,10-14,632388.0,147.0,23.245222869504165,19.63945424736977,27.32129114922299
