year,definition,unit,role,sex,count,population,crude,crude_lo,crude_hi,asr,asr_lo,asr_hi,asr_var,groups_missing
2022,F84_historico,records,principal_y_secundario,TOTAL,8.0,19828563.0,0.04034583847553653,0.01741846939058822,0.07949738576715475,0.05117173317685521,0.021868420105787146,0.10329748344278572,0.000333896408109298,0
2023,F84_historico,records,principal_y_secundario,HOMBRE,7.0,9848466.0,0.07107705910747927,0.02857666413754046,0.14644590702452928,0.08375616894671899,0.033452028185974765,0.1782053621508955,0.001014042667688138,0
2023,F84_historico,records,principal_y_secundario,MUJER,2.0,10112423.0,0.019777653683988497,0.0023951656150456224,0.07144368533361352,0.02743290342280968,0.0033207886016499858,0.10297473682916611,0.00037638756667459847,0
2023,F84_historico,records,principal_y_secundario,TOTAL,9.0,19960889.0,0.04508817217509701,0.02061718341992851,0.08559139551058656,0.05603245252717908,0.02549017479583862,0.10886812762689194,0.0003526878102223946,0
2024,F84_historico,records,principal_y_secundario,HOMBRE,8.0,9910500.0,0.08072246607133848,0.03485023133795975,0.1590554383753929,0.0967546667552592,0.041410867081684184,0.19605473234139534,0.0011902092802873773,0
2024,F84_historico,records,principal_y_secundario,MUJER,7.0,10175877.0,0.06879013966068968,0.027657203909990907,0.14173397891604209,0.0970094656775583,0.03896499885168329,0.20251502993997333,0.0013467386740780326,0
2024,F84_historico,records,principal_y_secundario,TOTAL,15.0,20086377.0,0.07467747916909058,0.04179641820315986,0.12316914529427503,0.09679844396420915,0.053963234559116134,0.16162906890912576,0.0006321147319907015,0
2019,F84_historico,records,solo_secundario,HOMBRE,1598.0,9424139.0,16.95645618130208,16.135180800618645,17.808702381115424,21.348740050946844,20.31065750827174,22.427171022206885,0.28748971736251555,0
2019,F84_historico,records,solo_secundario,MUJER,545.0,9683077.0,5.6283761866191915,5.165698582221781,6.1213749519250324,7.567375965170198,6.942181408291741,8.234843389850363,0.1061545939541403,0
2019,F84_historico,records,solo_secundario,TOTAL,2143.0,19107216.0,11.215658000621335,10.745778498873783,11.700795664790041,14.580160576384063,13.966685615929734,15.214171844833997,0.10006642096314217,0
2020,F84_historico,records,solo_secundario,HOMBRE,1084.0,9599101.0,11.292724183233409,10.630392924897414,11.985516008969835,14.360840543095255,13.514684830325628,15.247405961038863,0.19203454277416024,0
2020,F84_historico,records,solo_secundario,MUJER,386.0,9859209.0,3.915121385498573,3.5342443995782604,4.325856871898614,5.285374840967173,4.767941154128984,5.845085337955758,0.07331417758387249,0
2020,F84_historico,records,solo_secundario,TOTAL,1470.0,19458310.0,7.5546129134544575,7.173312775205651,7.950918313372918,9.902154437150331,9.399772669708232,10.425080291886562,0.06740619235888477,0
2021,F84_historico,records,solo_secundario,HOMBRE,1657.0,9708512.0,17.067497058251565,16.255513951890645,17.90953931074878,21.904716782505204,20.85738680843501,22.992482684832748,0.29251194129581704,0
2021,F84_historico,records,solo_secundario,MUJER,552.0,9969851.0,5.536692574442688,5.084385101645327,6.018446402552479,7.533342393943922,6.914564539755885,8.194290222274097,0.10396018115990342,0
2021,F84_historico,records,solo_secundario,TOTAL,2209.0,19678363.0,11.225527245330316,10.762239080886975,11.70362910833738,14.840998852553588,14.225187245971107,15.477363589515623,0.10080005407479653,0
2022,F84_historico,records,solo_secundario,HOMBRE,2662.0,9782978.0,27.210528327877256,26.186575851127127,28.264259543349358,35.73668685852918,34.386041084741116,37.12806079198748,0.4839779010712362,0
2022,F84_historico,records,solo_secundario,MUJER,945.0,10045585.0,9.407117654173451,8.816825602745583,10.026537278749723,13.028651656153274,12.206055570891282,13.89357005151786,0.18189005728608834,0
2022,F84_historico,records,solo_secundario,TOTAL,3607.0,19828563.0,18.19092992265753,17.60207173039738,18.79446686176004,24.588006600268244,23.788172432048704,25.408539434741613,0.1692688751910715,0
2023,F84_historico,records,solo_secundario,HOMBRE,4239.0,9848466.0,43.0422362223721,41.756159999623634,44.35785333914673,57.303493971330894,55.584826613728836,59.06291996288065,0.7805511299940452,0
2023,F84_historico,records,solo_secundario,MUJER,1866.0,10112423.0,18.452550887161266,17.624718598626803,19.309228064310123,25.55975905884722,24.4064100110795,26.755031039238776,0.3542389194844958,0
2023,F84_historico,records,solo_secundario,TOTAL,6105.0,19960889.0,30.584810125440807,29.822361808328,31.361821047869697,41.721197537666534,40.67644693600129,42.78661136510145,0.2877100003003977,0
2024,F84_historico,records,solo_secundario,HOMBRE,5597.0,9910500.0,56.47545532516018,55.00548364638698,57.97476336674445,75.7717170031169,73.79254431220279,77.79160513959108,1.0330794983249114,0
2024,F84_historico,records,solo_secundario,MUJER,2815.0,10175877.0,27.663463306405923,26.650886171871218,28.704664282848942,38.133151030825125,36.72813379985205,39.57973740947384,0.5234742618068745,0
2024,F84_historico,records,solo_secundario,TOTAL,8412.0,20086377.0,41.87913031802599,40.988910490818526,42.78381255592312,57.305620584415614,56.08182363770811,58.550010325206294,0.3940413691117479,0
