year,definition,role,TIPO_ACTIVIDAD,n,mean,sd,median,q25,q75,p90,max,total_days,n_los0
2019,F84_historico,solo_secundario,HOSPITALIZACIÓN EN URGENCIA,76,2.236842105263158,3.0892002030844234,1.0,0.0,3.0,4.5,15.0,170.0,25
2020,F84_historico,principal,CIRUGÍA MAYOR AMBULATORIA (CMA),2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2020,F84_historico,principal,HOSPITALIZACIÓN,153,28.437908496732025,88.83736101093005,7.0,3.0,21.0,41.80000000000001,807.0,4351.0,11
2020,F84_historico,principal_y_secundario,HOSPITALIZACIÓN,8,45.375,95.21695152199979,9.5,6.25,21.75,104.99999999999996,280.0,363.0,0
2020,F84_historico,solo_secundario,CIRUGÍA MAYOR AMBULATORIA (CMA),81,0.04938271604938271,0.2180157430038731,0.0,0.0,0.0,0.0,1.0,4.0,77
2020,F84_historico,solo_secundario,HOSPITALIZACIÓN,1389,11.03311735061195,58.08760945495651,3.0,1.0,8.0,20.0,1463.0,15325.0,155
2021,F84_historico,principal,HOSPITALIZACIÓN,186,28.698924731182796,112.49142044846454,10.0,1.0,23.0,48.0,1444.0,5338.0,16
2021,F84_historico,principal_y_secundario,HOSPITALIZACIÓN,3,32.666666666666664,31.00537587795596,32.0,17.0,48.0,57.6,64.0,98.0,0
2021,F84_historico,solo_secundario,CIRUGÍA MAYOR AMBULATORIA (CMA),182,0.054945054945054944,0.22850159822149163,0.0,0.0,0.0,0.0,1.0,10.0,172
2021,F84_historico,solo_secundario,HOSPITALIZACIÓN,2028,9.59516765285996,34.61818401292503,3.0,1.0,7.0,19.0,686.0,19459.0,269
2022,F84_historico,principal,HOSPITALIZACIÓN,296,16.847972972972972,37.50544181007282,7.0,1.75,19.0,35.0,420.0,4987.0,20
2022,F84_historico,principal_y_secundario,HOSPITALIZACIÓN,8,16.375,16.38760420038791,14.0,1.75,24.75,33.3,48.0,131.0,0
2022,F84_historico,solo_secundario,CIRUGÍA MAYOR AMBULATORIA (CMA),351,0.039886039886039885,0.1959708100829264,0.0,0.0,0.0,0.0,1.0,14.0,337
2022,F84_historico,solo_secundario,HOSPITALIZACIÓN,3257,7.44765121277249,24.92628767218735,3.0,1.0,7.0,16.0,742.0,24257.0,399
2023,F84_historico,principal,HOSPITALIZACIÓN,357,14.442577030812325,34.918527680340816,5.0,1.0,16.0,32.400000000000034,506.0,5156.0,9
2023,F84_historico,principal_y_secundario,HOSPITALIZACIÓN,9,77.11111111111111,194.0086624641052,7.0,3.0,17.0,167.2000000000001,592.0,694.0,1
2023,F84_historico,solo_secundario,CIRUGÍA MAYOR AMBULATORIA (CMA),631,0.025356576862123614,0.15733038117794304,0.0,0.0,0.0,0.0,1.0,16.0,615
2023,F84_historico,solo_secundario,HOSPITALIZACIÓN,5476,7.122352081811541,12.685806429552299,3.0,1.0,7.0,17.0,210.0,39002.0,512
2024,F84_historico,principal,HOSPITALIZACIÓN,384,13.786458333333334,28.40542411259751,6.0,2.0,14.25,29.0,282.0,5294.0,28
2024,F84_historico,principal_y_secundario,HOSPITALIZACIÓN,15,21.4,35.25377386080208,8.0,3.5,15.0,53.99999999999999,133.0,321.0,1
2024,F84_historico,solo_secundario,CIRUGÍA MAYOR AMBULATORIA (CMA),1113,0.03593890386343217,0.18622152586519097,0.0,0.0,0.0,0.0,1.0,40.0,1073
2024,F84_historico,solo_secundario,HOSPITALIZACIÓN,7303,7.363823086402848,16.39000304086188,3.0,1.0,7.0,17.0,552.0,53778.0,651
