year,cut_region,sex,age_group,population
2017,7,HOMBRE,35-39,37673.0
2017,7,HOMBRE,40-44,38074.0
2017,7,HOMBRE,45-49,36228.0
2017,7,HOMBRE,5-9,38194.0
2017,7,HOMBRE,50-54,37024.0
2017,7,HOMBRE,55-59,32715.0
2017,7,HOMBRE,60-64,28314.0
2017,7,HOMBRE,65-69,21907.0
2017,7,HOMBRE,70-74,15633.0
2017,7,HOMBRE,75-79,10672.0
2017,7,HOMBRE,80+,11635.0
2017,7,MUJER,0-4,35196.0
2017,7,MUJER,10-14,36137.0
2017,7,MUJER,15-19,38397.0
2017,7,MUJER,20-24,39015.0
2017,7,MUJER,25-29,41912.0
2017,7,MUJER,30-34,38050.0
2017,7,MUJER,35-39,38621.0
2017,7,MUJER,40-44,39033.0
2017,7,MUJER,45-49,37577.0
2017,7,MUJER,5-9,36803.0
2017,7,MUJER,50-54,37950.0
2017,7,MUJER,55-59,33551.0
2017,7,MUJER,60-64,29786.0
2017,7,MUJER,65-69,23726.0
2017,7,MUJER,70-74,17754.0
2017,7,MUJER,75-79,13435.0
2017,7,MUJER,80+,18058.0
2017,8,HOMBRE,0-4,53207.0
2017,8,HOMBRE,10-14,55392.0
2017,8,HOMBRE,15-19,61007.0
2017,8,HOMBRE,20-24,65156.0
2017,8,HOMBRE,25-29,65556.0
2017,8,HOMBRE,30-34,54260.0
2017,8,HOMBRE,35-39,54964.0
2017,8,HOMBRE,40-44,54871.0
2017,8,HOMBRE,45-49,55863.0
2017,8,HOMBRE,5-9,56838.0
2017,8,HOMBRE,50-54,54188.0
2017,8,HOMBRE,55-59,46468.0
2017,8,HOMBRE,60-64,39027.0
2017,8,HOMBRE,65-69,29526.0
2017,8,HOMBRE,70-74,21296.0
2017,8,HOMBRE,75-79,14494.0
2017,8,HOMBRE,80+,15874.0
2017,8,MUJER,0-4,51181.0
2017,8,MUJER,10-14,53344.0
2017,8,MUJER,15-19,60032.0
2017,8,MUJER,20-24,64515.0
2017,8,MUJER,25-29,65886.0
2017,8,MUJER,30-34,56482.0
2017,8,MUJER,35-39,57485.0
2017,8,MUJER,40-44,57599.0
2017,8,MUJER,45-49,58411.0
2017,8,MUJER,5-9,54785.0
2017,8,MUJER,50-54,56907.0
2017,8,MUJER,55-59,50029.0
2017,8,MUJER,60-64,43987.0
2017,8,MUJER,65-69,34037.0
2017,8,MUJER,70-74,26277.0
2017,8,MUJER,75-79,19874.0
2017,8,MUJER,80+,27391.0
2017,9,HOMBRE,0-4,33491.0
2017,9,HOMBRE,10-14,35503.0
2017,9,HOMBRE,15-19,37506.0
2017,9,HOMBRE,20-24,36871.0
2017,9,HOMBRE,25-29,37002.0
2017,9,HOMBRE,30-34,33062.0
2017,9,HOMBRE,35-39,33400.0
2017,9,HOMBRE,40-44,33444.0
2017,9,HOMBRE,45-49,32614.0
2017,9,HOMBRE,5-9,35832.0
2017,9,HOMBRE,50-54,31941.0
2017,9,HOMBRE,55-59,28061.0
2017,9,HOMBRE,60-64,24085.0
2017,9,HOMBRE,65-69,18356.0
2017,9,HOMBRE,70-74,14017.0
2017,9,HOMBRE,75-79,9993.0
2017,9,HOMBRE,80+,11614.0
2017,9,MUJER,0-4,32271.0
2017,9,MUJER,10-14,34294.0
2017,9,MUJER,15-19,36463.0
2017,9,MUJER,20-24,37941.0
2017,9,MUJER,25-29,38300.0
2017,9,MUJER,30-34,35082.0
2017,9,MUJER,35-39,35010.0
