year,sheet,code,label,section,dictionary,excel_row,total_rule,age_sex_mapping,Col01,Col02,Col03,Col04,Col05,Col06,Col07,Col08,Col09,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,total_known,months,reporting_establishments,rows,rows_total_known
2021,A05,05990025,TRASTORNO DESINTEGRATIVO DE LA INFANCIA,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2021/SA_21_V1.2-CODIGOS.xlsm,216,Col01,A05_Col04_Col37,68,29,39,13,2,7,1,3,4,1,5,1,3,1,3,0,4,2,0,1,2,0,3,0,5,0,3,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,,,,,,,,68,11,38,41,41
2021,A05,05990026,TRASTONO GENERALIZADO DEL DESARROLLO NO ESPECÍFICO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2021/SA_21_V1.2-CODIGOS.xlsm,217,Col01,A05_Col04_Col37,1884,1356,528,332,110,533,152,246,126,165,70,44,10,7,13,9,5,9,3,1,7,4,7,2,9,3,6,0,3,0,2,1,3,0,1,0,1,1,4,37,11,22,17,,,,,,,,1884,12,424,1067,1067
2021,A05,05990027,TRASTORNO GENERALIZADOS DEL DESARROLLO | AUTISMO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2021/SA_21_V1.2-CODIGOS.xlsm,259,Col01,A05_Col04_Col37,494,382,112,48,17,133,24,91,21,84,20,17,7,3,4,3,6,0,2,1,3,1,4,0,2,1,1,0,1,0,0,0,0,0,0,0,0,163,0,120,0,1,4,1,8,0,,,,,494,12,207,373,373
2021,A05,05990028,ASPERGER,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2021/SA_21_V1.2-CODIGOS.xlsm,260,Col01,A05_Col04_Col37,255,197,58,7,0,69,12,54,22,52,12,8,6,4,1,0,1,2,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,74,0,49,1,1,0,0,2,0,,,,,255,12,150,239,239
2021,A05,05990029,SÍNDROME DE RETT,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2021/SA_21_V1.2-CODIGOS.xlsm,261,Col01,A05_Col04_Col37,75,22,53,4,2,6,7,4,9,1,4,1,2,0,4,2,7,1,4,0,0,0,4,1,3,0,2,0,0,1,1,1,2,0,2,0,0,29,1,4,1,2,0,1,0,2,,,,,75,12,29,31,31
2021,A05,05990030,TRASTORNO DESINTEGRATIVO DE LA INFANCIA,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2021/SA_21_V1.2-CODIGOS.xlsm,262,Col01,A05_Col04_Col37,18,6,12,1,0,3,0,1,5,0,1,0,0,0,2,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,1,0,0,0,,,,,18,9,17,19,19
2021,A05,05990031,TRASTONO GENERALIZADO DEL DESARROLLO NO ESPECÍFICO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2021/SA_21_V1.2-CODIGOS.xlsm,263,Col01,A05_Col04_Col37,718,493,225,44,18,170,49,133,41,89,30,27,3,8,8,4,4,4,9,2,10,0,5,4,8,1,8,2,14,1,9,0,5,2,0,3,4,230,4,89,1,10,5,1,7,2,,,,,718,12,226,450,449
2022,A03,03500404,Niños/as con Control a los 18 meses,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT),REM/SerieA/metadata/diccionarios/2022/SA_22_V1.1-CODIGOS.xlsm,208,Col01+Col02,not_applied,26006,24507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48850,12,908,6185,5132
2022,A03,03500405,Niños/as con alteración de área Lenguaje y/o Social en Control de los 18 meses,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT),REM/SerieA/metadata/diccionarios/2022/SA_22_V1.1-CODIGOS.xlsm,209,Col01+Col02,not_applied,5002,2868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6530,12,651,3172,2194
2022,A03,03500406,Niños/as con Tamizaje Trastorno Espectro Autista (MCHAT) realizado   con alteración del área de lenguaje y/o Social en el control de los 18 meses,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT),REM/SerieA/metadata/diccionarios/2022/SA_22_V1.1-CODIGOS.xlsm,210,Col01+Col02,not_applied,2157,1298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2773,12,399,1490,1003
