era,definition,code,patients
2019-2020,TEA_operacional,F313,1
2019-2020,TEA_operacional,F316,1
2019-2020,TEA_operacional,F319,1
2019-2020,TEA_operacional,H55,1
2019-2020,TEA_operacional,H652,1
2019-2020,TEA_operacional,H653,1
2019-2020,TEA_operacional,K914,1
2019-2020,TEA_operacional,K025,1
2019-2020,TEA_operacional,K028,1
2019-2020,TEA_operacional,K044,1
2019-2020,TEA_operacional,K075,1
2019-2020,TEA_operacional,K219,1
2019-2020,TEA_operacional,K221,1
2019-2020,TEA_operacional,K222,1
2019-2020,TEA_operacional,K295,1
2019-2020,TEA_operacional,K564,1
2019-2020,TEA_operacional,K598,1
2019-2020,TEA_operacional,K800,1
2019-2020,TEA_operacional,L022,1
2019-2020,TEA_operacional,H669,1
2019-2020,TEA_operacional,L031,1
2019-2020,TEA_operacional,L040,1
2019-2020,TEA_operacional,L059,1
2019-2020,TEA_operacional,L211,1
2019-2020,TEA_operacional,L600,1
2019-2020,TEA_operacional,L732,1
2019-2020,TEA_operacional,M2106,1
2019-2020,TEA_operacional,M2117,1
2019-2020,TEA_operacional,M2318,1
2019-2020,TEA_operacional,M2389,1
2019-2020,TEA_operacional,M359,1
2019-2020,TEA_operacional,K021,1
2019-2020,TEA_operacional,K001,1
2019-2020,TEA_operacional,J960,1
2019-2020,TEA_operacional,J950,1
2019-2020,TEA_operacional,I270,1
2019-2020,TEA_operacional,I359,1
2019-2020,TEA_operacional,I440,1
2019-2020,TEA_operacional,I471,1
2019-2020,TEA_operacional,I880,1
2019-2020,TEA_operacional,J00,1
2019-2020,TEA_operacional,J039,1
2019-2020,TEA_operacional,J050,1
2019-2020,TEA_operacional,J108,1
2019-2020,TEA_operacional,J122,1
2019-2020,TEA_operacional,J13,1
2019-2020,TEA_operacional,J14,1
2019-2020,TEA_operacional,J151,1
2019-2020,TEA_operacional,J152,1
2019-2020,TEA_operacional,J156,1
2019-2020,TEA_operacional,J204,1
2019-2020,TEA_operacional,J219,1
2019-2020,TEA_operacional,J22,1
2019-2020,TEA_operacional,J387,1
2019-2020,TEA_operacional,J441,1
2019-2020,TEA_operacional,J448,1
2019-2020,TEA_operacional,J459,1
2019-2020,TEA_operacional,J46,1
2019-2020,TEA_operacional,Z653,1
2019-2020,F84_historico,G409,30
2019-2020,F84_historico,Z518,11
2019-2020,F84_historico,J189,10
2019-2020,F84_historico,J129,9
2019-2020,F84_historico,G404,7
2019-2020,F84_historico,J353,7
2019-2020,F84_historico,A099,6
2019-2020,F84_historico,T850,5
2019-2020,F84_historico,J159,5
2019-2020,F84_historico,Z511,5
2019-2020,F84_historico,G403,5
2019-2020,F84_historico,S4240,5
2019-2020,F84_historico,C910,5
2019-2020,F84_historico,J121,4
2019-2020,F84_historico,J690,4
2019-2020,F84_historico,G408,3
2019-2020,F84_historico,J209,3
2019-2020,F84_historico,K029,3
2019-2020,F84_historico,Q234,3
2019-2020,F84_historico,T391,3
2019-2020,F84_historico,A080,3
2019-2020,F84_historico,F432,3
2019-2020,F84_historico,K590,3
2019-2020,F84_historico,K353,3
2019-2020,F84_historico,F609,3
2019-2020,F84_historico,R458,3
2019-2020,F84_historico,Z540,3
2019-2020,F84_historico,N390,3
2019-2020,F84_historico,D70,3
2019-2020,F84_historico,Q828,2
2019-2020,F84_historico,R560,2
2019-2020,F84_historico,J9609,2
2019-2020,F84_historico,P590,2
2019-2020,F84_historico,F913,2
2019-2020,F84_historico,G934,2
2019-2020,F84_historico,J351,2
2019-2020,F84_historico,J352,2
2019-2020,F84_historico,J981,2
2019-2020,F84_historico,S5250,2
2019-2020,F84_historico,K010,2
2019-2020,F84_historico,Q211,2
2019-2020,F84_historico,G401,2
2019-2020,F84_historico,G410,2
2019-2020,F84_historico,F329,2
2019-2020,F84_historico,K358,2
2019-2020,F84_historico,J040,2
2019-2020,F84_historico,A419,2
2019-2020,F84_historico,Q668,2
2019-2020,F84_historico,C629,2
2019-2020,F84_historico,N47,2
2019-2020,F84_historico,D480,2
2019-2020,F84_historico,J120,2
2019-2020,F84_historico,Z048,2
2019-2020,F84_historico,Z033,2
2019-2020,F84_historico,Q531,2
2019-2020,F84_historico,J208,2
2019-2020,F84_historico,J069,2
2019-2020,F84_historico,K918,2
2019-2020,F84_historico,P220,2
2019-2020,F84_historico,K859,2
2019-2020,F84_historico,F29,2
2019-2020,F84_historico,T751,2
2019-2020,F84_historico,F322,2
2019-2020,F84_historico,T432,2
2019-2020,F84_historico,F412,2
2019-2020,F84_historico,Q641,1
2019-2020,F84_historico,Q375,1
2019-2020,F84_historico,Q419,1
2019-2020,F84_historico,Q311,1
2019-2020,F84_historico,Q539,1
2019-2020,F84_historico,Q282,1
2019-2020,F84_historico,A047,1
2019-2020,F84_historico,P599,1
2019-2020,F84_historico,Q230,1
2019-2020,F84_historico,Q218,1
2019-2020,F84_historico,N311,1
2019-2020,F84_historico,N359,1
2019-2020,F84_historico,N44,1
2019-2020,F84_historico,N801,1
2019-2020,F84_historico,N831,1
2019-2020,F84_historico,O821,1
2019-2020,F84_historico,O991,1
2019-2020,F84_historico,O993,1
2019-2020,F84_historico,P210,1
2019-2020,F84_historico,P219,1
2019-2020,F84_historico,P290,1
2019-2020,F84_historico,P351,1
2019-2020,F84_historico,P398,1
2019-2020,F84_historico,P598,1
2019-2020,F84_historico,Q647,1
2019-2020,F84_historico,P916,1
2019-2020,F84_historico,Q019,1
2019-2020,F84_historico,Q044,1
2019-2020,F84_historico,Q079,1
2019-2020,F84_historico,Q204,1
2019-2020,F84_historico,Q213,1
2019-2020,F84_historico,Q643,1
2019-2020,F84_historico,R230,1
2019-2020,F84_historico,Q651,1
2019-2020,F84_historico,Q665,1
2019-2020,F84_historico,T16,1
2019-2020,F84_historico,T182,1
2019-2020,F84_historico,T231,1
2019-2020,F84_historico,T242,1
2019-2020,F84_historico,T243,1
2019-2020,F84_historico,T251,1
2019-2020,F84_historico,T421,1
2019-2020,F84_historico,T439,1
2019-2020,F84_historico,T634,1
2019-2020,F84_historico,T781,1
2019-2020,F84_historico,T810,1
2019-2020,F84_historico,T814,1
2019-2020,F84_historico,T824,1
2019-2020,F84_historico,T827,1
2019-2020,F84_historico,T858,1
2019-2020,F84_historico,Z018,1
2019-2020,F84_historico,Z031,1
2019-2020,F84_historico,Z098,1
2019-2020,F84_historico,Z133,1
2019-2020,F84_historico,Z139,1
2019-2020,F84_historico,Z430,1
2019-2020,F84_historico,Z452,1
2019-2020,F84_historico,Z478,1
2019-2020,F84_historico,Z480,1
2019-2020,F84_historico,Z513,1
2019-2020,F84_historico,S830,1
2019-2020,F84_historico,S611,1
2019-2020,F84_historico,S5280,1
2019-2020,F84_historico,R509,1
2019-2020,F84_historico,Q673,1
2019-2020,F84_historico,Q680,1
2019-2020,F84_historico,Q728,1
2019-2020,F84_historico,Q750,1
2019-2020,F84_historico,Q753,1
2019-2020,F84_historico,Q774,1
2019-2020,F84_historico,Q870,1
2019-2020,F84_historico,Q909,1
2019-2020,F84_historico,R13,1
2019-2020,F84_historico,R223,1
2019-2020,F84_historico,M8793,1
2019-2020,F84_historico,R568,1
2019-2020,F84_historico,S5240,1
2019-2020,F84_historico,R620,1
2019-2020,F84_historico,S009,1
2019-2020,F84_historico,S011,1
2019-2020,F84_historico,S0220,1
2019-2020,F84_historico,S059,1
2019-2020,F84_historico,S0680,1
2019-2020,F84_historico,S0690,1
2019-2020,F84_historico,S099,1
2019-2020,F84_historico,S219,1
2019-2020,F84_historico,S519,1
2019-2020,F84_historico,S5200,1
2019-2020,F84_historico,N10,1
2019-2020,F84_historico,K429,1
2019-2020,F84_historico,M8618,1
2019-2020,F84_historico,G419,1
2019-2020,F84_historico,F431,1
2019-2020,F84_historico,F600,1
2019-2020,F84_historico,F719,1
