era,definition,sex,age_group,comuna_norm,persons
2019-2020,autismo_F840,HOMBRE,10-14,COQUIMBO,5
2019-2020,autismo_F840,HOMBRE,10-14,CORONEL,6
2019-2020,autismo_F840,HOMBRE,10-14,CURACAUTIN,2
2019-2020,autismo_F840,HOMBRE,10-14,CURANILAHUE,2
2019-2020,autismo_F840,HOMBRE,10-14,CURICO,2
2019-2020,autismo_F840,HOMBRE,10-14,DONIHUE,1
2019-2020,autismo_F840,HOMBRE,10-14,EL BOSQUE,2
2019-2020,autismo_F840,HOMBRE,10-14,EL CARMEN,2
2019-2020,autismo_F840,HOMBRE,10-14,EL MONTE,1
2019-2020,autismo_F840,HOMBRE,10-14,EL QUISCO,1
2019-2020,autismo_F840,HOMBRE,10-14,FLORIDA,1
2019-2020,autismo_F840,HOMBRE,10-14,FREIRE,1
2019-2020,autismo_F840,HOMBRE,10-14,GORBEA,1
2019-2020,autismo_F840,HOMBRE,10-14,GRANEROS,1
2019-2020,autismo_F840,HOMBRE,10-14,HIJUELAS,1
2019-2020,autismo_F840,HOMBRE,10-14,HUALAIHUE,1
2019-2020,autismo_F840,HOMBRE,10-14,HUALANE,1
2019-2020,autismo_F840,HOMBRE,10-14,HUALPEN,2
2019-2020,autismo_F840,HOMBRE,10-14,HUECHURABA,3
2019-2020,autismo_F840,HOMBRE,10-14,INDEPENDENCIA,2
2019-2020,autismo_F840,HOMBRE,10-14,IQUIQUE,4
2019-2020,autismo_F840,HOMBRE,10-14,ISLA DE MAIPO,1
2019-2020,autismo_F840,HOMBRE,10-14,LA CISTERNA,2
2019-2020,autismo_F840,HOMBRE,10-14,LA FLORIDA,10
2019-2020,autismo_F840,HOMBRE,10-14,LA GRANJA,3
2019-2020,autismo_F840,HOMBRE,10-14,LA PINTANA,3
2019-2020,autismo_F840,HOMBRE,10-14,LA REINA,1
2019-2020,autismo_F840,HOMBRE,10-14,LA SERENA,7
2019-2020,autismo_F840,HOMBRE,10-14,LAGO RANCO,1
2019-2020,autismo_F840,HOMBRE,10-14,LAMPA,1
2019-2020,autismo_F840,HOMBRE,10-14,LAS CONDES,3
2019-2020,autismo_F840,HOMBRE,10-14,LAUTARO,1
2019-2020,autismo_F840,HOMBRE,10-14,LEBU,1
2019-2020,autismo_F840,HOMBRE,10-14,LINARES,1
2019-2020,autismo_F840,HOMBRE,10-14,LO BARNECHEA,1
2019-2020,autismo_F840,HOMBRE,10-14,LO ESPEJO,1
2019-2020,autismo_F840,HOMBRE,10-14,LO PRADO,2
2019-2020,autismo_F840,HOMBRE,10-14,LOS ANGELES,12
2019-2020,autismo_F840,HOMBRE,10-14,LOS SAUCES,1
2019-2020,autismo_F840,HOMBRE,10-14,MACUL,4
2019-2020,autismo_F840,HOMBRE,10-14,MAIPU,6
2019-2020,autismo_F840,HOMBRE,10-14,MEJILLONES,2
2019-2020,autismo_F840,HOMBRE,10-14,MELIPILLA,4
2019-2020,autismo_F840,HOMBRE,10-14,NINHUE,1
2019-2020,autismo_F840,HOMBRE,10-14,NOGALES,1
2019-2020,autismo_F840,HOMBRE,10-14,NUNOA,1
2019-2020,autismo_F840,HOMBRE,10-14,OSORNO,9
2019-2020,autismo_F840,HOMBRE,10-14,OVALLE,4
2019-2020,autismo_F840,HOMBRE,10-14,PADRE HURTADO,1
2019-2020,autismo_F840,HOMBRE,10-14,PAILLACO,1
2019-2020,autismo_F840,HOMBRE,10-14,PAINE,1
2019-2020,autismo_F840,HOMBRE,10-14,PEDRO AGUIRRE CERDA,5
2019-2020,autismo_F840,HOMBRE,10-14,PENCO,2
2019-2020,autismo_F840,HOMBRE,10-14,PICHILEMU,1
2019-2020,autismo_F840,HOMBRE,10-14,PITRUFQUEN,1
2019-2020,autismo_F840,HOMBRE,10-14,PROVIDENCIA,1
2019-2020,autismo_F840,HOMBRE,10-14,PUCON,1
2019-2020,autismo_F840,HOMBRE,10-14,PUDAHUEL,4
2019-2020,autismo_F840,HOMBRE,10-14,PUENTE ALTO,9
2019-2020,autismo_F840,HOMBRE,10-14,PUERTO MONTT,6
2019-2020,autismo_F840,HOMBRE,10-14,PUERTO VARAS,1
2019-2020,autismo_F840,HOMBRE,10-14,PUNTA ARENAS,10
2019-2020,autismo_F840,HOMBRE,10-14,PUTAENDO,1
2019-2020,autismo_F840,HOMBRE,10-14,QUELLON,1
2019-2020,autismo_F840,HOMBRE,10-14,QUILICURA,1
2019-2020,autismo_F840,HOMBRE,10-14,QUILLOTA,4
2019-2020,autismo_F840,HOMBRE,10-14,QUILPUE,5
2019-2020,autismo_F840,HOMBRE,10-14,QUINTA NORMAL,1
2019-2020,autismo_F840,HOMBRE,10-14,RANCAGUA,4
2019-2020,autismo_F840,HOMBRE,10-14,RECOLETA,3
2019-2020,autismo_F840,HOMBRE,10-14,RENCA,2
2019-2020,autismo_F840,HOMBRE,10-14,RENGO,1
2019-2020,autismo_F840,HOMBRE,10-14,REQUINOA,1
2019-2020,autismo_F840,HOMBRE,10-14,RETIRO,2
2019-2020,autismo_F840,HOMBRE,10-14,SAN ANTONIO,4
2019-2020,autismo_F840,HOMBRE,10-14,SAN BERNARDO,6
2019-2020,autismo_F840,HOMBRE,10-14,SAN CARLOS,1
2019-2020,autismo_F840,HOMBRE,10-14,SAN FELIPE,2
2019-2020,autismo_F840,HOMBRE,10-14,SAN FERNANDO,3
2019-2020,autismo_F840,HOMBRE,10-14,SAN JOAQUIN,1
2019-2020,autismo_F840,HOMBRE,10-14,SAN MIGUEL,1
2019-2020,autismo_F840,HOMBRE,10-14,SAN PEDRO DE LA PAZ,10
2019-2020,autismo_F840,HOMBRE,10-14,SAN RAMON,2
2019-2020,autismo_F840,HOMBRE,10-14,SANTA CRUZ,1
2019-2020,autismo_F840,HOMBRE,10-14,SANTIAGO,9
2019-2020,autismo_F840,HOMBRE,10-14,SANTO DOMINGO,1
2019-2020,autismo_F840,HOMBRE,10-14,TALAGANTE,1
2019-2020,autismo_F840,HOMBRE,10-14,TALCAHUANO,5
2019-2020,autismo_F840,HOMBRE,10-14,TEMUCO,2
2019-2020,autismo_F840,HOMBRE,10-14,TENO,1
2019-2020,autismo_F840,HOMBRE,10-14,TUCAPEL,1
2019-2020,autismo_F840,HOMBRE,10-14,VALDIVIA,4
2019-2020,autismo_F840,HOMBRE,10-14,VALLENAR,2
2019-2020,autismo_F840,HOMBRE,10-14,VALPARAISO,9
2019-2020,autismo_F840,HOMBRE,10-14,VICTORIA,1
2019-2020,autismo_F840,HOMBRE,10-14,VILLA ALEGRE,1
2019-2020,autismo_F840,HOMBRE,10-14,VILLA ALEMANA,3
2019-2020,autismo_F840,HOMBRE,10-14,VILLARRICA,1
2019-2020,autismo_F840,HOMBRE,10-14,VINA DEL MAR,12
2019-2020,autismo_F840,HOMBRE,10-14,YERBAS BUENAS,1
2019-2020,autismo_F840,HOMBRE,10-14,YUMBEL,1
