era,definition,code,patients
2019-2020,autismo_F840,F28,2
2019-2020,autismo_F840,S5260,2
2019-2020,autismo_F840,E111,2
2019-2020,autismo_F840,E669,2
2019-2020,autismo_F840,T509,2
2019-2020,autismo_F840,E162,2
2019-2020,autismo_F840,S8210,2
2019-2020,autismo_F840,F988,2
2019-2020,autismo_F840,S6261,2
2019-2020,autismo_F840,G934,2
2019-2020,autismo_F840,H269,2
2019-2020,autismo_F840,H500,2
2019-2020,autismo_F840,S7200,2
2019-2020,autismo_F840,Z478,2
2019-2020,autismo_F840,Z511,2
2019-2020,autismo_F840,H050,2
2019-2020,autismo_F840,B179,2
2019-2020,autismo_F840,A281,2
2019-2020,autismo_F840,Z514,2
2019-2020,autismo_F840,G930,2
2019-2020,autismo_F840,Q641,1
2019-2020,autismo_F840,T742,1
2019-2020,autismo_F840,Q181,1
2019-2020,autismo_F840,Q542,1
2019-2020,autismo_F840,T71,1
2019-2020,autismo_F840,T781,1
2019-2020,autismo_F840,T784,1
2019-2020,autismo_F840,T814,1
2019-2020,autismo_F840,T818,1
2019-2020,autismo_F840,T824,1
2019-2020,autismo_F840,T827,1
2019-2020,autismo_F840,T780,1
2019-2020,autismo_F840,N392,1
2019-2020,autismo_F840,T658,1
2019-2020,autismo_F840,Z763,1
2019-2020,autismo_F840,N185,1
2019-2020,autismo_F840,T511,1
2019-2020,autismo_F840,Q870,1
2019-2020,autismo_F840,Q851,1
2019-2020,autismo_F840,Q759,1
2019-2020,autismo_F840,N258,1
2019-2020,autismo_F840,Q750,1
2019-2020,autismo_F840,T634,1
2019-2020,autismo_F840,T58,1
2019-2020,autismo_F840,T600,1
2019-2020,autismo_F840,Q742,1
2019-2020,autismo_F840,Q692,1
2019-2020,autismo_F840,Z540,1
2019-2020,autismo_F840,Q680,1
2019-2020,autismo_F840,T846,1
2019-2020,autismo_F840,N480,1
2019-2020,autismo_F840,Z465,1
2019-2020,autismo_F840,P398,1
2019-2020,autismo_F840,P285,1
2019-2020,autismo_F840,Z139,1
2019-2020,autismo_F840,Q315,1
2019-2020,autismo_F840,Q282,1
2019-2020,autismo_F840,Q279,1
2019-2020,autismo_F840,Q250,1
2019-2020,autismo_F840,Q039,1
2019-2020,autismo_F840,T983,1
2019-2020,autismo_F840,Q245,1
2019-2020,autismo_F840,Q070,1
2019-2020,autismo_F840,Q230,1
2019-2020,autismo_F840,Q211,1
2019-2020,autismo_F840,Q100,1
2019-2020,autismo_F840,Z302,1
2019-2020,autismo_F840,Q321,1
2019-2020,autismo_F840,Q370,1
2019-2020,autismo_F840,Z087,1
2019-2020,autismo_F840,Z048,1
2019-2020,autismo_F840,Q892,1
2019-2020,autismo_F840,Z430,1
2019-2020,autismo_F840,Q383,1
2019-2020,autismo_F840,N922,1
2019-2020,autismo_F840,Z031,1
2019-2020,autismo_F840,Q430,1
2019-2020,autismo_F840,N832,1
2019-2020,autismo_F840,Z431,1
2019-2020,autismo_F840,N831,1
2019-2020,autismo_F840,Z433,1
2019-2020,autismo_F840,N483,1
2019-2020,autismo_F840,Z011,1
2019-2020,autismo_F840,Z304,1
2019-2020,autismo_F840,Q873,1
2019-2020,autismo_F840,S5210,1
2019-2020,autismo_F840,T505,1
2019-2020,autismo_F840,T150,1
2019-2020,autismo_F840,S681,1
2019-2020,autismo_F840,S682,1
2019-2020,autismo_F840,S701,1
2019-2020,autismo_F840,S0630,1
2019-2020,autismo_F840,S7230,1
2019-2020,autismo_F840,S7231,1
2019-2020,autismo_F840,S059,1
2019-2020,autismo_F840,S058,1
2019-2020,autismo_F840,S0260,1
2019-2020,autismo_F840,S0250,1
2019-2020,autismo_F840,S0230,1
2019-2020,autismo_F840,S8250,1
2019-2020,autismo_F840,S830,1
2019-2020,autismo_F840,S903,1
2019-2020,autismo_F840,T135,1
2019-2020,autismo_F840,S0200,1
2019-2020,autismo_F840,S018,1
2019-2020,autismo_F840,S0650,1
2019-2020,autismo_F840,S0680,1
2019-2020,autismo_F840,S090,1
2019-2020,autismo_F840,S417,1
2019-2020,autismo_F840,S5270,1
2019-2020,autismo_F840,S5280,1
2019-2020,autismo_F840,S4230,1
2019-2020,autismo_F840,S4220,1
2019-2020,autismo_F840,S5290,1
2019-2020,autismo_F840,S610,1
2019-2020,autismo_F840,S4200,1
2019-2020,autismo_F840,S410,1
2019-2020,autismo_F840,S6251,1
2019-2020,autismo_F840,S399,1
2019-2020,autismo_F840,S619,1
2019-2020,autismo_F840,S3671,1
2019-2020,autismo_F840,S310,1
2019-2020,autismo_F840,S2781,1
2019-2020,autismo_F840,S202,1
2019-2020,autismo_F840,S1200,1
2019-2020,autismo_F840,T141,1
2019-2020,autismo_F840,T172,1
2019-2020,autismo_F840,Q909,1
2019-2020,autismo_F840,T179,1
2019-2020,autismo_F840,T291,1
2019-2020,autismo_F840,T292,1
2019-2020,autismo_F840,R31,1
2019-2020,autismo_F840,T312,1
2019-2020,autismo_F840,R262,1
2019-2020,autismo_F840,R258,1
2019-2020,autismo_F840,T402,1
2019-2020,autismo_F840,R040,1
2019-2020,autismo_F840,T421,1
2019-2020,autismo_F840,T427,1
2019-2020,autismo_F840,Q998,1
2019-2020,autismo_F840,Q935,1
2019-2020,autismo_F840,T443,1
2019-2020,autismo_F840,T450,1
2019-2020,autismo_F840,T451,1
2019-2020,autismo_F840,Q929,1
2019-2020,autismo_F840,T465,1
2019-2020,autismo_F840,R490,1
2019-2020,autismo_F840,R508,1
2019-2020,autismo_F840,T290,1
2019-2020,autismo_F840,R572,1
2019-2020,autismo_F840,S015,1
2019-2020,autismo_F840,S012,1
2019-2020,autismo_F840,S011,1
2019-2020,autismo_F840,T189,1
2019-2020,autismo_F840,T201,1
2019-2020,autismo_F840,R620,1
2019-2020,autismo_F840,R599,1
2019-2020,autismo_F840,T222,1
2019-2020,autismo_F840,R509,1
2019-2020,autismo_F840,T223,1
2019-2020,autismo_F840,R522,1
2019-2020,autismo_F840,T230,1
2019-2020,autismo_F840,T233,1
2019-2020,autismo_F840,T242,1
2019-2020,autismo_F840,T243,1
2019-2020,autismo_F840,T251,1
2019-2020,autismo_F840,N183,1
2019-2020,autismo_F840,K561,1
2019-2020,autismo_F840,N178,1
2019-2020,autismo_F840,G040,1
2019-2020,autismo_F840,G001,1
2019-2020,autismo_F840,F982,1
2019-2020,autismo_F840,F928,1
2019-2020,autismo_F840,F920,1
2019-2020,autismo_F840,F911,1
2019-2020,autismo_F840,F800,1
2019-2020,autismo_F840,F739,1
2019-2020,autismo_F840,F731,1
