year,series,sex,count,population,crude,crude_lo,crude_hi,asr,asr_lo,asr_hi,asr_var,groups_missing
2022,A05_ingresos_TGD_total,TOTAL,8081.0,19828563.0,40.75434009010134,39.87056099496564,41.65277072750776,54.94703797733288,53.750689064813585,56.16398519943629,0.3766430516638816,0
2023,A05_ingresos_TGD_total,HOMBRE,8401.0,9848466.0,85.30262479456191,83.4881763556101,87.14657002322414,112.97714324764654,110.56721388198537,115.42758022220242,1.528010592115348,0
2023,A05_ingresos_TGD_total,MUJER,3741.0,10112423.0,36.99410121590048,35.818035579082235,38.198946217040884,50.52703963051206,48.90823111845989,52.1873967196513,0.6932019551539761,0
2023,A05_ingresos_TGD_total,TOTAL,12142.0,19960889.0,60.82895406111421,59.75174161222133,61.92071089252492,82.33891488476489,80.87445783204024,83.82390087882634,0.5632455294835652,0
2024,A05_ingresos_TGD_total,HOMBRE,10147.0,9910500.0,102.38635790323394,100.40378524675153,104.39823302556815,136.78251916371752,134.12660144797582,139.47894981411554,1.8540830790350282,0
2024,A05_ingresos_TGD_total,MUJER,4742.0,10175877.0,46.600406038712926,45.283391697906346,47.94600275855985,64.37192506517485,62.54153011324611,66.24384500425015,0.8846357134588337,0
2024,A05_ingresos_TGD_total,TOTAL,14889.0,20086377.0,74.1248658232393,72.93895156750396,75.3252293145725,101.25013850989589,99.62398096258183,102.89682405550896,0.6938960733808844,0
2021,A05_egresos_TGD_total,HOMBRE,1101.0,9708512.0,11.340563826876869,10.680504699018075,12.030737888787572,14.448740585894013,13.60471270799247,15.333045368209799,0.19101956389417335,0
2021,A05_egresos_TGD_total,MUJER,460.0,9969851.0,4.613910478702239,4.201852913762484,5.055453796902391,5.574515145043852,5.064996433690802,6.124288447816972,0.07083928478771885,0
2021,A05_egresos_TGD_total,TOTAL,1561.0,19678363.0,7.932570407406348,7.543891119185467,8.336083347028561,10.102699691306327,9.603002281738773,10.622620327977234,0.06664390567077097,0
2022,A05_egresos_TGD_total,HOMBRE,1356.0,9782978.0,13.860810072352201,13.132792936283204,14.61868330052895,17.907775082221164,16.9639950683853,18.891949385954913,0.23813111108970358,0
2022,A05_egresos_TGD_total,MUJER,467.0,10045585.0,4.64880840687725,4.236684882731412,5.0901920161757985,5.843034034312969,5.312338082759763,6.414805996353252,0.07682644863602854,0
2022,A05_egresos_TGD_total,TOTAL,1823.0,19828563.0,9.193807942612887,8.776568107355498,9.625759793840299,11.988555978783392,11.43970338146302,12.557807394804714,0.08024781862112446,0
2023,A05_egresos_TGD_total,HOMBRE,2157.0,9848466.0,21.9018880706904,20.987260439460993,22.846117689355456,28.679235238734258,27.477590455298884,29.92129444462098,0.3838906744214716,0
2023,A05_egresos_TGD_total,MUJER,843.0,10112423.0,8.336281027801151,7.782966486010859,8.918548968980652,11.188820000754257,10.43885401808207,11.980307953905323,0.15149744413128977,0
2023,A05_egresos_TGD_total,TOTAL,3000.0,19960889.0,15.029390725032338,14.496341425397754,15.57702931203098,20.09566014107065,19.379239176876396,20.832549705320485,0.1360203617134611,0
2024,A05_egresos_TGD_total,HOMBRE,3321.0,9910500.0,33.50991372786439,32.379810102411064,34.66939295812885,43.92722868623139,42.4394726541284,45.45521386497892,0.5860525007727403,0
2024,A05_egresos_TGD_total,MUJER,1625.0,10175877.0,15.969139564088678,15.20205779062255,16.76490220709346,21.008759753957605,19.985675327639928,22.07270522752706,0.2792530050593076,0
2024,A05_egresos_TGD_total,TOTAL,4946.0,20086377.0,24.623654131354797,23.9421455720106,25.31964122197242,32.68538182379224,31.773997226395537,33.61707077715539,0.21925880181543078,0
2021,05990027,HOMBRE,382.0,9708512.0,3.934691536663909,3.5499634173960444,4.3497442660773995,5.078396651191156,4.580705908758296,5.616951482711967,0.06782999765328776,0
2021,05990027,MUJER,112.0,9969851.0,1.1233868991622844,0.9249932976185743,1.3517263527021155,1.4507694913741147,1.1915182201469452,1.7521471955621821,0.019264770637421297,0
2021,05990027,TOTAL,494.0,19678363.0,2.510371416565494,2.293851232187327,2.741822249624261,3.2980821655856225,3.012327201005289,3.6044856140448216,0.022224456611312796,0
2022,05990027,HOMBRE,632.0,9782978.0,6.460200564695127,5.96629321557182,6.984089193616389,8.441288995907389,7.794702582039138,9.12867528175146,0.11318016558727942,0
2022,05990027,MUJER,199.0,10045585.0,1.9809697493973721,1.7152838128668642,2.2761515728853268,2.65428753785886,2.294064000117011,3.056949691566865,0.03628270596108531,0
2022,05990027,TOTAL,831.0,19828563.0,4.190923971646357,3.9107877592105607,4.485827419466667,5.603384714587333,5.227316946787283,6.0001382657181255,0.038095535984697566,0
2023,05990027,HOMBRE,1350.0,9848466.0,13.707718542156718,12.98616563078805,14.458929610731479,18.140163460274074,17.18333548710274,19.137695501247734,0.24476665245124418,0
2023,05990027,MUJER,464.0,10112423.0,4.588415654685331,4.1803637906484195,5.025535636729171,6.368084116221093,5.799176805046901,6.979287815908227,0.08821748145882305,0
2023,05990027,TOTAL,1814.0,19960889.0,9.08777159173622,8.674333952716015,9.51582399985117,12.361252058328938,11.797352052619468,12.945818665421378,0.08470119454954475,0
2024,05990027,HOMBRE,2331.0,9910500.0,23.52050855153625,22.57527652069022,24.495149227230414,31.239816545777938,29.981074288364756,32.539086601012166,0.42089263967823265,0
2024,05990027,MUJER,985.0,10175877.0,9.679755366539906,9.084619057790341,10.303639932626064,13.323865194248699,12.499172887222365,14.19031552622421,0.1826995102433734,0
2024,05990027,TOTAL,3316.0,20086377.0,16.50870139498029,15.951538402465497,17.08035820122211,22.445156304290126,21.684677733691903,23.22617830371929,0.1531263445822401,0
2017,05225000,HOMBRE,532.0,9074217.0,5.862764798329156,5.37509366218987,6.382797124254969,7.07948831427221,6.488618892481299,7.710599527274675,0.09486094519413091,0
2017,05225000,MUJER,204.0,9344975.0,2.182991393770449,1.893691116227459,2.5039899540607164,2.608499563495531,2.2576533754196455,3.0002394976121085,0.034394767142798266,0
2017,05225000,TOTAL,736.0,18419192.0,3.9958321733114026,3.712328462878188,4.295244483400141,4.886815035540356,4.53783742779122,5.256064195957156,0.032879124367613394,0
2018,05225000,HOMBRE,749.0,9244484.0,8.102128793775835,7.532203151109649,8.703748191110396,10.07768944837461,9.367109274092197,10.82876899192769,0.13625254275287435,0
2018,05225000,MUJER,297.0,9506921.0,3.124039844235584,2.778812269398355,3.5003046053005415,3.872369033752404,3.4376111926364423,4.348496575624141,0.05216531541735791,0
2018,05225000,TOTAL,1046.0,18751405.0,5.5782486698996685,5.245278415214928,5.926814938109096,7.039459559495865,6.616844614005235,7.482519709803571,0.047931490714553875,0
2019,05225000,HOMBRE,874.0,9424139.0,9.274056759986244,8.669327911446556,9.909847250369086,11.650992702646914,10.889196479171355,12.453156709768791,0.15617982222632612,0
2019,05225000,MUJER,334.0,9683077.0,3.449316782258367,3.0892732096629065,3.8398000018028275,4.233238170900209,3.7834641063984864,4.723873636926938,0.05564693666807423,0
2019,05225000,TOTAL,1208.0,19107216.0,6.322218788964337,5.970681223928182,6.689051021587289,8.01989753851227,7.571021379492645,8.489114992066424,0.053959078795350016,0
2020,05225000,HOMBRE,448.0,9599101.0,4.667103721483918,4.244881925456897,5.119956354604334,5.8688144912188385,5.336125351764883,6.441839694975786,0.07740214933773608,0
2020,05225000,MUJER,198.0,9859209.0,2.0082747003334647,1.7382720956949056,2.30833251244921,2.3778616367330203,2.050759068509601,2.7452994280318808,0.02994857353130274,0
2020,05225000,TOTAL,646.0,19458310.0,3.3199183279534554,3.068808789642855,3.5860992793712994,4.161960162147992,3.8442564317521892,4.499867638418663,0.02732129089887847,0
