year,code,IdServicio,IdRegion,IdComuna,IdEstablecimiento,months_with_rows,rows,rows_total_known,months_positive,total_known,Col01
2017,05225000,18,8,08101,118010,1,1,1,0,0,0
2017,05225000,18,8,08101,118100,1,1,1,1,1,1
2017,05225000,18,8,08101,118305,2,2,2,2,2,2
2017,05225000,18,8,08101,118306,1,1,1,0,0,0
2017,05225000,18,8,08101,118309,2,2,2,2,3,3
2017,05225000,18,8,08101,118609,2,2,2,1,1,1
2017,05225000,18,8,08101,200052,1,1,1,1,1,1
2017,05225000,18,8,08102,118311,1,1,1,1,1,1
2017,05225000,18,8,08102,118312,1,1,1,1,2,2
2017,05225000,18,8,08102,118313,1,1,1,1,1,1
2017,05225000,18,8,08103,118301,1,1,1,1,1,1
2017,05225000,18,8,08103,118314,2,2,2,2,2,2
2017,05225000,18,8,08104,118108,1,1,1,0,0,0
2017,05225000,18,8,08106,118106,1,1,1,0,0,0
2017,05225000,18,8,08106,118601,5,5,5,5,5,5
2017,05225000,18,8,08108,118302,3,3,3,2,4,4
2017,05225000,18,8,08108,118318,1,1,1,1,1,1
2017,05225000,18,8,08108,118708,2,2,2,1,1,1
2017,05225000,19,8,08107,119304,3,3,3,1,2,2
2017,05225000,19,8,08107,119703,2,2,2,2,2,2
2017,05225000,19,8,08110,119100,3,3,3,3,13,13
2017,05225000,19,8,08110,119302,8,8,8,8,10,10
2017,05225000,19,8,08110,119307,1,1,1,0,0,0
2017,05225000,19,8,08110,119702,1,1,1,1,4,4
2017,05225000,19,8,08111,119305,3,3,3,2,2,2
2017,05225000,19,8,08111,119306,1,1,1,1,1,1
2017,05225000,19,8,08111,119708,2,2,2,1,1,1
2017,05225000,19,8,08112,119309,2,2,2,2,2,2
2017,05225000,19,8,08112,119310,1,1,1,1,1,1
2017,05225000,19,8,08112,119601,2,2,2,2,2,2
2017,05225000,2,1,01101,102300,2,2,2,2,2,2
2017,05225000,2,1,01101,102301,5,5,5,5,6,6
2017,05225000,2,1,01101,102306,3,3,3,3,3,3
2017,05225000,2,1,01101,102600,4,4,4,4,10,10
2017,05225000,2,1,01101,102601,6,6,6,6,13,13
2017,05225000,2,1,01101,102701,2,2,2,2,2,2
