definition,unit,role,year,count_men,count_women,asr_men,asr_women,asr_ratio,asr_ratio_lo,asr_ratio_hi,count_ratio,count_ratio_lo,count_ratio_hi
TEA_operacional,records,solo_secundario,2021,1649.0,519.0,21.802689531032595,7.084402887083972,3.0775620583045145,2.7869741543864572,3.3984485316479778,3.1772639691714835,2.8770367250388427,3.5134404100298338
TEA_operacional,records,solo_secundario,2022,2655.0,901.0,35.64140205765604,12.421707659642534,2.8692835988608114,2.659275255173142,3.0958767260652094,2.9467258601553827,2.731206456690895,3.1815487311307993
TEA_operacional,records,solo_secundario,2023,4230.0,1816.0,57.18450068877788,24.872556120779024,2.2991002778763385,2.1754628840745447,2.4297643165627694,2.329295154185022,2.204142149647475,2.4623085069230726
TEA_operacional,records,solo_secundario,2024,5578.0,2745.0,75.50442566772475,37.181572303986414,2.0306948036091943,1.9394852892948606,2.126193690752172,2.0320582877959925,1.9409369346032765,2.1278393787875194
autismo_F840,persons,cualquiera,2019,928.0,261.0,12.437260021192303,3.6195964882353415,3.4360902000034343,2.993525493325558,3.9440839534803365,3.5555555555555554,3.096031249543766,4.094722623784657
autismo_F840,persons,cualquiera,2020,683.0,207.0,9.076793305257517,2.826315446241825,3.2115287475525793,2.746788900195064,3.7548997287793737,3.2995169082125604,2.820264094219923,3.873553306468568
autismo_F840,persons,cualquiera,2021,1191.0,361.0,15.80118626408528,4.98955571447383,3.166852354859732,2.8136353250478923,3.5644114033541006,3.299168975069252,2.9302085939197897,3.721808493545471
autismo_F840,persons,cualquiera,2022,1944.0,662.0,26.240080283237106,9.194741616847315,2.853813774946977,2.6118634451911866,3.118177206803,2.9365558912386707,2.6872489906613337,3.212162303035516
autismo_F840,persons,cualquiera,2023,3136.0,1304.0,42.50827471037297,17.990679257312685,2.362794317123663,2.2143869292665337,2.5211479128812653,2.4049079754601226,2.2537710541488125,2.567306323508787
autismo_F840,persons,cualquiera,2024,4145.0,1869.0,56.3034039456699,25.47823282102605,2.2098629972171855,2.0918764537911714,2.3345042474278137,2.2177635098983415,2.0993855987946572,2.3434872025120312
autismo_F840,records,cualquiera,2019,1095.0,304.0,14.684825505383909,4.216592978349615,3.482628174164343,3.0655841340120884,3.9564071541594945,3.601973684210526,3.1693030921343337,4.103555428886412
autismo_F840,records,cualquiera,2020,833.0,251.0,11.09250674639047,3.4304437405076245,3.2335486559383253,2.806082516084823,3.726133087814189,3.318725099601594,2.8784952832855204,3.8371373933990314
