year,code,IdRegion,age_group,sex,count
2017,05225000,11,60-64,Hombres,
2017,05225000,11,60-64,Mujeres,
2017,05225000,11,65-69,Hombres,
2017,05225000,11,65-69,Mujeres,
2017,05225000,11,70-74,Hombres,
2017,05225000,11,70-74,Mujeres,
2017,05225000,11,75-79,Hombres,
2017,05225000,11,75-79,Mujeres,
2017,05225000,11,80+,Hombres,
2017,05225000,11,80+,Mujeres,
2017,05225000,12,0-4,Hombres,
2017,05225000,12,0-4,Mujeres,
2017,05225000,12,5-9,Hombres,
2017,05225000,12,5-9,Mujeres,
2017,05225000,12,10-14,Hombres,
2017,05225000,12,10-14,Mujeres,
2017,05225000,12,15-19,Hombres,1.0
2017,05225000,12,15-19,Mujeres,
2017,05225000,12,20-24,Hombres,
2017,05225000,12,20-24,Mujeres,
2017,05225000,12,25-29,Hombres,
2017,05225000,12,25-29,Mujeres,
2017,05225000,12,30-34,Hombres,
2017,05225000,12,30-34,Mujeres,
2017,05225000,12,35-39,Hombres,
2017,05225000,12,35-39,Mujeres,
2017,05225000,12,40-44,Hombres,
2017,05225000,12,40-44,Mujeres,
2017,05225000,12,45-49,Hombres,
2017,05225000,12,45-49,Mujeres,
2017,05225000,12,50-54,Hombres,
2017,05225000,12,50-54,Mujeres,
2017,05225000,12,55-59,Hombres,
2017,05225000,12,55-59,Mujeres,
2017,05225000,12,60-64,Hombres,
2017,05225000,12,60-64,Mujeres,
2017,05225000,12,65-69,Hombres,
2017,05225000,12,65-69,Mujeres,
2017,05225000,12,70-74,Hombres,
2017,05225000,12,70-74,Mujeres,
2017,05225000,12,75-79,Hombres,
2017,05225000,12,75-79,Mujeres,
2017,05225000,12,80+,Hombres,
2017,05225000,12,80+,Mujeres,
2017,05225000,13,0-4,Hombres,30.0
2017,05225000,13,0-4,Mujeres,6.0
2017,05225000,13,5-9,Hombres,83.0
2017,05225000,13,5-9,Mujeres,26.0
2017,05225000,13,10-14,Hombres,50.0
2017,05225000,13,10-14,Mujeres,10.0
2017,05225000,13,15-19,Hombres,33.0
2017,05225000,13,15-19,Mujeres,17.0
2017,05225000,13,20-24,Hombres,4.0
2017,05225000,13,20-24,Mujeres,3.0
2017,05225000,13,25-29,Hombres,2.0
2017,05225000,13,25-29,Mujeres,3.0
2017,05225000,13,30-34,Hombres,3.0
2017,05225000,13,30-34,Mujeres,3.0
2017,05225000,13,35-39,Hombres,0.0
2017,05225000,13,35-39,Mujeres,3.0
2017,05225000,13,40-44,Hombres,0.0
