series,year,cut_region,sex,count,population,crude,crude_lo,crude_hi,asr,asr_lo,asr_hi,asr_var,groups_missing,period,region
05990022,2023.0,2,MUJER,59.0,355070.0,16.61644182837187,12.64920540420014,21.433999313536983,21.832299439351214,16.615927958206004,28.181069933307615,8.091574918752281,0.0,2023,Antofagasta
05990022,2023.0,2,TOTAL,221.0,714142.0,30.946226380747806,27.00043434832766,35.30644051954067,39.36674675589717,34.33590115774698,44.93413951901888,7.045421581141209,0.0,2023,Antofagasta
05990022,2023.0,3,HOMBRE,196.0,160922.0,121.79813822845851,105.34269987013556,140.09518448506088,149.3226928225354,129.09805647987332,171.90802788882468,114.35378065235614,0.0,2023,Atacama
05990022,2023.0,3,MUJER,73.0,158126.0,46.16571594804144,36.18655181469154,58.046456738918046,57.25358404916908,44.817802596824265,72.18055323852649,45.36843931998149,0.0,2023,Atacama
05990022,2023.0,3,TOTAL,269.0,319048.0,84.31333216318548,74.53786792824494,95.01452367104643,104.22136960049458,92.09906517667822,117.5415577846643,40.64665251546544,0.0,2023,Atacama
05990022,2023.0,4,HOMBRE,387.0,425400.0,90.97320169252468,82.13415222793215,100.50424656685392,112.46405637236322,101.51434026641002,124.33122080696437,32.82145633020929,0.0,2023,Coquimbo
05990022,2023.0,4,MUJER,159.0,443703.0,35.83478137402722,30.481231461734318,41.8579432507897,46.66753973946539,39.66201974962242,54.62568991628336,13.835292366260447,0.0,2023,Coquimbo
05990022,2023.0,4,TOTAL,546.0,869103.0,62.82339377496108,57.66366083355815,68.3209443733044,80.11779831631513,73.51859447222317,87.1807289406712,11.825892888291767,0.0,2023,Coquimbo
05990022,2023.0,5,HOMBRE,624.0,983195.0,63.46655546458231,58.5839066385421,68.64754878365092,86.26612880845099,79.6069032652486,93.35648897389615,12.008865826347447,0.0,2023,Valparaíso
05990022,2023.0,5,MUJER,272.0,1027654.0,26.468052476806395,23.41573789923454,29.807739078658624,38.31821708112435,33.875519492221414,43.20973867774646,5.458319704423048,0.0,2023,Valparaíso
05990022,2023.0,5,TOTAL,896.0,2010849.0,44.55829353671012,41.68809844494031,47.57404340999091,62.779632170942875,58.71943295511583,67.05858039366527,4.4348611260421205,0.0,2023,Valparaíso
05990022,2023.0,6,HOMBRE,170.0,508672.0,33.42035732259688,28.58524175890454,38.839069946207545,44.36201015208061,37.92586182888322,51.623370113152454,11.644266546683923,0.0,2023,O'Higgins
05990022,2023.0,6,MUJER,83.0,509029.0,16.30555430044261,12.987282983445558,20.213187813909634,22.3111607732306,17.744904022923883,27.7465149296955,6.0700877777103734,0.0,2023,O'Higgins
05990022,2023.0,6,TOTAL,253.0,1017701.0,24.859953955041806,21.890766574417118,28.11953500492853,33.58408814809688,29.55768262038623,38.02889578587289,4.493131713721923,0.0,2023,O'Higgins
05990022,2023.0,7,HOMBRE,269.0,569896.0,47.201594676923506,41.72894297691278,53.19250134796528,61.1925752693517,54.081229292041634,69.0154262339444,13.98730119726068,0.0,2023,Maule
05990022,2023.0,7,MUJER,72.0,592745.0,12.146875975335094,9.504182353320289,15.296979990494723,16.80170844723536,13.134231954656464,21.22001370880958,3.9484822257867784,0.0,2023,Maule
05990022,2023.0,7,TOTAL,341.0,1162641.0,29.32977591535134,26.299021078787316,32.61400111685976,39.405211898971935,35.32280874833189,43.84832458568131,4.5777962581317535,0.0,2023,Maule
05990022,2023.0,8,HOMBRE,780.0,818002.0,95.3542900873103,88.77905018800203,102.28762360776223,126.08029436580887,117.35072409349571,135.31529981586945,20.550054168616537,0.0,2023,Biobío
05990022,2023.0,8,MUJER,323.0,863428.0,37.4090254196065,33.44015226986232,41.719372862894595,52.86017782069153,47.22138051735203,59.02128977639137,8.748356619439301,0.0,2023,Biobío
05990022,2023.0,8,TOTAL,1103.0,1681430.0,65.59892472478784,61.78425710763157,69.58747323106556,90.16999106043276,84.90233507784642,95.69350457906036,7.440462730885357,0.0,2023,Biobío
05990022,2023.0,9,HOMBRE,328.0,501761.0,65.36976767823725,58.48600764481752,72.84105334760984,83.45847939676881,74.64601917144738,93.06655152194091,21.35456761386971,0.0,2023,La Araucanía
