year,cut_region,age,population
2020,9,5,13956.0
2020,10,0,10180.0
2020,10,1,10237.0
2020,10,2,10405.0
2020,10,3,10937.0
2020,10,4,11364.0
2020,10,5,11339.0
2020,11,0,1303.0
2020,11,1,1326.0
2020,11,2,1358.0
2020,11,3,1431.0
2020,11,4,1519.0
2020,11,5,1548.0
2020,12,0,1929.0
2020,12,1,1923.0
2020,12,2,1933.0
2020,12,3,2004.0
2020,12,4,2140.0
2020,12,5,2193.0
2020,13,0,103124.0
2020,13,1,100003.0
2020,13,2,98634.0
2020,13,3,100015.0
2020,13,4,104100.0
2020,13,5,105453.0
2020,14,0,4374.0
2020,14,1,4399.0
2020,14,2,4463.0
2020,14,3,4680.0
2020,14,4,4966.0
2020,14,5,4931.0
2020,15,0,3157.0
2020,15,1,3135.0
2020,15,2,3155.0
2020,15,3,3278.0
2020,15,4,3415.0
2020,15,5,3690.0
2020,16,0,5237.0
2020,16,1,5341.0
2020,16,2,5503.0
2020,16,3,5866.0
2020,16,4,6257.0
2020,16,5,6430.0
2021,1,0,5971.0
2021,1,1,5859.0
2021,1,2,5696.0
2021,1,3,5601.0
2021,1,4,5648.0
2021,1,5,6059.0
2021,2,0,9926.0
2021,2,1,9695.0
2021,2,2,9319.0
2021,2,3,9031.0
2021,2,4,9048.0
2021,2,5,9866.0
2021,3,0,4117.0
2021,3,1,4128.0
2021,3,2,4125.0
2021,3,3,4154.0
2021,3,4,4326.0
2021,3,5,4700.0
2021,4,0,9928.0
2021,4,1,9938.0
2021,4,2,9966.0
2021,4,3,10109.0
2021,4,4,10536.0
2021,4,5,11488.0
2021,5,0,21502.0
2021,5,1,21488.0
2021,5,2,21532.0
2021,5,3,21820.0
2021,5,4,22778.0
2021,5,5,24515.0
2021,6,0,11286.0
2021,6,1,11387.0
2021,6,2,11531.0
2021,6,3,11779.0
2021,6,4,12384.0
2021,6,5,13191.0
2021,7,0,13145.0
2021,7,1,13244.0
2021,7,2,13397.0
2021,7,3,13664.0
2021,7,4,14383.0
2021,7,5,15137.0
2021,8,0,18331.0
2021,8,1,18440.0
2021,8,2,18573.0
2021,8,3,18855.0
2021,8,4,19838.0
2021,8,5,21303.0
2021,9,0,11746.0
2021,9,1,11858.0
2021,9,2,12013.0
2021,9,3,12265.0
2021,9,4,12964.0
2021,9,5,13538.0
2021,10,0,10156.0
2021,10,1,10207.0
2021,10,2,10276.0
2021,10,3,10441.0
2021,10,4,10968.0
2021,10,5,11387.0
2021,11,0,1294.0
2021,11,1,1318.0
2021,11,2,1343.0
2021,11,3,1371.0
2021,11,4,1442.0
2021,11,5,1527.0
2021,12,0,1941.0
2021,12,1,1941.0
2021,12,2,1939.0
2021,12,3,1946.0
2021,12,4,2016.0
2021,12,5,2148.0
2021,13,0,105341.0
2021,13,1,102973.0
2021,13,2,99947.0
2021,13,3,98651.0
2021,13,4,100042.0
2021,13,5,104152.0
2021,14,0,4386.0
2021,14,1,4405.0
2021,14,2,4436.0
2021,14,3,4499.0
2021,14,4,4715.0
2021,14,5,4997.0
2021,15,0,3182.0
2021,15,1,3172.0
2021,15,2,3154.0
2021,15,3,3176.0
2021,15,4,3299.0
2021,15,5,3432.0
2021,16,0,5233.0
2021,16,1,5327.0
2021,16,2,5451.0
2021,16,3,5615.0
2021,16,4,5968.0
2021,16,5,6343.0
2022,1,0,6020.0
2022,1,1,5977.0
2022,1,2,5862.0
2022,1,3,5695.0
2022,1,4,5598.0
2022,1,5,5643.0
2022,2,0,9974.0
2022,2,1,9888.0
2022,2,2,9621.0
2022,2,3,9215.0
2022,2,4,8906.0
2022,2,5,8909.0
2022,3,0,4100.0
2022,3,1,4126.0
2022,3,2,4135.0
2022,3,3,4128.0
2022,3,4,4154.0
2022,3,5,4325.0
2022,4,0,9964.0
2022,4,1,10007.0
2022,4,2,10048.0
2022,4,3,10090.0
2022,4,4,10241.0
2022,4,5,10665.0
2022,5,0,21505.0
2022,5,1,21567.0
2022,5,2,21601.0
2022,5,3,21673.0
2022,5,4,21974.0
2022,5,5,22932.0
2022,6,0,11251.0
2022,6,1,11380.0
2022,6,2,11527.0
2022,6,3,11670.0
2022,6,4,11917.0
2022,6,5,12512.0
2022,7,0,13107.0
2022,7,1,13240.0
2022,7,2,13369.0
2022,7,3,13537.0
2022,7,4,13816.0
2022,7,5,14542.0
2022,8,0,18253.0
2022,8,1,18372.0
2022,8,2,18488.0
2022,8,3,18622.0
2022,8,4,18909.0
2022,8,5,19896.0
2022,9,0,11673.0
2022,9,1,11792.0
2022,9,2,11937.0
2022,9,3,12111.0
2022,9,4,12370.0
2022,9,5,13068.0
2022,10,0,10113.0
2022,10,1,10168.0
2022,10,2,10232.0
2022,10,3,10301.0
2022,10,4,10466.0
2022,10,5,10986.0
2022,11,0,1283.0
2022,11,1,1305.0
2022,11,2,1331.0
2022,11,3,1353.0
2022,11,4,1379.0
2022,11,5,1448.0
2022,12,0,1942.0
2022,12,1,1949.0
2022,12,2,1951.0
2022,12,3,1948.0
2022,12,4,1953.0
2022,12,5,2020.0
2022,13,0,105844.0
2022,13,1,104864.0
2022,13,2,102491.0
2022,13,3,99474.0
2022,13,4,98172.0
2022,13,5,99603.0
2022,14,0,4388.0
2022,14,1,4412.0
2022,14,2,4437.0
2022,14,3,4468.0
2022,14,4,4531.0
2022,14,5,4746.0
2022,15,0,3182.0
2022,15,1,3187.0
2022,15,2,3177.0
2022,15,3,3159.0
2022,15,4,3182.0
2022,15,5,3303.0
2022,16,0,5220.0
2022,16,1,5315.0
2022,16,2,5429.0
2022,16,3,5556.0
2022,16,4,5714.0
2022,16,5,6053.0
2023,1,0,6034.0
2023,1,1,6021.0
2023,1,2,5972.0
2023,1,3,5853.0
2023,1,4,5682.0
2023,1,5,5583.0
2023,2,0,9933.0
2023,2,1,9926.0
2023,2,2,9804.0
2023,2,3,9502.0
2023,2,4,9074.0
2023,2,5,8752.0
2023,3,0,4067.0
2023,3,1,4106.0
2023,3,2,4131.0
2023,3,3,4136.0
2023,3,4,4126.0
2023,3,5,4151.0
2023,4,0,9976.0
2023,4,1,10040.0
2023,4,2,10111.0
2023,4,3,10167.0
2023,4,4,10219.0
2023,4,5,10368.0
2023,5,0,21473.0
2023,5,1,21560.0
2023,5,2,21671.0
2023,5,3,21732.0
2023,5,4,21819.0
2023,5,5,22121.0
2023,6,0,11187.0
2023,6,1,11342.0
2023,6,2,11516.0
2023,6,3,11662.0
2023,6,4,11805.0
2023,6,5,12044.0
2023,7,0,13050.0
2023,7,1,13196.0
2023,7,2,13361.0
2023,7,3,13505.0
2023,7,4,13686.0
2023,7,5,13971.0
2023,8,0,18140.0
2023,8,1,18289.0
2023,8,2,18415.0
2023,8,3,18532.0
2023,8,4,18674.0
2023,8,5,18966.0
2023,9,0,11585.0
2023,9,1,11715.0
2023,9,2,11868.0
2023,9,3,12030.0
2023,9,4,12213.0
