year,code,IdRegion,IdComuna,Col01,Col02,Col03,total_known,rows,rows_total_known,reporting_establishments
2017,06902600,8,08413,3,2,1,3,3,3,1
2017,06902600,8,08416,17,13,4,17,11,11,3
2017,06902600,8,08419,2,2,0,2,2,2,2
2017,06902600,8,08420,2,1,1,2,2,2,2
2017,06902600,8,08421,1,0,1,1,1,1,1
2017,06902600,9,09101,29,25,4,29,22,22,9
2017,06902600,9,09102,1,0,1,1,1,1,1
2017,06902600,9,09103,4,2,2,4,3,3,1
2017,06902600,9,09105,1,1,0,1,1,1,1
2017,06902600,9,09107,1,1,0,1,1,1,1
2017,06902600,9,09108,14,11,3,14,11,11,3
2017,06902600,9,09109,2,2,0,2,2,2,1
2017,06902600,9,09110,2,2,0,2,2,2,1
2017,06902600,9,09111,8,8,0,8,6,6,2
2017,06902600,9,09112,6,4,2,6,6,6,1
2017,06902600,9,09114,10,10,0,10,3,3,2
2017,06902600,9,09115,5,5,0,5,4,4,2
2017,06902600,9,09117,1,0,1,1,1,1,1
2017,06902600,9,09118,1,1,0,1,1,1,1
2017,06902600,9,09120,14,10,4,14,12,12,3
2017,06902600,9,09201,62,38,24,62,14,14,3
2017,06902600,9,09202,2,2,0,2,1,1,1
2017,06902600,9,09206,1,1,0,1,1,1,1
2017,06902600,9,09208,1,0,1,1,1,1,1
2017,06902600,9,09210,4,3,1,4,4,4,1
2017,06902600,9,09211,34,31,3,34,12,12,2
2018,05225000,1,01101,73,53,20,73,23,23,6
2018,05225000,1,01107,3,2,1,3,1,1,1
2018,05225000,1,01401,1,1,0,1,1,1,1
2018,05225000,10,10101,13,12,1,13,5,5,2
2018,05225000,10,10102,1,1,0,1,1,1,1
2018,05225000,10,10203,10,4,6,10,5,5,2
2018,05225000,10,10204,1,1,0,1,1,1,1
2018,05225000,10,10208,6,6,0,6,5,5,3
2018,05225000,10,10301,3,3,0,3,6,6,5
2018,05225000,10,10304,1,1,0,1,1,1,1
2018,05225000,10,10401,2,2,0,2,2,2,1
2018,05225000,11,11101,7,7,0,7,5,5,2
2018,05225000,11,11201,6,5,1,6,4,4,2
2018,05225000,11,11401,1,1,0,1,1,1,1
