era,definition,window,position,group,patients
2019-2020,F84_historico,all,principal,Signos_desarrollo_habla,1
2021-2024,autismo_F840,all,any,Animo_ansiedad_estres,456
2021-2024,autismo_F840,730d,any,Animo_ansiedad_estres,418
2021-2024,autismo_F840,all,any,Epilepsia,344
2021-2024,autismo_F840,365d,any,Animo_ansiedad_estres,341
2021-2024,autismo_F840,730d,any,Epilepsia,288
2021-2024,autismo_F840,all,principal,Animo_ansiedad_estres,214
2021-2024,autismo_F840,365d,any,Epilepsia,209
2021-2024,autismo_F840,730d,principal,Animo_ansiedad_estres,198
2021-2024,autismo_F840,all,any,Lenguaje_aprendizaje_desarrollo,189
2021-2024,autismo_F840,all,any,Signos_desarrollo_habla,173
2021-2024,autismo_F840,365d,principal,Animo_ansiedad_estres,169
2021-2024,autismo_F840,all,principal,Epilepsia,168
2021-2024,autismo_F840,730d,any,Lenguaje_aprendizaje_desarrollo,155
2021-2024,autismo_F840,all,any,Conducta_emociones_infancia,155
2021-2024,autismo_F840,730d,any,Signos_desarrollo_habla,140
2021-2024,autismo_F840,730d,principal,Epilepsia,136
2021-2024,autismo_F840,730d,any,Conducta_emociones_infancia,135
2021-2024,autismo_F840,all,any,Discapacidad_intelectual,134
2021-2024,autismo_F840,730d,any,Discapacidad_intelectual,116
2021-2024,autismo_F840,365d,any,Lenguaje_aprendizaje_desarrollo,107
2021-2024,autismo_F840,365d,any,Conducta_emociones_infancia,105
2021-2024,autismo_F840,all,any,Hiperactividad_atencion,101
2021-2024,autismo_F840,365d,any,Discapacidad_intelectual,90
2021-2024,autismo_F840,730d,any,Hiperactividad_atencion,88
2021-2024,autismo_F840,365d,any,Signos_desarrollo_habla,87
2021-2024,autismo_F840,365d,principal,Epilepsia,83
2021-2024,autismo_F840,all,any,Psicosis,76
2021-2024,autismo_F840,730d,any,Psicosis,71
2021-2024,autismo_F840,365d,any,Hiperactividad_atencion,71
2021-2024,autismo_F840,all,any,Audicion,59
2021-2024,autismo_F840,all,principal,Psicosis,53
2021-2024,autismo_F840,all,principal,Conducta_emociones_infancia,52
2021-2024,autismo_F840,365d,any,Psicosis,52
2021-2024,autismo_F840,730d,any,Audicion,50
2021-2024,autismo_F840,730d,principal,Psicosis,48
2021-2024,autismo_F840,730d,principal,Conducta_emociones_infancia,45
2021-2024,autismo_F840,365d,principal,Conducta_emociones_infancia,36
2021-2024,autismo_F840,365d,any,Audicion,34
2021-2024,autismo_F840,365d,principal,Psicosis,33
2021-2024,autismo_F840,all,principal,Audicion,19
2021-2024,autismo_F840,730d,principal,Audicion,15
2021-2024,autismo_F840,730d,principal,Discapacidad_intelectual,11
2021-2024,autismo_F840,all,principal,Discapacidad_intelectual,11
2021-2024,autismo_F840,365d,principal,Audicion,10
2021-2024,autismo_F840,365d,principal,Discapacidad_intelectual,7
2021-2024,autismo_F840,all,principal,Hiperactividad_atencion,7
2021-2024,autismo_F840,all,principal,Lenguaje_aprendizaje_desarrollo,7
2021-2024,autismo_F840,730d,principal,Hiperactividad_atencion,6
2021-2024,autismo_F840,365d,principal,Hiperactividad_atencion,5
2021-2024,autismo_F840,730d,principal,Lenguaje_aprendizaje_desarrollo,5
