cut_comuna,comuna,comuna_norm,cut_region,region,region_short,continental
7401,Linares,LINARES,7,Maule,Maule,True
7402,Colbún,COLBUN,7,Maule,Maule,True
7403,Longaví,LONGAVI,7,Maule,Maule,True
7404,Parral,PARRAL,7,Maule,Maule,True
7405,Retiro,RETIRO,7,Maule,Maule,True
7406,San Javier,SAN JAVIER,7,Maule,Maule,True
7407,Villa Alegre,VILLA ALEGRE,7,Maule,Maule,True
7408,Yerbas Buenas,YERBAS BUENAS,7,Maule,Maule,True
8101,Concepción,CONCEPCION,8,Biobío,Biobío,True
8102,Coronel,CORONEL,8,Biobío,Biobío,True
8103,Chiguayante,CHIGUAYANTE,8,Biobío,Biobío,True
8104,Florida,FLORIDA,8,Biobío,Biobío,True
8105,Hualqui,HUALQUI,8,Biobío,Biobío,True
8106,Lota,LOTA,8,Biobío,Biobío,True
8107,Penco,PENCO,8,Biobío,Biobío,True
8108,San Pedro de la Paz,SAN PEDRO DE LA PAZ,8,Biobío,Biobío,True
8109,Santa Juana,SANTA JUANA,8,Biobío,Biobío,True
8110,Talcahuano,TALCAHUANO,8,Biobío,Biobío,True
8111,Tomé,TOME,8,Biobío,Biobío,True
8112,Hualpén,HUALPEN,8,Biobío,Biobío,True
8201,Lebu,LEBU,8,Biobío,Biobío,True
8202,Arauco,ARAUCO,8,Biobío,Biobío,True
8203,Cañete,CANETE,8,Biobío,Biobío,True
8204,Contulmo,CONTULMO,8,Biobío,Biobío,True
8205,Curanilahue,CURANILAHUE,8,Biobío,Biobío,True
8206,Los Álamos,LOS ALAMOS,8,Biobío,Biobío,True
8207,Tirúa,TIRUA,8,Biobío,Biobío,True
8301,Los Angeles,LOS ANGELES,8,Biobío,Biobío,True
8302,Antuco,ANTUCO,8,Biobío,Biobío,True
8303,Cabrero,CABRERO,8,Biobío,Biobío,True
8304,Laja,LAJA,8,Biobío,Biobío,True
8305,Mulchén,MULCHEN,8,Biobío,Biobío,True
8306,Nacimiento,NACIMIENTO,8,Biobío,Biobío,True
8307,Negrete,NEGRETE,8,Biobío,Biobío,True
8308,Quilaco,QUILACO,8,Biobío,Biobío,True
8309,Quilleco,QUILLECO,8,Biobío,Biobío,True
8310,San Rosendo,SAN ROSENDO,8,Biobío,Biobío,True
8311,Santa Bárbara,SANTA BARBARA,8,Biobío,Biobío,True
8312,Tucapel,TUCAPEL,8,Biobío,Biobío,True
8313,Yumbel,YUMBEL,8,Biobío,Biobío,True
8314,Alto Biobío,ALTO BIOBIO,8,Biobío,Biobío,True
9101,Temuco,TEMUCO,9,La Araucanía,La Araucanía,True
9102,Carahue,CARAHUE,9,La Araucanía,La Araucanía,True
9103,Cunco,CUNCO,9,La Araucanía,La Araucanía,True
9104,Curarrehue,CURARREHUE,9,La Araucanía,La Araucanía,True
9105,Freire,FREIRE,9,La Araucanía,La Araucanía,True
9106,Galvarino,GALVARINO,9,La Araucanía,La Araucanía,True
9107,Gorbea,GORBEA,9,La Araucanía,La Araucanía,True
9108,Lautaro,LAUTARO,9,La Araucanía,La Araucanía,True
9109,Loncoche,LONCOCHE,9,La Araucanía,La Araucanía,True
9110,Melipeuco,MELIPEUCO,9,La Araucanía,La Araucanía,True
9111,Nueva Imperial,NUEVA IMPERIAL,9,La Araucanía,La Araucanía,True
9112,Padre Las Casas,PADRE LAS CASAS,9,La Araucanía,La Araucanía,True
9113,Perquenco,PERQUENCO,9,La Araucanía,La Araucanía,True
9114,Pitrufquen,PITRUFQUEN,9,La Araucanía,La Araucanía,True
9115,Pucón,PUCON,9,La Araucanía,La Araucanía,True
9116,Saavedra,SAAVEDRA,9,La Araucanía,La Araucanía,True
9117,Teodoro Schmidt,TEODORO SCHMIDT,9,La Araucanía,La Araucanía,True
9118,Toltén,TOLTEN,9,La Araucanía,La Araucanía,True
9119,Vilcún,VILCUN,9,La Araucanía,La Araucanía,True
9120,Villarrica,VILLARRICA,9,La Araucanía,La Araucanía,True
9121,Cholchol,CHOLCHOL,9,La Araucanía,La Araucanía,True
9201,Angol,ANGOL,9,La Araucanía,La Araucanía,True
9202,Collipulli,COLLIPULLI,9,La Araucanía,La Araucanía,True
9203,Curacautín,CURACAUTIN,9,La Araucanía,La Araucanía,True
9204,Ercilla,ERCILLA,9,La Araucanía,La Araucanía,True
9205,Lonquimay,LONQUIMAY,9,La Araucanía,La Araucanía,True
9206,Los Sauces,LOS SAUCES,9,La Araucanía,La Araucanía,True
9207,Lumaco,LUMACO,9,La Araucanía,La Araucanía,True
9208,Purén,PUREN,9,La Araucanía,La Araucanía,True
9209,Renaico,RENAICO,9,La Araucanía,La Araucanía,True
9210,Traiguén,TRAIGUEN,9,La Araucanía,La Araucanía,True
9211,Victoria,VICTORIA,9,La Araucanía,La Araucanía,True
10101,Puerto Montt,PUERTO MONTT,10,Los Lagos,Los Lagos,True
10102,Calbuco,CALBUCO,10,Los Lagos,Los Lagos,True
10103,Cochamó,COCHAMO,10,Los Lagos,Los Lagos,True
10104,Fresia,FRESIA,10,Los Lagos,Los Lagos,True
10105,Frutillar,FRUTILLAR,10,Los Lagos,Los Lagos,True
10106,Los Muermos,LOS MUERMOS,10,Los Lagos,Los Lagos,True
10107,Llanquihue,LLANQUIHUE,10,Los Lagos,Los Lagos,True
10108,Maullín,MAULLIN,10,Los Lagos,Los Lagos,True
