era,definition,window,position,code,patients
2019-2020,autismo_F840,730d,any,Z818,4
2019-2020,autismo_F840,730d,any,W1899,4
2019-2020,autismo_F840,730d,any,Z833,4
2019-2020,autismo_F840,730d,any,F419,4
2019-2020,autismo_F840,all,any,E46,4
2019-2020,autismo_F840,730d,any,F603,4
2019-2020,autismo_F840,730d,any,F83,4
2019-2020,autismo_F840,730d,any,F638,4
2019-2020,autismo_F840,730d,any,F709,4
2019-2020,autismo_F840,730d,any,B957,4
2019-2020,autismo_F840,730d,any,G473,4
2019-2020,autismo_F840,365d,any,Z818,4
2019-2020,autismo_F840,730d,any,G819,4
2019-2020,autismo_F840,365d,any,Z833,4
2019-2020,autismo_F840,365d,any,Z876,4
2019-2020,autismo_F840,all,any,G473,4
2019-2020,autismo_F840,365d,principal,A099,4
2019-2020,autismo_F840,730d,principal,A099,4
2019-2020,autismo_F840,730d,any,F711,4
2019-2020,autismo_F840,730d,any,Q870,4
2019-2020,autismo_F840,730d,principal,K590,4
2019-2020,autismo_F840,730d,any,Z978,4
2019-2020,autismo_F840,730d,any,I10,4
2019-2020,autismo_F840,all,any,Q870,4
2019-2020,autismo_F840,all,any,G819,4
2019-2020,autismo_F840,365d,principal,F845,4
2019-2020,autismo_F840,730d,any,Z958,4
2019-2020,autismo_F840,365d,principal,J353,4
2019-2020,autismo_F840,365d,principal,K029,4
2019-2020,autismo_F840,all,any,P942,4
2019-2020,autismo_F840,730d,any,Z931,4
2019-2020,autismo_F840,all,any,G918,4
2019-2020,autismo_F840,730d,any,G918,4
2019-2020,autismo_F840,365d,principal,R458,4
2019-2020,autismo_F840,all,any,F419,4
2019-2020,autismo_F840,730d,principal,G401,4
2019-2020,autismo_F840,365d,any,J960,4
2019-2020,autismo_F840,365d,any,G401,4
2019-2020,autismo_F840,365d,any,B957,4
2019-2020,autismo_F840,365d,any,F603,4
2019-2020,autismo_F840,365d,any,J159,4
2019-2020,autismo_F840,365d,any,F609,4
2019-2020,autismo_F840,365d,any,G473,4
2019-2020,autismo_F840,365d,any,J450,4
2019-2020,autismo_F840,all,principal,R458,4
2019-2020,autismo_F840,365d,any,F82,4
2019-2020,autismo_F840,all,principal,K590,4
2019-2020,autismo_F840,all,principal,J159,4
2019-2020,autismo_F840,365d,any,F419,4
2019-2020,autismo_F840,365d,any,G819,4
2019-2020,autismo_F840,365d,any,J353,4
2019-2020,autismo_F840,365d,any,F918,4
2019-2020,autismo_F840,365d,any,E46,4
2019-2020,autismo_F840,all,principal,G401,4
2019-2020,autismo_F840,all,any,E559,3
2019-2020,autismo_F840,all,principal,F432,3
2019-2020,autismo_F840,730d,any,D696,3
2019-2020,autismo_F840,all,any,K358,3
2019-2020,autismo_F840,all,any,Y95,3
2019-2020,autismo_F840,all,any,Z033,3
2019-2020,autismo_F840,365d,any,T814,3
2019-2020,autismo_F840,365d,any,W1899,3
2019-2020,autismo_F840,730d,any,D630,3
2019-2020,autismo_F840,730d,any,Q02,3
2019-2020,autismo_F840,all,any,Z048,3
2019-2020,autismo_F840,730d,any,Q211,3
2019-2020,autismo_F840,730d,principal,N390,3
2019-2020,autismo_F840,all,any,X6409,3
2019-2020,autismo_F840,730d,any,C629,3
2019-2020,autismo_F840,730d,any,B965,3
2019-2020,autismo_F840,730d,any,Z622,3
2019-2020,autismo_F840,365d,any,X6409,3
2019-2020,autismo_F840,730d,any,Z615,3
2019-2020,autismo_F840,all,any,D696,3
2019-2020,autismo_F840,all,any,L209,3
2019-2020,autismo_F840,730d,any,E559,3
2019-2020,autismo_F840,all,any,Z290,3
2019-2020,autismo_F840,all,any,E876,3
2019-2020,autismo_F840,730d,any,N10,3
2019-2020,autismo_F840,all,any,J069,3
2019-2020,autismo_F840,all,any,J121,3
2019-2020,autismo_F840,all,any,Z622,3
2019-2020,autismo_F840,730d,any,F431,3
2019-2020,autismo_F840,all,any,Z615,3
2019-2020,autismo_F840,730d,any,Z928,3
2019-2020,autismo_F840,all,any,Z608,3
2019-2020,autismo_F840,365d,any,J981,3
2019-2020,autismo_F840,365d,any,R11,3
2019-2020,autismo_F840,365d,any,F83,3
2019-2020,autismo_F840,730d,any,F323,3
2019-2020,autismo_F840,730d,any,Z911,3
2019-2020,autismo_F840,all,any,J981,3
2019-2020,autismo_F840,730d,any,N179,3
2019-2020,autismo_F840,365d,any,R560,3
2019-2020,autismo_F840,730d,any,N189,3
2019-2020,autismo_F840,365d,any,I10,3
2019-2020,autismo_F840,730d,any,Z905,3
2019-2020,autismo_F840,730d,any,Z904,3
2019-2020,autismo_F840,730d,any,E876,3
2019-2020,autismo_F840,730d,any,Z886,3
2019-2020,autismo_F840,365d,any,B965,3
2019-2020,autismo_F840,all,any,D630,3
2019-2020,autismo_F840,365d,any,S519,3
2019-2020,autismo_F840,730d,any,Z608,3
2019-2020,autismo_F840,365d,any,Y95,3
2019-2020,autismo_F840,730d,any,Q665,3
2019-2020,autismo_F840,all,any,Q665,3
2019-2020,autismo_F840,365d,any,Z886,3
2019-2020,autismo_F840,all,any,B965,3
2019-2020,autismo_F840,all,any,Q02,3
2019-2020,autismo_F840,365d,principal,K590,3
2019-2020,autismo_F840,730d,any,S519,3
2019-2020,autismo_F840,all,any,Q211,3
2019-2020,autismo_F840,all,any,S519,3
2019-2020,autismo_F840,365d,principal,J159,3
2019-2020,autismo_F840,730d,any,X6409,3
2019-2020,autismo_F840,365d,any,Z958,3
2019-2020,autismo_F840,365d,any,Z978,3
2019-2020,autismo_F840,730d,any,T810,3
2019-2020,autismo_F840,730d,any,T814,3
2019-2020,autismo_F840,all,any,Q668,3
2019-2020,autismo_F840,365d,any,D630,3
2019-2020,autismo_F840,365d,principal,F919,3
2019-2020,autismo_F840,all,any,Q828,3
2019-2020,autismo_F840,365d,any,G918,3
2019-2020,autismo_F840,365d,principal,C629,3
2019-2020,autismo_F840,all,any,R560,3
2019-2020,autismo_F840,730d,any,T850,3
2019-2020,autismo_F840,365d,any,G808,3
2019-2020,autismo_F840,365d,principal,F432,3
2019-2020,autismo_F840,all,any,Q998,3
2019-2020,autismo_F840,all,any,Q999,3
2019-2020,autismo_F840,365d,principal,D70,3
2019-2020,autismo_F840,730d,principal,T850,3
2019-2020,autismo_F840,all,any,R104,3
2019-2020,autismo_F840,730d,principal,R560,3
2019-2020,autismo_F840,730d,any,R560,3
2019-2020,autismo_F840,730d,any,Q668,3
2019-2020,autismo_F840,all,any,T850,3
2019-2020,autismo_F840,730d,any,F608,3
2019-2020,autismo_F840,all,principal,R560,3
2019-2020,autismo_F840,365d,any,C629,3
2019-2020,autismo_F840,365d,any,Z033,3
2019-2020,autismo_F840,365d,any,Z048,3
2019-2020,autismo_F840,730d,any,Q828,3
2019-2020,autismo_F840,365d,any,Z290,3
2019-2020,autismo_F840,730d,any,Q998,3
2019-2020,autismo_F840,730d,any,Q999,3
2019-2020,autismo_F840,730d,any,R104,3
2019-2020,autismo_F840,365d,any,H509,3
2019-2020,autismo_F840,all,any,N10,3
2019-2020,autismo_F840,730d,any,R11,3
2019-2020,autismo_F840,730d,any,Z290,3
2019-2020,autismo_F840,730d,any,Y95,3
2019-2020,autismo_F840,all,any,N179,3
2019-2020,autismo_F840,365d,principal,R560,3
2019-2020,autismo_F840,365d,any,Z608,3
2019-2020,autismo_F840,all,any,N189,3
2019-2020,autismo_F840,all,any,T814,3
2019-2020,autismo_F840,all,any,T810,3
2019-2020,autismo_F840,365d,any,Z622,3
2019-2020,autismo_F840,365d,any,Z632,3
2019-2020,autismo_F840,all,any,C629,3
2019-2020,autismo_F840,730d,any,Z048,3
2019-2020,autismo_F840,365d,any,Z653,3
2019-2020,autismo_F840,730d,any,Z033,3
2019-2020,autismo_F840,365d,principal,N390,3
2019-2020,autismo_F840,365d,any,F801,3
2019-2020,autismo_F840,all,any,R11,3
2019-2020,autismo_F840,365d,any,J690,3
2019-2020,autismo_F840,all,any,F89,3
2019-2020,autismo_F840,365d,any,Q211,3
