era,definition,index_year,index_role,sex,age_band,patients,prior_hospitalization,prior_candidate_group,age_median
2019-2020,TEA_operacional,2020,principal,MUJER,5-9,3,0,0,6.272416153319644
2019-2020,TEA_operacional,2020,principal_y_secundario,HOMBRE,10-14,3,0,0,11.23066392881588
2019-2020,TEA_operacional,2020,principal_y_secundario,MUJER,10-14,1,0,0,14.072553045859001
2019-2020,TEA_operacional,2020,solo_secundario,HOMBRE,0-4,181,48,26,3.5044490075290895
2019-2020,TEA_operacional,2020,solo_secundario,HOMBRE,10-14,203,27,14,12.375085557837098
2019-2020,TEA_operacional,2020,solo_secundario,HOMBRE,15-19,85,16,9,16.747433264887064
2019-2020,TEA_operacional,2020,solo_secundario,HOMBRE,20+,83,13,6,30.439425051334702
2019-2020,TEA_operacional,2020,solo_secundario,HOMBRE,5-9,237,34,17,7.181382614647502
2019-2020,TEA_operacional,2020,solo_secundario,MUJER,0-4,77,41,21,3.0937713894592744
2019-2020,TEA_operacional,2020,solo_secundario,MUJER,10-14,62,10,7,12.50924024640657
2019-2020,TEA_operacional,2020,solo_secundario,MUJER,15-19,24,5,4,16.799452429842574
2019-2020,TEA_operacional,2020,solo_secundario,MUJER,20+,27,8,5,31.62217659137577
2019-2020,TEA_operacional,2020,solo_secundario,MUJER,5-9,62,9,3,7.774127310061601
2019-2020,F84_historico,2019,principal,HOMBRE,0-4,15,1,1,3.436002737850787
2019-2020,F84_historico,2019,principal,HOMBRE,10-14,34,2,1,13.359342915811087
2019-2020,F84_historico,2019,principal,HOMBRE,15-19,25,1,0,16.37782340862423
2019-2020,F84_historico,2019,principal,HOMBRE,20+,25,2,1,23.808350444900753
2019-2020,F84_historico,2019,principal,HOMBRE,5-9,26,2,1,7.285420944558522
2019-2020,F84_historico,2019,principal,MUJER,0-4,6,2,2,3.0212183436002737
2019-2020,F84_historico,2019,principal,MUJER,10-14,14,0,0,12.501026694045173
2019-2020,F84_historico,2019,principal,MUJER,15-19,8,0,0,16.45448323066393
2019-2020,F84_historico,2019,principal,MUJER,20+,7,0,0,24.186173853524984
2019-2020,F84_historico,2019,principal,MUJER,5-9,5,0,0,5.864476386036961
2019-2020,F84_historico,2019,principal_y_secundario,HOMBRE,0-4,1,0,0,3.512662559890486
2019-2020,F84_historico,2019,principal_y_secundario,HOMBRE,20+,1,0,0,21.366187542778917
2019-2020,F84_historico,2019,principal_y_secundario,MUJER,15-19,1,0,0,17.99315537303217
2019-2020,F84_historico,2019,solo_secundario,HOMBRE,0-4,349,71,41,3.4962354551676933
2019-2020,F84_historico,2019,solo_secundario,HOMBRE,10-14,282,26,14,12.303901437371664
2019-2020,F84_historico,2019,solo_secundario,HOMBRE,15-19,129,9,8,16.999315537303218
2019-2020,F84_historico,2019,solo_secundario,HOMBRE,20+,130,13,8,27.928815879534564
2019-2020,F84_historico,2019,solo_secundario,HOMBRE,5-9,445,18,6,7.416837782340862
2019-2020,F84_historico,2019,solo_secundario,MUJER,0-4,142,41,30,2.8199863107460645
2019-2020,F84_historico,2019,solo_secundario,MUJER,10-14,107,7,5,12.501026694045175
2019-2020,F84_historico,2019,solo_secundario,MUJER,15-19,38,4,2,17.145790554414788
2019-2020,F84_historico,2019,solo_secundario,MUJER,20+,52,9,3,30.095824777549623
2019-2020,F84_historico,2019,solo_secundario,MUJER,5-9,104,7,6,7.002053388090349
2019-2020,F84_historico,2020,principal,HOMBRE,0-4,7,0,0,3.3127994524298425
2019-2020,F84_historico,2020,principal,HOMBRE,10-14,15,2,2,12.446269678302533
2019-2020,F84_historico,2020,principal,HOMBRE,15-19,14,0,0,17.779603011635864
2019-2020,F84_historico,2020,principal,HOMBRE,20+,11,0,0,25.00479123887748
2019-2020,F84_historico,2020,principal,HOMBRE,5-9,15,1,0,7.241615331964408
2019-2020,F84_historico,2020,principal,MUJER,0-4,3,1,0,4.621492128678987
2019-2020,F84_historico,2020,principal,MUJER,10-14,7,1,1,13.067761806981519
2019-2020,F84_historico,2020,principal,MUJER,15-19,5,0,0,17.672826830937716
2019-2020,F84_historico,2020,principal,MUJER,20+,4,0,0,21.946611909650926
2019-2020,F84_historico,2020,principal,MUJER,5-9,3,0,0,6.272416153319644
2019-2020,F84_historico,2020,principal_y_secundario,HOMBRE,0-4,1,0,0,4.465434633812457
2019-2020,F84_historico,2020,principal_y_secundario,HOMBRE,10-14,3,0,0,11.23066392881588
2019-2020,F84_historico,2020,principal_y_secundario,MUJER,0-4,1,0,0,4.900752908966461
2019-2020,F84_historico,2020,principal_y_secundario,MUJER,10-14,1,0,0,14.072553045859001
2019-2020,F84_historico,2020,solo_secundario,HOMBRE,0-4,181,48,26,3.5044490075290895
2019-2020,F84_historico,2020,solo_secundario,HOMBRE,10-14,205,27,14,12.355920602327172
2019-2020,F84_historico,2020,solo_secundario,HOMBRE,15-19,85,16,9,16.747433264887064
2019-2020,F84_historico,2020,solo_secundario,HOMBRE,20+,84,13,6,30.407939767282684
2019-2020,F84_historico,2020,solo_secundario,HOMBRE,5-9,240,34,17,7.170431211498974
2019-2020,F84_historico,2020,solo_secundario,MUJER,0-4,78,41,21,3.107460643394935
2019-2020,F84_historico,2020,solo_secundario,MUJER,10-14,67,11,7,12.607802874743326
2019-2020,F84_historico,2020,solo_secundario,MUJER,15-19,25,6,5,16.67624914442163
2019-2020,F84_historico,2020,solo_secundario,MUJER,20+,29,8,5,31.62217659137577
2019-2020,F84_historico,2020,solo_secundario,MUJER,5-9,65,9,3,7.619438740588638
2021-2024,autismo_F840,2021,principal,HOMBRE,0-4,12,1,0,3.058179329226557
2021-2024,autismo_F840,2021,principal,HOMBRE,10-14,16,2,0,13.32101300479124
2021-2024,autismo_F840,2021,principal,HOMBRE,15-19,18,0,0,16.406570841889117
2021-2024,autismo_F840,2021,principal,HOMBRE,20+,18,3,3,24.940451745379875
2021-2024,autismo_F840,2021,principal,HOMBRE,5-9,15,0,0,6.1492128678987
2021-2024,autismo_F840,2021,principal,MUJER,0-4,7,2,1,2.0424366872005475
2021-2024,autismo_F840,2021,principal,MUJER,10-14,8,0,0,12.2217659137577
2021-2024,autismo_F840,2021,principal,MUJER,15-19,2,0,0,17.49349760438056
2021-2024,autismo_F840,2021,principal,MUJER,5-9,5,0,0,7.761806981519507
2021-2024,autismo_F840,2021,solo_secundario,HOMBRE,0-4,248,18,8,3.485284052019165
2021-2024,autismo_F840,2021,solo_secundario,HOMBRE,10-14,258,22,14,12.154688569472963
2021-2024,autismo_F840,2021,solo_secundario,HOMBRE,15-19,94,11,5,16.792607802874745
2021-2024,autismo_F840,2021,solo_secundario,HOMBRE,20+,102,6,3,28.546201232032857
2021-2024,autismo_F840,2021,solo_secundario,HOMBRE,5-9,403,21,6,7.148528405201916
2021-2024,autismo_F840,2021,solo_secundario,MUJER,0-4,72,7,6,3.277207392197125
2021-2024,autismo_F840,2021,solo_secundario,MUJER,10-14,112,12,8,12.910335386721425
2021-2024,autismo_F840,2021,solo_secundario,MUJER,15-19,40,4,4,16.598220396988367
2021-2024,autismo_F840,2021,solo_secundario,MUJER,20+,26,2,2,28.151950718685832
2021-2024,autismo_F840,2021,solo_secundario,MUJER,5-9,83,15,6,6.880219028062971
2021-2024,autismo_F840,2022,principal,HOMBRE,0-4,17,2,0,3.5263518138261465
2021-2024,autismo_F840,2022,principal,HOMBRE,10-14,36,3,3,12.971937029431896
2021-2024,autismo_F840,2022,principal,HOMBRE,15-19,15,1,0,17.286789869952088
2021-2024,autismo_F840,2022,principal,HOMBRE,20+,10,0,0,23.601642710472277
2021-2024,autismo_F840,2022,principal,HOMBRE,5-9,22,2,2,7.166324435318275
2021-2024,autismo_F840,2022,principal,MUJER,0-4,2,0,0,3.724845995893224
2021-2024,autismo_F840,2022,principal,MUJER,10-14,23,5,4,12.563997262149213
2021-2024,autismo_F840,2022,principal,MUJER,15-19,6,3,2,16.27378507871321
2021-2024,autismo_F840,2022,principal,MUJER,20+,1,0,0,31.255304585900067
2021-2024,autismo_F840,2022,principal,MUJER,5-9,2,0,0,8.432580424366872
2021-2024,autismo_F840,2022,solo_secundario,HOMBRE,0-4,472,66,25,3.6372347707049966
2021-2024,autismo_F840,2022,solo_secundario,HOMBRE,10-14,359,38,17,12.383299110198495
2021-2024,autismo_F840,2022,solo_secundario,HOMBRE,15-19,146,19,15,16.632443531827516
2021-2024,autismo_F840,2022,solo_secundario,HOMBRE,20+,108,17,10,28.906228610540726
2021-2024,autismo_F840,2022,solo_secundario,HOMBRE,5-9,611,57,23,7.15400410677618
2021-2024,autismo_F840,2022,solo_secundario,MUJER,0-4,158,28,14,3.3990417522245036
2021-2024,autismo_F840,2022,solo_secundario,MUJER,10-14,147,24,17,13.308692676249144
2021-2024,autismo_F840,2022,solo_secundario,MUJER,15-19,81,19,18,16.48186173853525
2021-2024,autismo_F840,2022,solo_secundario,MUJER,20+,52,9,7,25.798767967145793
2021-2024,autismo_F840,2022,solo_secundario,MUJER,5-9,131,18,10,7.208761122518823
2021-2024,autismo_F840,2023,principal,HOMBRE,0-4,11,3,2,3.5208761122518824
2021-2024,autismo_F840,2023,principal,HOMBRE,10-14,34,3,1,12.572210814510608
2021-2024,autismo_F840,2023,principal,HOMBRE,15-19,27,4,3,16.5968514715948
