era,definition,index_year,index_role,sex,age_band,patients,prior_hospitalization,prior_candidate_group,age_median
2021-2024,F84_historico,2021,principal,HOMBRE,15-19,24,0,0,16.80082135523614
2021-2024,F84_historico,2021,principal,HOMBRE,20+,27,2,2,25.05407255304586
2021-2024,F84_historico,2021,principal,HOMBRE,5-9,18,0,0,6.837782340862423
2021-2024,F84_historico,2021,principal,MUJER,0-4,7,1,1,2.0424366872005475
2021-2024,F84_historico,2021,principal,MUJER,10-14,11,0,0,12.334017796030116
2021-2024,F84_historico,2021,principal,MUJER,15-19,3,0,0,17.53593429158111
2021-2024,F84_historico,2021,principal,MUJER,20+,3,0,0,22.833675564681723
2021-2024,F84_historico,2021,principal,MUJER,5-9,5,0,0,7.761806981519507
2021-2024,F84_historico,2021,principal_y_secundario,HOMBRE,10-14,1,0,0,12.815879534565367
2021-2024,F84_historico,2021,principal_y_secundario,MUJER,10-14,1,0,0,13.478439425051334
2021-2024,F84_historico,2021,solo_secundario,HOMBRE,0-4,287,27,12,3.457905544147844
2021-2024,F84_historico,2021,solo_secundario,HOMBRE,10-14,327,18,11,12.14236824093087
2021-2024,F84_historico,2021,solo_secundario,HOMBRE,15-19,128,8,4,16.652977412731005
2021-2024,F84_historico,2021,solo_secundario,HOMBRE,20+,161,7,5,27.87953456536619
2021-2024,F84_historico,2021,solo_secundario,HOMBRE,5-9,464,21,5,7.24435318275154
2021-2024,F84_historico,2021,solo_secundario,MUJER,0-4,98,14,11,3.267624914442163
2021-2024,F84_historico,2021,solo_secundario,MUJER,10-14,142,9,6,12.930869267624914
2021-2024,F84_historico,2021,solo_secundario,MUJER,15-19,64,6,6,17.011635865845314
2021-2024,F84_historico,2021,solo_secundario,MUJER,20+,55,3,2,29.905544147843944
2021-2024,F84_historico,2021,solo_secundario,MUJER,5-9,99,15,7,7.129363449691992
2021-2024,F84_historico,2022,principal,HOMBRE,0-4,21,2,0,3.3921971252566734
2021-2024,F84_historico,2022,principal,HOMBRE,10-14,41,2,2,13.021218343600275
2021-2024,F84_historico,2022,principal,HOMBRE,15-19,26,0,0,17.29637234770705
2021-2024,F84_historico,2022,principal,HOMBRE,20+,25,3,2,26.855578370978783
2021-2024,F84_historico,2022,principal,HOMBRE,5-9,23,2,2,7.129363449691992
2021-2024,F84_historico,2022,principal,MUJER,0-4,6,1,0,3.2060232717316905
2021-2024,F84_historico,2022,principal,MUJER,10-14,26,4,3,12.725530458590008
2021-2024,F84_historico,2022,principal,MUJER,15-19,11,2,1,15.665982203969884
2021-2024,F84_historico,2022,principal,MUJER,20+,2,0,0,40.35728952772074
2021-2024,F84_historico,2022,principal,MUJER,5-9,4,0,0,6.936344969199178
2021-2024,F84_historico,2022,principal_y_secundario,HOMBRE,0-4,1,0,0,3.701574264202601
2021-2024,F84_historico,2022,principal_y_secundario,HOMBRE,10-14,1,0,0,10.981519507186858
2021-2024,F84_historico,2022,principal_y_secundario,HOMBRE,15-19,1,0,0,17.776865160848732
2021-2024,F84_historico,2022,principal_y_secundario,HOMBRE,5-9,1,0,0,8.780287474332649
2021-2024,F84_historico,2022,solo_secundario,HOMBRE,0-4,558,95,42,3.5564681724845997
2021-2024,F84_historico,2022,solo_secundario,HOMBRE,10-14,442,40,22,12.470910335386723
2021-2024,F84_historico,2022,solo_secundario,HOMBRE,15-19,197,15,11,16.80766598220397
2021-2024,F84_historico,2022,solo_secundario,HOMBRE,20+,178,17,10,28.77618069815195
2021-2024,F84_historico,2022,solo_secundario,HOMBRE,5-9,689,60,27,7.186858316221766
2021-2024,F84_historico,2022,solo_secundario,MUJER,0-4,201,46,27,3.293634496919918
2021-2024,F84_historico,2022,solo_secundario,MUJER,10-14,187,29,20,13.210130047912388
2021-2024,F84_historico,2022,solo_secundario,MUJER,15-19,98,15,15,16.550308008213555
2021-2024,F84_historico,2022,solo_secundario,MUJER,20+,89,12,11,28.84599589322382
2021-2024,F84_historico,2022,solo_secundario,MUJER,5-9,159,22,10,7.208761122518823
2021-2024,F84_historico,2023,principal,HOMBRE,0-4,10,2,1,3.5071868583162216
2021-2024,F84_historico,2023,principal,HOMBRE,10-14,36,2,1,12.572210814510608
2021-2024,F84_historico,2023,principal,HOMBRE,15-19,30,2,2,16.70773442847365
2021-2024,F84_historico,2023,principal,HOMBRE,20+,15,2,2,25.149897330595483
2021-2024,F84_historico,2023,principal,HOMBRE,5-9,23,4,2,7.8056125941136205
2021-2024,F84_historico,2023,principal,MUJER,0-4,11,3,1,2.7816563997262147
2021-2024,F84_historico,2023,principal,MUJER,10-14,23,5,5,13.568788501026694
2021-2024,F84_historico,2023,principal,MUJER,15-19,15,4,3,16.435318275154003
2021-2024,F84_historico,2023,principal,MUJER,20+,8,2,2,26.733744010951405
2021-2024,F84_historico,2023,principal,MUJER,5-9,6,0,0,7.27583846680356
2021-2024,F84_historico,2023,principal_y_secundario,HOMBRE,10-14,2,0,0,12.369609856262834
2021-2024,F84_historico,2023,principal_y_secundario,HOMBRE,20+,1,0,0,24.684462696783026
2021-2024,F84_historico,2023,principal_y_secundario,MUJER,15-19,1,0,0,16.10677618069815
2021-2024,F84_historico,2023,solo_secundario,HOMBRE,0-4,821,204,60,3.676933607118412
2021-2024,F84_historico,2023,solo_secundario,HOMBRE,10-14,630,77,35,12.4435318275154
2021-2024,F84_historico,2023,solo_secundario,HOMBRE,15-19,279,44,30,16.65160848733744
2021-2024,F84_historico,2023,solo_secundario,HOMBRE,20+,256,37,23,26.704996577686515
2021-2024,F84_historico,2023,solo_secundario,HOMBRE,5-9,1073,150,49,6.921286789869952
2021-2024,F84_historico,2023,solo_secundario,MUJER,0-4,287,73,25,3.5373032169746748
2021-2024,F84_historico,2023,solo_secundario,MUJER,10-14,399,81,60,13.163586584531142
2021-2024,F84_historico,2023,solo_secundario,MUJER,15-19,229,59,49,16.553045859000683
2021-2024,F84_historico,2023,solo_secundario,MUJER,20+,190,34,20,27.366187542778917
2021-2024,F84_historico,2023,solo_secundario,MUJER,5-9,281,37,16,6.981519507186858
2021-2024,F84_historico,2024,mixto_mismo_dia,HOMBRE,5-9,1,0,0,7.7207392197125255
2021-2024,F84_historico,2024,principal,HOMBRE,0-4,11,5,1,3.080082135523614
2021-2024,F84_historico,2024,principal,HOMBRE,10-14,42,4,3,12.971937029431896
2021-2024,F84_historico,2024,principal,HOMBRE,15-19,25,3,2,16.78028747433265
2021-2024,F84_historico,2024,principal,HOMBRE,20+,24,5,3,25.36208076659822
2021-2024,F84_historico,2024,principal,HOMBRE,5-9,22,0,0,7.548254620123203
2021-2024,F84_historico,2024,principal,MUJER,10-14,35,4,3,13.086926762491444
2021-2024,F84_historico,2024,principal,MUJER,15-19,15,4,4,16.944558521560573
2021-2024,F84_historico,2024,principal,MUJER,20+,7,2,2,26.20123203285421
2021-2024,F84_historico,2024,principal,MUJER,5-9,16,1,1,7.377138945927447
2021-2024,F84_historico,2024,principal_y_secundario,HOMBRE,10-14,1,0,0,13.481177275838467
2021-2024,F84_historico,2024,principal_y_secundario,HOMBRE,20+,3,1,1,23.255304585900067
2021-2024,F84_historico,2024,principal_y_secundario,MUJER,10-14,2,1,1,12.777549623545518
2021-2024,F84_historico,2024,solo_secundario,HOMBRE,0-4,814,315,88,3.7316906228610542
2021-2024,F84_historico,2024,solo_secundario,HOMBRE,10-14,865,119,52,12.336755646817249
2021-2024,F84_historico,2024,solo_secundario,HOMBRE,15-19,384,65,31,16.79260780287474
2021-2024,F84_historico,2024,solo_secundario,HOMBRE,20+,330,55,28,26.32991101984942
2021-2024,F84_historico,2024,solo_secundario,HOMBRE,5-9,1574,258,79,7.134839151266256
2021-2024,F84_historico,2024,solo_secundario,MUJER,0-4,246,93,31,3.596167008898015
2021-2024,F84_historico,2024,solo_secundario,MUJER,10-14,537,119,83,13.264887063655031
2021-2024,F84_historico,2024,solo_secundario,MUJER,15-19,359,97,78,16.75564681724846
2021-2024,F84_historico,2024,solo_secundario,MUJER,20+,351,96,61,27.085557837097877
2021-2024,F84_historico,2024,solo_secundario,MUJER,5-9,393,68,27,7.301848049281314
