era,definition,first_principal,last_prior_principal,index_role,patients
2019-2020,autismo_F840,F711,F711,principal,1
2019-2020,autismo_F840,F711,F919,solo_secundario,1
2019-2020,autismo_F840,G934,N179,solo_secundario,1
2019-2020,autismo_F840,H050,H050,solo_secundario,1
2019-2020,autismo_F840,H664,T814,solo_secundario,1
2019-2020,autismo_F840,H669,H669,solo_secundario,1
2019-2020,autismo_F840,I151,Z452,solo_secundario,1
2019-2020,autismo_F840,I270,I270,solo_secundario,1
2019-2020,autismo_F840,I471,I471,solo_secundario,1
2019-2020,autismo_F840,I615,I615,solo_secundario,1
2019-2020,autismo_F840,J039,J039,solo_secundario,1
2019-2020,autismo_F840,J050,J050,solo_secundario,1
2019-2020,autismo_F840,J100,K800,solo_secundario,1
2019-2020,autismo_F840,J121,J121,solo_secundario,1
2019-2020,autismo_F840,J14,J14,solo_secundario,1
2019-2020,autismo_F840,J219,J219,solo_secundario,1
2019-2020,autismo_F840,J46,J46,solo_secundario,1
2019-2020,autismo_F840,J690,J690,solo_secundario,1
2019-2020,autismo_F840,K001,K001,solo_secundario,1
2019-2020,autismo_F840,K010,K010,principal,1
2019-2020,autismo_F840,K010,K010,solo_secundario,1
2019-2020,autismo_F840,G901,H169,principal,1
2019-2020,autismo_F840,G808,G808,solo_secundario,1
2019-2020,autismo_F840,G409,G409,principal,1
2019-2020,autismo_F840,G040,A083,solo_secundario,1
2019-2020,autismo_F840,F841,F841,principal,1
2019-2020,autismo_F840,F841,K122,solo_secundario,1
2019-2020,autismo_F840,F845,Q665,solo_secundario,1
2019-2020,autismo_F840,F913,F913,solo_secundario,1
2019-2020,autismo_F840,F918,F918,principal,1
2019-2020,autismo_F840,F918,H471,solo_secundario,1
2019-2020,autismo_F840,F919,F919,solo_secundario,1
2019-2020,autismo_F840,F920,F920,solo_secundario,1
2019-2020,autismo_F840,G048,G048,solo_secundario,1
2019-2020,autismo_F840,G409,G408,solo_secundario,1
2019-2020,autismo_F840,G060,G060,solo_secundario,1
2019-2020,autismo_F840,G121,Z518,solo_secundario,1
2019-2020,autismo_F840,G401,G401,solo_secundario,1
2019-2020,autismo_F840,G403,G402,solo_secundario,1
2019-2020,autismo_F840,G403,G403,principal,1
2019-2020,autismo_F840,G403,J960,solo_secundario,1
2019-2020,autismo_F840,G409,G401,solo_secundario,1
2019-2020,autismo_F840,G409,G403,solo_secundario,1
2019-2020,autismo_F840,J90,T850,solo_secundario,1
2019-2020,TEA_operacional,G409,G409,solo_secundario,18
2019-2020,TEA_operacional,J189,J189,solo_secundario,7
2019-2020,TEA_operacional,G404,G404,solo_secundario,6
2019-2020,TEA_operacional,Z518,Z518,solo_secundario,6
2019-2020,TEA_operacional,J353,J353,solo_secundario,6
2019-2020,TEA_operacional,A099,A099,solo_secundario,5
2019-2020,TEA_operacional,S4240,S4240,solo_secundario,4
2019-2020,TEA_operacional,J690,J690,solo_secundario,4
2019-2020,TEA_operacional,J121,J121,solo_secundario,4
2019-2020,TEA_operacional,J129,J129,solo_secundario,4
2019-2020,TEA_operacional,K353,K353,solo_secundario,3
2019-2020,TEA_operacional,G403,G403,solo_secundario,2
2019-2020,TEA_operacional,G408,G408,solo_secundario,2
2019-2020,TEA_operacional,F609,F609,solo_secundario,2
2019-2020,TEA_operacional,R458,R458,solo_secundario,2
2019-2020,TEA_operacional,R560,R560,solo_secundario,2
2019-2020,TEA_operacional,F432,F432,solo_secundario,2
2019-2020,TEA_operacional,F322,F322,solo_secundario,2
