year,definition,role,month,records
2023,TEA_operacional,principal_y_secundario,8.0,2
2023,TEA_operacional,principal_y_secundario,9.0,2
2023,TEA_operacional,solo_secundario,1.0,415
2023,TEA_operacional,solo_secundario,2.0,323
2023,TEA_operacional,solo_secundario,3.0,478
2023,TEA_operacional,solo_secundario,4.0,478
2023,TEA_operacional,solo_secundario,5.0,508
2023,TEA_operacional,solo_secundario,6.0,458
2023,TEA_operacional,solo_secundario,7.0,514
2023,TEA_operacional,solo_secundario,8.0,583
2023,TEA_operacional,solo_secundario,9.0,507
2023,TEA_operacional,solo_secundario,10.0,613
2023,TEA_operacional,solo_secundario,11.0,649
2023,TEA_operacional,solo_secundario,12.0,522
2024,TEA_operacional,principal,1.0,30
2024,TEA_operacional,principal,2.0,21
2024,TEA_operacional,principal,3.0,37
2024,TEA_operacional,principal,4.0,35
2024,TEA_operacional,principal,5.0,38
2024,TEA_operacional,principal,6.0,33
2024,TEA_operacional,principal,7.0,29
2024,TEA_operacional,principal,8.0,33
2024,TEA_operacional,principal,9.0,26
2024,TEA_operacional,principal,10.0,28
2024,TEA_operacional,principal,11.0,30
2024,TEA_operacional,principal,12.0,31
2024,TEA_operacional,principal,,2
2024,TEA_operacional,principal_y_secundario,1.0,2
2024,TEA_operacional,principal_y_secundario,2.0,2
2024,TEA_operacional,principal_y_secundario,3.0,1
2024,TEA_operacional,principal_y_secundario,4.0,2
2024,TEA_operacional,principal_y_secundario,6.0,2
2024,TEA_operacional,principal_y_secundario,8.0,2
2024,TEA_operacional,principal_y_secundario,9.0,1
2024,TEA_operacional,principal_y_secundario,10.0,2
2024,TEA_operacional,principal_y_secundario,11.0,1
2024,TEA_operacional,solo_secundario,1.0,615
2024,TEA_operacional,solo_secundario,2.0,510
2024,TEA_operacional,solo_secundario,3.0,656
2024,TEA_operacional,solo_secundario,4.0,710
2024,TEA_operacional,solo_secundario,5.0,687
2024,TEA_operacional,solo_secundario,6.0,596
2024,TEA_operacional,solo_secundario,7.0,774
2024,TEA_operacional,solo_secundario,8.0,768
2024,TEA_operacional,solo_secundario,9.0,696
2024,TEA_operacional,solo_secundario,10.0,868
2024,TEA_operacional,solo_secundario,11.0,776
2024,TEA_operacional,solo_secundario,12.0,671
2024,TEA_operacional,solo_secundario,,1
2019,F84_historico,principal,1.0,23
2019,F84_historico,principal,2.0,23
2019,F84_historico,principal,3.0,14
2019,F84_historico,principal,4.0,18
2019,F84_historico,principal,5.0,22
2019,F84_historico,principal,6.0,24
2019,F84_historico,principal,7.0,15
2019,F84_historico,principal,8.0,18
2019,F84_historico,principal,9.0,15
2019,F84_historico,principal,10.0,19
2019,F84_historico,principal,11.0,19
2019,F84_historico,principal,12.0,24
2019,F84_historico,principal_y_secundario,2.0,2
2019,F84_historico,principal_y_secundario,4.0,1
2019,F84_historico,principal_y_secundario,9.0,1
2019,F84_historico,principal_y_secundario,12.0,3
2019,F84_historico,solo_secundario,1.0,194
2019,F84_historico,solo_secundario,2.0,130
2019,F84_historico,solo_secundario,3.0,168
2019,F84_historico,solo_secundario,4.0,175
2019,F84_historico,solo_secundario,5.0,170
2019,F84_historico,solo_secundario,6.0,168
