definition,role,TIPO_ACTIVIDAD,age_band,n,mean,sd,median,q25,q75,p90,max,total_days,n_los0
TEA_operacional,principal,HOSPITALIZACIÓN EN URGENCIA,10-14,5,5.8,9.093954035511725,2.0,1.0,3.0,14.400000000000002,22.0,29.0,0
TEA_operacional,principal,HOSPITALIZACIÓN EN URGENCIA,15-19,5,3.6,3.646916505762094,2.0,1.0,7.0,7.6,8.0,18.0,1
TEA_operacional,principal,HOSPITALIZACIÓN EN URGENCIA,20-29,4,4.25,2.5,4.5,3.25,5.5,6.4,7.0,17.0,0
TEA_operacional,principal,HOSPITALIZACIÓN EN URGENCIA,5-9,1,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,0
TEA_operacional,principal_y_secundario,HOSPITALIZACIÓN,0-4,4,2.5,1.9148542155126762,2.0,1.0,3.5,4.4,5.0,10.0,0
TEA_operacional,principal_y_secundario,HOSPITALIZACIÓN,10-14,17,26.941176470588236,67.06850097869648,7.0,2.0,12.0,43.60000000000001,280.0,458.0,2
TEA_operacional,principal_y_secundario,HOSPITALIZACIÓN,15-19,8,35.625,43.338987726328554,20.5,12.25,38.75,81.19999999999999,133.0,285.0,0
TEA_operacional,principal_y_secundario,HOSPITALIZACIÓN,20-29,10,77.0,181.83997849146866,16.0,8.25,29.25,116.79999999999981,592.0,770.0,0
TEA_operacional,principal_y_secundario,HOSPITALIZACIÓN,30-44,3,37.666666666666664,11.06044001535804,39.0,32.5,43.5,46.2,48.0,113.0,0
TEA_operacional,principal_y_secundario,HOSPITALIZACIÓN,5-9,2,8.0,9.899494936611665,8.0,4.5,11.5,13.6,15.0,16.0,0
TEA_operacional,solo_secundario,CIRUGÍA MAYOR AMBULATORIA (CMA),0-4,404,0.022277227722772276,0.1477667076074951,0.0,0.0,0.0,0.0,1.0,9.0,395
TEA_operacional,solo_secundario,CIRUGÍA MAYOR AMBULATORIA (CMA),10-14,464,0.03017241379310345,0.17124613919058598,0.0,0.0,0.0,0.0,1.0,14.0,450
TEA_operacional,solo_secundario,CIRUGÍA MAYOR AMBULATORIA (CMA),15-19,156,0.11538461538461539,0.3205144747682702,0.0,0.0,0.0,1.0,1.0,18.0,138
TEA_operacional,solo_secundario,CIRUGÍA MAYOR AMBULATORIA (CMA),20-29,101,0.1485148514851485,0.35738322886955365,0.0,0.0,0.0,1.0,1.0,15.0,86
TEA_operacional,solo_secundario,CIRUGÍA MAYOR AMBULATORIA (CMA),30-44,50,0.2,0.40406101782088427,0.0,0.0,0.0,1.0,1.0,10.0,40
TEA_operacional,solo_secundario,CIRUGÍA MAYOR AMBULATORIA (CMA),45+,18,0.1111111111111111,0.32338083338177726,0.0,0.0,0.0,0.3000000000000007,1.0,2.0,16
TEA_operacional,solo_secundario,CIRUGÍA MAYOR AMBULATORIA (CMA),5-9,1322,0.018154311649016642,0.13355982173033407,0.0,0.0,0.0,0.0,1.0,24.0,1298
TEA_operacional,solo_secundario,HOSPITALIZACIÓN,0-4,4652,7.519776440240757,40.833082307650855,3.0,1.0,5.0,10.0,1463.0,34982.0,525
TEA_operacional,solo_secundario,HOSPITALIZACIÓN,10-14,5276,7.652577710386656,15.559189387522826,4.0,1.0,8.0,19.0,686.0,40375.0,524
TEA_operacional,solo_secundario,HOSPITALIZACIÓN,15-19,2757,11.50924918389554,21.704030831494716,6.0,2.0,14.0,28.0,621.0,31731.0,206
TEA_operacional,solo_secundario,HOSPITALIZACIÓN,20-29,1403,13.183178902352102,29.70943359239536,6.0,2.0,14.0,30.0,742.0,18496.0,72
TEA_operacional,solo_secundario,HOSPITALIZACIÓN,30-44,611,13.436988543371521,30.834575123510454,5.0,2.0,14.0,29.0,552.0,8210.0,35
TEA_operacional,solo_secundario,HOSPITALIZACIÓN,45+,236,12.813559322033898,19.46691646458214,7.0,3.0,14.0,33.0,173.0,3024.0,7
TEA_operacional,solo_secundario,HOSPITALIZACIÓN,5-9,5958,4.476670023497818,11.16978899486939,2.0,1.0,5.0,9.0,531.0,26672.0,857
TEA_operacional,solo_secundario,HOSPITALIZACIÓN DIURNA,0-4,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
TEA_operacional,solo_secundario,HOSPITALIZACIÓN DIURNA,10-14,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34
TEA_operacional,solo_secundario,HOSPITALIZACIÓN DIURNA,15-19,15,0.06666666666666667,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,1.0,14
TEA_operacional,solo_secundario,HOSPITALIZACIÓN DIURNA,20-29,11,1.0,3.3166247903554,0.0,0.0,0.0,0.0,11.0,11.0,10
TEA_operacional,solo_secundario,HOSPITALIZACIÓN DIURNA,30-44,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
TEA_operacional,solo_secundario,HOSPITALIZACIÓN DIURNA,45+,1,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0
TEA_operacional,solo_secundario,HOSPITALIZACIÓN DIURNA,5-9,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59
TEA_operacional,solo_secundario,HOSPITALIZACIÓN EN URGENCIA,0-4,9,1.1111111111111112,1.2692955176439846,1.0,0.0,2.0,3.0,3.0,10.0,4
TEA_operacional,solo_secundario,HOSPITALIZACIÓN EN URGENCIA,10-14,12,2.8333333333333335,3.588702812826367,1.0,0.0,4.25,7.700000000000001,11.0,34.0,4
