unit,year,cut_region,sex,count,population,crude,crude_lo,crude_hi,asr,asr_lo,asr_hi,asr_var,groups_missing,period,region
records,2021.0,9,MUJER,33.0,521500.0,6.327900287631831,4.355835392661522,8.88672469207465,8.31601370538861,5.714739137355158,11.754126959042297,2.112919205568507,0,2021,La Araucanía
records,2021.0,9,TOTAL,127.0,1019548.0,12.456500331519457,10.384423082672347,14.82087209735129,15.819949520643926,13.178989441802583,18.858947951287323,1.9854104957961687,0,2021,La Araucanía
records,2021.0,10,HOMBRE,82.0,446418.0,18.36843496453996,14.608961437017404,22.800071040161495,23.863871746244936,18.9565231681182,29.70284760348163,7.014973290999036,0,2021,Los Lagos
records,2021.0,10,MUJER,35.0,450885.0,7.7625115051509805,5.4068736823180545,10.795774392380114,10.260314495186705,7.133184663829424,14.362988853781737,3.0367039011515367,0,2021,Los Lagos
records,2021.0,10,TOTAL,117.0,897303.0,13.03907375769389,10.783669255444334,15.626987673356325,17.170478365992558,14.185725271431934,20.624075018134107,2.546209687296312,0,2021,Los Lagos
records,2021.0,11,HOMBRE,15.0,54429.0,27.558838119384887,15.424472492206938,45.454112461161955,33.44207055788827,18.514845242553772,56.49646577102662,77.00946228077937,0,2021,Aysén
records,2021.0,11,MUJER,3.0,53308.0,5.627673144743754,1.1605614971403941,16.446449069074667,6.354454705585489,1.2643866918938118,21.033373564470377,13.902274532299828,0,2021,Aysén
records,2021.0,11,TOTAL,18.0,107737.0,16.70735216313801,9.901835748535348,26.404819391228624,20.50652036417314,12.035939460574154,33.13146576431216,24.13337328454804,0,2021,Aysén
records,2021.0,12,HOMBRE,36.0,91500.0,39.34426229508197,27.55623761455216,54.469043157635184,53.93702025806097,37.696721366330706,75.1687869398805,81.69692503761763,0,2021,Magallanes
records,2021.0,12,MUJER,11.0,88449.0,12.436545353819715,6.208278632021662,22.25241496602783,18.38822538390941,9.16285428015104,33.21658914649021,30.87427179929653,0,2021,Magallanes
records,2021.0,12,TOTAL,47.0,179949.0,26.11851135599531,19.190899736628573,34.73208316836824,37.02059015761153,27.169525103651,49.427172096314436,29.365799925779182,0,2021,Magallanes
records,2021.0,13,HOMBRE,599.0,4071264.0,14.712875411665763,13.55807362335306,15.939745940533577,19.47347123355524,17.93638117277787,21.10862012270267,0.640404540915525,0,2021,Metropolitana
records,2021.0,13,MUJER,191.0,4171195.0,4.579023517241462,3.9526319003257337,5.276484506424979,6.30816317058093,5.437934082429379,7.280317575849783,0.21201734291754362,0,2021,Metropolitana
records,2021.0,13,TOTAL,790.0,8242459.0,9.584518406460985,8.927731345894832,10.276840888447278,12.989784538935595,12.093947916976356,13.9352881331756,0.2163825859612196,0,2021,Metropolitana
records,2021.0,14,HOMBRE,34.0,199687.0,17.02664670208877,11.791447808105818,23.793032142905187,21.545707139406606,14.881323306752972,30.3621096688278,13.83514939368851,0,2021,Los Ríos
records,2021.0,14,MUJER,3.0,208131.0,1.4413998875708087,0.2972513094616378,4.212382139009721,1.8800623203853044,0.3853688046418534,5.9103905890575,1.1847694119890428,0,2021,Los Ríos
records,2021.0,14,TOTAL,37.0,407818.0,9.07267457542335,6.388000178291795,12.505486796053836,11.821502874817341,8.300530460333542,16.42934515518815,3.8316123641334854,0,2021,Los Ríos
