year,definition,role,variable,value,records
2022,autismo_F840,solo_secundario,PREVISION,CAJA DE PREVISIÓN FFAA (SISA),7
2022,autismo_F840,solo_secundario,PREVISION,CAPREDENA,5
2022,autismo_F840,solo_secundario,PREVISION,DIPRECA,20
2022,autismo_F840,solo_secundario,PREVISION,FONASA INSTITUCIONAL - (MAI) A,1003
2022,autismo_F840,solo_secundario,PREVISION,FONASA INSTITUCIONAL - (MAI) B,989
2022,autismo_F840,solo_secundario,PREVISION,FONASA INSTITUCIONAL - (MAI) C,318
2022,autismo_F840,solo_secundario,PREVISION,FONASA INSTITUCIONAL - (MAI) D,424
2022,autismo_F840,solo_secundario,PREVISION,FONASA LIBRE ELECCIÓN (FMLE_B),4
2022,autismo_F840,solo_secundario,PREVISION,FONASA LIBRE ELECCIÓN (FMLE_C),1
2022,autismo_F840,solo_secundario,PREVISION,FONASA LIBRE ELECCIÓN (FMLE_D),11
2022,autismo_F840,solo_secundario,PREVISION,ISAPRE,59
2022,autismo_F840,solo_secundario,PREVISION,PARTICULAR,18
2023,autismo_F840,principal,PREVISION,CAJA DE PREVISIÓN FFAA (SISA),1
2023,autismo_F840,principal,PREVISION,FONASA INSTITUCIONAL - (MAI) A,95
2023,autismo_F840,principal,PREVISION,FONASA INSTITUCIONAL - (MAI) B,94
2023,autismo_F840,principal,PREVISION,FONASA INSTITUCIONAL - (MAI) C,23
2023,autismo_F840,principal,PREVISION,FONASA INSTITUCIONAL - (MAI) D,37
2023,autismo_F840,principal,PREVISION,ISAPRE,2
2023,autismo_F840,principal,PREVISION,PARTICULAR,1
2023,autismo_F840,solo_secundario,PREVISION,CAJA DE PREVISIÓN FFAA (SISA),7
2023,autismo_F840,solo_secundario,PREVISION,CAPREDENA,11
2023,autismo_F840,solo_secundario,PREVISION,DIPRECA,20
2023,autismo_F840,solo_secundario,PREVISION,FONASA INSTITUCIONAL - (MAI) A,1791
2023,autismo_F840,solo_secundario,PREVISION,FONASA INSTITUCIONAL - (MAI) B,1649
2023,autismo_F840,solo_secundario,PREVISION,FONASA INSTITUCIONAL - (MAI) C,682
2023,autismo_F840,solo_secundario,PREVISION,FONASA INSTITUCIONAL - (MAI) D,804
2023,autismo_F840,solo_secundario,PREVISION,FONASA LIBRE ELECCIÓN (FMLE_B),13
2023,autismo_F840,solo_secundario,PREVISION,FONASA LIBRE ELECCIÓN (FMLE_C),4
2023,autismo_F840,solo_secundario,PREVISION,FONASA LIBRE ELECCIÓN (FMLE_D),15
2023,autismo_F840,solo_secundario,PREVISION,ISAPRE,62
2023,autismo_F840,solo_secundario,PREVISION,PARTICULAR,14
2024,autismo_F840,principal,PREVISION,CAJA DE PREVISIÓN FFAA (SISA),1
2024,autismo_F840,principal,PREVISION,CAPREDENA,1
2024,autismo_F840,principal,PREVISION,FONASA INSTITUCIONAL - (MAI) A,117
2024,autismo_F840,principal,PREVISION,FONASA INSTITUCIONAL - (MAI) B,84
2024,autismo_F840,principal,PREVISION,FONASA INSTITUCIONAL - (MAI) C,33
2024,autismo_F840,principal,PREVISION,FONASA INSTITUCIONAL - (MAI) D,41
2024,autismo_F840,principal,PREVISION,ISAPRE,2
2024,autismo_F840,principal,PREVISION,PARTICULAR,1
2024,autismo_F840,solo_secundario,PREVISION,CAJA DE PREVISIÓN FFAA (SISA),6
2024,autismo_F840,solo_secundario,PREVISION,CAPREDENA,10
2024,autismo_F840,solo_secundario,PREVISION,DIPRECA,27
2024,autismo_F840,solo_secundario,PREVISION,FONASA INSTITUCIONAL - (MAI) A,2324
2024,autismo_F840,solo_secundario,PREVISION,FONASA INSTITUCIONAL - (MAI) B,2412
2024,autismo_F840,solo_secundario,PREVISION,FONASA INSTITUCIONAL - (MAI) C,882
2024,autismo_F840,solo_secundario,PREVISION,FONASA INSTITUCIONAL - (MAI) D,1144
2024,autismo_F840,solo_secundario,PREVISION,FONASA LIBRE ELECCIÓN (FMLE_B),27
2024,autismo_F840,solo_secundario,PREVISION,FONASA LIBRE ELECCIÓN (FMLE_C),7
2024,autismo_F840,solo_secundario,PREVISION,FONASA LIBRE ELECCIÓN (FMLE_D),13
2024,autismo_F840,solo_secundario,PREVISION,ISAPRE,81
2024,autismo_F840,solo_secundario,PREVISION,PARTICULAR,17
2019,autismo_F840,principal,TIPOALTA,ALTA VOLUNTARIA,2
2019,autismo_F840,principal,TIPOALTA,DERIVACIÓN OTRO HOSPITAL DE LA RED NACIONAL,1
2019,autismo_F840,principal,TIPOALTA,DERIVACIÓN OTRO HOSPITAL DEL SERVICIO,3
2019,autismo_F840,principal,TIPOALTA,DOMICILIO,144
2019,autismo_F840,solo_secundario,TIPOALTA,ALTA VOLUNTARIA,10
2019,autismo_F840,solo_secundario,TIPOALTA,"DERIVACIÓN A OTROS CENTROS (CÁRCEL, HOGAR DE",5
2019,autismo_F840,solo_secundario,TIPOALTA,DERIVACIÓN INST. PRIVADA (COMPRA DE SERVICIOS,1
2019,autismo_F840,solo_secundario,TIPOALTA,DERIVACIÓN INST. PRIVADA (VOLUNTARIO),2
2019,autismo_F840,solo_secundario,TIPOALTA,DERIVACIÓN OTRO HOSPITAL DE LA RED NACIONAL,9
2019,autismo_F840,solo_secundario,TIPOALTA,DERIVACIÓN OTRO HOSPITAL DEL SERVICIO,11
2019,autismo_F840,solo_secundario,TIPOALTA,DOMICILIO,1198
2019,autismo_F840,solo_secundario,TIPOALTA,FALLECIDO,7
2019,autismo_F840,solo_secundario,TIPOALTA,FUGA DEL PACIENTE,1
2019,autismo_F840,solo_secundario,TIPOALTA,HOSPITALIZACIÓN DOMICILIARIA,6
2020,autismo_F840,principal,TIPOALTA,ALTA VOLUNTARIA,1
2020,autismo_F840,principal,TIPOALTA,"DERIVACIÓN A OTROS CENTROS (CÁRCEL, HOGAR DE",4
2020,autismo_F840,principal,TIPOALTA,DERIVACIÓN OTRO HOSPITAL DEL SERVICIO,3
2020,autismo_F840,principal,TIPOALTA,DOMICILIO,106
2020,autismo_F840,solo_secundario,TIPOALTA,ALTA VOLUNTARIA,5
2020,autismo_F840,solo_secundario,TIPOALTA,"DERIVACIÓN A OTROS CENTROS (CÁRCEL, HOGAR DE",10
2020,autismo_F840,solo_secundario,TIPOALTA,DERIVACIÓN INST. PRIVADA (COMPRA DE SERVICIOS,3
2020,autismo_F840,solo_secundario,TIPOALTA,DERIVACIÓN INST. PRIVADA (VOLUNTARIO),1
2020,autismo_F840,solo_secundario,TIPOALTA,DERIVACIÓN OTRO HOSPITAL DE LA RED NACIONAL,15
2020,autismo_F840,solo_secundario,TIPOALTA,DERIVACIÓN OTRO HOSPITAL DEL SERVICIO,13
2020,autismo_F840,solo_secundario,TIPOALTA,DOMICILIO,914
2020,autismo_F840,solo_secundario,TIPOALTA,FALLECIDO,7
2020,autismo_F840,solo_secundario,TIPOALTA,HOSPITALIZACIÓN DOMICILIARIA,2
2021,autismo_F840,principal,TIPOALTA,ALTA VOLUNTARIA,1
2021,autismo_F840,principal,TIPOALTA,"DERIVACIÓN A OTROS CENTROS (CÁRCEL, HOGAR DE",6
2021,autismo_F840,principal,TIPOALTA,DERIVACIÓN OTRO HOSPITAL DE LA RED NACIONAL,3
2021,autismo_F840,principal,TIPOALTA,DERIVACIÓN OTRO HOSPITAL DEL SERVICIO,1
2021,autismo_F840,principal,TIPOALTA,DOMICILIO,126
2021,autismo_F840,principal,TIPOALTA,FUGA DEL PACIENTE,2
2021,autismo_F840,solo_secundario,TIPOALTA,ALTA VOLUNTARIA,15
2021,autismo_F840,solo_secundario,TIPOALTA,"DERIVACIÓN A OTROS CENTROS (CÁRCEL, HOGAR DE",14
2021,autismo_F840,solo_secundario,TIPOALTA,DERIVACIÓN INST. PRIVADA (COMPRA DE SERVICIOS,3
2021,autismo_F840,solo_secundario,TIPOALTA,DERIVACIÓN INST. PRIVADA (VOLUNTARIO),3
2021,autismo_F840,solo_secundario,TIPOALTA,DERIVACIÓN OTRO HOSPITAL DE LA RED NACIONAL,16
2021,autismo_F840,solo_secundario,TIPOALTA,DERIVACIÓN OTRO HOSPITAL DEL SERVICIO,23
2021,autismo_F840,solo_secundario,TIPOALTA,DOMICILIO,1611
2021,autismo_F840,solo_secundario,TIPOALTA,FALLECIDO,5
2021,autismo_F840,solo_secundario,TIPOALTA,FUGA DEL PACIENTE,1
2021,autismo_F840,solo_secundario,TIPOALTA,HOSPITALIZACIÓN DOMICILIARIA,18
2022,autismo_F840,principal,TIPOALTA,ALTA VOLUNTARIA,1
2022,autismo_F840,principal,TIPOALTA,"DERIVACIÓN A OTROS CENTROS (CÁRCEL, HOGAR DE",5
2022,autismo_F840,principal,TIPOALTA,DERIVACIÓN OTRO HOSPITAL DEL SERVICIO,1
2022,autismo_F840,principal,TIPOALTA,DOMICILIO,194
2022,autismo_F840,principal,TIPOALTA,HOSPITALIZACIÓN DOMICILIARIA,1
2022,autismo_F840,solo_secundario,TIPOALTA,ALTA VOLUNTARIA,30
2022,autismo_F840,solo_secundario,TIPOALTA,"DERIVACIÓN A OTROS CENTROS (CÁRCEL, HOGAR DE",11
2022,autismo_F840,solo_secundario,TIPOALTA,DERIVACIÓN INST. PRIVADA (COMPRA DE SERVICIOS,2
