Scale,Indicator,Value type,Weight definition,Period,Subset,n,Moran's I,E[I],z,Analytic p,p (999 perm.)
Comuna,APS enrolment,Empirical-Bayes smoothed standardised ratio,knn8,full period,all comunas,342,0.2933,−0.0029,11.77,< 0.001,0.001
Comuna,APS enrolment,Empirical-Bayes smoothed standardised ratio,idw,full period,all comunas,342,0.3023,−0.0029,14.69,< 0.001,0.001
Comuna,FONASA beneficiaries,"Rate per 100,000 population",queen,full period,all comunas,342,0.2684,−0.0029,7.33,< 0.001,0.001
Comuna,FONASA beneficiaries,"Rate per 100,000 population",knn4,full period,all comunas,342,0.3929,−0.0029,11.14,< 0.001,0.001
Comuna,FONASA beneficiaries,"Rate per 100,000 population",knn8,full period,all comunas,342,0.3604,−0.0029,14.43,< 0.001,0.001
Comuna,FONASA beneficiaries,"Rate per 100,000 population",idw,full period,all comunas,342,0.3102,−0.0029,15.07,< 0.001,0.001
Comuna,FONASA beneficiaries,Crude standardised ratio,queen,full period,all comunas,342,0.2686,−0.0029,7.33,< 0.001,0.001
Comuna,FONASA beneficiaries,Crude standardised ratio,knn4,full period,all comunas,342,0.3929,−0.0029,11.14,< 0.001,0.001
Comuna,FONASA beneficiaries,Crude standardised ratio,knn8,full period,all comunas,342,0.3605,−0.0029,14.44,< 0.001,0.001
Comuna,FONASA beneficiaries,Crude standardised ratio,idw,full period,all comunas,342,0.3104,−0.0029,15.08,< 0.001,0.001
Comuna,FONASA beneficiaries,Empirical-Bayes smoothed standardised ratio,queen,full period,all comunas,342,0.2687,−0.0029,7.34,< 0.001,0.001
Comuna,FONASA beneficiaries,Empirical-Bayes smoothed standardised ratio,knn4,full period,all comunas,342,0.3919,−0.0029,11.12,< 0.001,0.001
Comuna,FONASA beneficiaries,Empirical-Bayes smoothed standardised ratio,knn8,full period,all comunas,342,0.3597,−0.0029,14.40,< 0.001,0.001
Comuna,FONASA beneficiaries,Empirical-Bayes smoothed standardised ratio,idw,full period,all comunas,342,0.3096,−0.0029,15.04,< 0.001,0.001
Comuna,REM-20 discharges,"Rate per 100,000 population",queen,full period,all comunas,342,−0.0900,−0.0029,−2.35,0.019,0.008
