Denominator layer,Dimension,Category,2019,2020,2021,2022,2023,2024,2025
"INE population (2017-census-based projection, 30 June)",Age group,25–29,"1,627,783","1,649,147","1,629,871","1,594,730","1,556,004","1,514,291","1,470,250"
"INE population (2017-census-based projection, 30 June)",Age group,30–34,"1,515,386","1,596,211","1,659,478","1,696,451","1,709,514","1,699,578","1,676,549"
"INE population (2017-census-based projection, 30 June)",Age group,35–39,"1,396,728","1,435,240","1,461,105","1,483,789","1,515,059","1,561,503","1,611,598"
"INE population (2017-census-based projection, 30 June)",Age group,40–44,"1,328,559","1,347,007","1,362,172","1,379,609","1,400,321","1,421,165","1,440,384"
"INE population (2017-census-based projection, 30 June)",Age group,45–49,"1,243,929","1,271,513","1,296,281","1,316,079","1,329,324","1,337,371","1,343,651"
"INE population (2017-census-based projection, 30 June)",Age group,50–54,"1,218,076","1,224,425","1,225,010","1,224,709","1,229,143","1,241,074","1,260,206"
"INE population (2017-census-based projection, 30 June)",Age group,55–59,"1,118,091","1,145,476","1,167,604","1,184,443","1,196,120","1,202,298","1,203,416"
"INE population (2017-census-based projection, 30 June)",Age group,60–64,"964,318","989,394","1,013,544","1,037,933","1,063,197","1,088,475","1,112,301"
"INE population (2017-census-based projection, 30 June)",Age group,65–69,"777,714","814,608","844,335","871,490","896,331","919,815","942,520"
"INE population (2017-census-based projection, 30 June)",Age group,70–74,"557,691","583,389","615,340","648,484","682,886","719,139","753,111"
"INE population (2017-census-based projection, 30 June)",Age group,75–79,"398,309","413,785","430,954","450,362","471,119","491,434","514,647"
"INE population (2017-census-based projection, 30 June)",Age group,80+,"526,508","546,834","568,070","590,285","613,792","638,799","665,958"
"INE population (2017-census-based projection, 30 June)",Age group,TOTAL,"19,107,216","19,458,310","19,678,363","19,828,563","19,960,889","20,086,377","20,206,953"
FONASA beneficiaries (December stock),Age group,0–4,"878,666","838,525","789,561","785,179",n/e,"750,783","720,677"
FONASA beneficiaries (December stock),Age group,5–9,"979,078","972,109","957,246","967,093",n/e,"998,137","973,108"
FONASA beneficiaries (December stock),Age group,10–14,"962,753","984,405","997,310","1,024,495",n/e,"1,104,422","1,120,865"
FONASA beneficiaries (December stock),Age group,15–19,"970,703","960,580","957,076","979,360",n/e,"1,083,894","1,123,193"
FONASA beneficiaries (December stock),Age group,20–24,"1,129,692","1,118,813","1,106,892","1,105,376",n/e,"1,115,158","1,119,971"
FONASA beneficiaries (December stock),Age group,25–29,"1,238,824","1,259,153","1,252,932","1,264,444",n/e,"1,293,330","1,276,451"
FONASA beneficiaries (December stock),Age group,30–34,"1,121,129","1,202,201","1,238,549","1,297,677",n/e,"1,407,939","1,430,248"
FONASA beneficiaries (December stock),Age group,35–39,"987,778","1,028,446","1,044,538","1,091,200",n/e,"1,281,725","1,373,468"
FONASA beneficiaries (December stock),Age group,40–44,"894,985","925,070","948,188","1,004,703",n/e,"1,125,024","1,171,980"
FONASA beneficiaries (December stock),Age group,45–49,"944,518","969,008","959,247","958,897",n/e,"1,006,779","1,041,662"
FONASA beneficiaries (December stock),Age group,50–54,"956,356","959,888","950,921","965,769",n/e,"1,037,491","1,065,426"
FONASA beneficiaries (December stock),Age group,55–59,"940,110","972,119","978,712","991,339",n/e,"1,024,206","1,028,307"
