Comuna,CUT,Region,Observed episodes,Expected,Person-years,"Rate per 100,000 population",Crude standardised ratio,Empirical-Bayes smoothed standardised ratio,Shrinkage weight of the smoother,GRD persons (smoothed ratio)
Las Cabras,6107,O'Higgins,22,33.1,"162,738",13.5 (8.5–20.5),0.67 (0.42–1.01),0.70,0.89,0.73
Río Negro,10305,Los Lagos,10,16.2,"85,208",11.7 (5.6–21.6),0.62 (0.30–1.14),0.70,0.80,0.63
Los Lagos,14104,Los Ríos,17,26.2,"123,103",13.8 (8.0–22.1),0.65 (0.38–1.04),0.70,0.86,0.70
Colchane,1403,Tarapacá,0,1.8,"9,433",0.0 (0.0–39.1),0.00 (0.00–2.04),0.69,0.31,0.71
Chillán Viejo,16103,Ñuble,33,49.8,"206,940",15.9 (11.0–22.4),0.66 (0.46–0.93),0.69,0.92,0.73
Nacimiento,8306,Biobío,24,36.7,"167,851",14.3 (9.2–21.3),0.65 (0.42–0.97),0.69,0.90,0.80
Los Muermos,10106,Los Lagos,13,20.7,"106,925",12.2 (6.5–20.8),0.63 (0.33–1.07),0.69,0.83,0.70
Conchalí,13104,Metropolitana,111,164.7,"828,741",13.4 (11.0–16.1),0.67 (0.55–0.81),0.68,0.98,0.71
Nancagua,6305,O'Higgins,15,24.0,"116,154",12.9 (7.2–21.3),0.62 (0.35–1.03),0.68,0.85,0.73
Palena,10404,Los Lagos,0,1.9,"10,947",0.0 (0.0–33.7),0.00 (0.00–1.90),0.68,0.32,0.68
Cunco,9103,La Araucanía,13,21.3,"108,352",12.0 (6.4–20.5),0.61 (0.32–1.04),0.67,0.84,0.69
Alhué,13502,Metropolitana,5,9.4,"45,416",11.0 (3.6–25.7),0.53 (0.17–1.24),0.67,0.70,0.66
Taltal,2104,Antofagasta,12,19.9,"82,613",14.5 (7.5–25.4),0.60 (0.31–1.05),0.67,0.83,0.86
Recoleta,13127,Metropolitana,151,227.5,"1,153,882",13.1 (11.1–15.3),0.66 (0.56–0.78),0.67,0.98,0.68
Concón,5103,Valparaíso,39,60.3,"280,447",13.9 (9.9–19.0),0.65 (0.46–0.88),0.67,0.94,0.74
Curicó,7301,Maule,145,219.3,"999,622",14.5 (12.2–17.1),0.66 (0.56–0.78),0.67,0.98,0.70
Lampa,13302,Metropolitana,143,217.5,"797,621",17.9 (15.1–21.1),0.66 (0.55–0.77),0.66,0.98,0.80
Algarrobo,5602,Valparaíso,10,17.2,"93,122",10.7 (5.1–19.7),0.58 (0.28–1.07),0.66,0.81,0.63
Coltauco,6104,O'Higgins,17,27.8,"129,545",13.1 (7.6–21.0),0.61 (0.36–0.98),0.66,0.87,0.66
Macul,13118,Metropolitana,98,150.5,"814,555",12.0 (9.8–14.7),0.65 (0.53–0.79),0.66,0.97,0.61
Quellón,10208,Los Lagos,26,41.5,"177,713",14.6 (9.6–21.4),0.63 (0.41–0.92),0.66,0.91,0.79
Queilén,10207,Los Lagos,<5,6.7,"33,254",9.0 (1.9–26.4),0.45 (0.09–1.31),0.66,0.62,0.71
Guaitecas,11203,Aysén,0,2.1,"9,620",0.0 (0.0–38.3),0.00 (0.00–1.72),0.66,0.34,0.71
Cholchol,9121,La Araucanía,10,17.5,"74,734",13.4 (6.4–24.6),0.57 (0.27–1.05),0.65,0.81,0.75
Putaendo,5705,Valparaíso,13,22.2,"106,714",12.2 (6.5–20.8),0.58 (0.31–1.00),0.65,0.84,0.70
Limache,5802,Valparaíso,41,65.4,"303,513",13.5 (9.7–18.3),0.63 (0.45–0.85),0.65,0.94,0.62
Maipú,13119,Metropolitana,481,746.1,"3,488,155",13.8 (12.6–15.1),0.64 (0.59–0.70),0.65,0.99,0.67
Quemchi,10209,Los Lagos,5,10.0,"52,626",9.5 (3.1–22.2),0.50 (0.16–1.17),0.65,0.71,0.53
Collipulli,9202,La Araucanía,22,36.7,"157,815",13.9 (8.7–21.1),0.60 (0.38–0.91),0.64,0.90,0.78
Providencia,13123,Metropolitana,87,138.4,"960,652",9.1 (7.3–11.2),0.63 (0.50–0.78),0.64,0.97,0.45
Panquehue,5704,Valparaíso,5,10.2,"46,260",10.8 (3.5–25.2),0.49 (0.16–1.14),0.64,0.71,0.74
Chaitén,10401,Los Lagos,<5,5.7,"30,243",6.6 (0.8–23.9),0.35 (0.04–1.27),0.62,0.58,0.65
Villa Alegre,7407,Maule,12,21.7,"106,243",11.3 (5.8–19.7),0.55 (0.29–0.97),0.62,0.84,0.66
Peñalolén,13122,Metropolitana,221,357.6,"1,613,836",13.7 (11.9–15.6),0.62 (0.54–0.71),0.62,0.99,0.65
Futrono,14202,Los Ríos,11,20.2,"91,399",12.0 (6.0–21.5),0.54 (0.27–0.97),0.62,0.83,0.70
San Rosendo,8310,Biobío,<5,4.2,"21,524",4.6 (0.1–25.9),0.24 (0.01–1.32),0.61,0.51,0.65
Longaví,7403,Maule,23,40.1,"198,774",11.6 (7.3–17.4),0.57 (0.36–0.86),0.61,0.91,0.69
Litueche,6203,O'Higgins,<5,7.5,"41,002",7.3 (1.5–21.4),0.40 (0.08–1.17),0.61,0.65,0.62
Vicuña,4106,Coquimbo,23,40.2,"180,231",12.8 (8.1–19.1),0.57 (0.36–0.86),0.61,0.91,0.64
Huara,1404,Tarapacá,<5,4.3,"18,195",5.5 (0.1–30.6),0.23 (0.01–1.31),0.61,0.51,0.70
Curacaví,13503,Metropolitana,28,48.5,"222,919",12.6 (8.3–18.2),0.58 (0.38–0.83),0.61,0.92,0.66
Rauco,7305,Maule,7,14.2,"68,621",10.2 (4.1–21.0),0.49 (0.20–1.01),0.61,0.78,0.68
Río Ibáñez,11402,Aysén,0,2.7,"16,225",0.0 (0.0–22.7),0.00 (0.00–1.38),0.61,0.39,0.59
Vichuquén,7309,Maule,<5,4.4,"26,123",3.8 (0.1–21.3),0.23 (0.01–1.28),0.60,0.52,0.59
Olivar,6111,O'Higgins,10,19.3,"88,597",11.3 (5.4–20.8),0.52 (0.25–0.95),0.60,0.82,0.66
Quilaco,8308,Biobío,<5,4.4,"25,103",4.0 (0.1–22.2),0.23 (0.01–1.26),0.60,0.52,0.60
Lolol,6304,O'Higgins,<5,7.8,"44,116",6.8 (1.4–19.9),0.39 (0.08–1.13),0.60,0.65,0.60
Río Hurtado,4305,Coquimbo,<5,4.5,"26,082",3.8 (0.1–21.4),0.22 (0.01–1.25),0.60,0.52,0.59
Alto Biobío,8314,Biobío,5,11.2,"40,724",12.3 (4.0–28.7),0.45 (0.15–1.04),0.60,0.73,0.81
Tiltil,13303,Metropolitana,16,29.7,"131,103",12.2 (7.0–19.8),0.54 (0.31–0.88),0.60,0.88,0.69
Lumaco,9207,La Araucanía,6,12.9,"59,980",10.0 (3.7–21.8),0.47 (0.17–1.01),0.59,0.76,0.69
La Ligua,5401,Valparaíso,26,47.2,"227,870",11.4 (7.5–16.7),0.55 (0.36–0.81),0.59,0.92,0.59
Puerto Varas,10109,Los Lagos,37,66.2,"297,792",12.4 (8.7–17.1),0.56 (0.39–0.77),0.58,0.94,0.63
Llaillay,5703,Valparaíso,19,35.6,"160,876",11.8 (7.1–18.4),0.53 (0.32–0.83),0.58,0.90,0.71
Quinta Normal,13126,Metropolitana,91,160.9,"828,398",11.0 (8.8–13.5),0.57 (0.46–0.69),0.58,0.98,0.56
La Cruz,5504,Valparaíso,20,37.8,"157,722",12.7 (7.7–19.6),0.53 (0.32–0.82),0.58,0.90,0.68
La Estrella,6202,O'Higgins,0,3.1,"18,644",0.0 (0.0–19.8),0.00 (0.00–1.20),0.57,0.43,0.56
Galvarino,9106,La Araucanía,8,17.1,"75,648",10.6 (4.6–20.8),0.47 (0.20–0.92),0.57,0.81,0.69
Ñuñoa,13120,Metropolitana,144,255.0,"1,536,705",9.4 (7.9–11.0),0.56 (0.48–0.66),0.57,0.98,0.40
Putre,15201,Arica y Parinacota,0,3.1,"15,220",0.0 (0.0–24.2),0.00 (0.00–1.19),0.57,0.43,0.61
Lebu,8201,Biobío,19,36.6,"162,707",11.7 (7.0–18.2),0.52 (0.31–0.81),0.57,0.90,0.55
Graneros,6106,O'Higgins,28,52.8,"222,794",12.6 (8.4–18.2),0.53 (0.35–0.77),0.56,0.93,0.62
Paillaco,14107,Los Ríos,13,26.3,"125,112",10.4 (5.5–17.8),0.49 (0.26–0.85),0.56,0.86,0.61
Traiguén,9210,La Araucanía,12,24.6,"115,784",10.4 (5.4–18.1),0.49 (0.25–0.85),0.56,0.86,0.66
Renca,13128,Metropolitana,124,224.3,"969,996",12.8 (10.6–15.2),0.55 (0.46–0.66),0.56,0.98,0.63
Pudahuel,13124,Metropolitana,193,349.1,"1,538,353",12.5 (10.8–14.4),0.55 (0.48–0.64),0.56,0.99,0.60
Cauquenes,7201,Maule,28,53.5,"265,520",10.5 (7.0–15.2),0.52 (0.35–0.76),0.56,0.93,0.55
Calera de Tango,13403,Metropolitana,20,39.5,"175,090",11.4 (7.0–17.6),0.51 (0.31–0.78),0.55,0.91,0.65
Río Claro,7108,Maule,8,17.8,"89,358",9.0 (3.9–17.6),0.45 (0.19–0.88),0.55,0.81,0.56
María Pinto,13504,Metropolitana,9,19.6,"91,261",9.9 (4.5–18.7),0.46 (0.21–0.87),0.55,0.83,0.59
Sagrada Familia,7307,Maule,11,23.3,"117,446",9.4 (4.7–16.8),0.47 (0.24–0.85),0.55,0.85,0.57
Chanco,7202,Maule,<5,10.7,"55,810",7.2 (2.0–18.4),0.38 (0.10–0.96),0.55,0.72,0.58
Requínoa,6116,O'Higgins,21,41.9,"185,263",11.3 (7.0–17.3),0.50 (0.31–0.77),0.55,0.91,0.59
Lo Prado,13117,Metropolitana,64,121.0,"620,652",10.3 (7.9–13.2),0.53 (0.41–0.68),0.54,0.97,0.49
Curepto,7103,Maule,<5,9.0,"55,886",5.4 (1.1–15.7),0.33 (0.07–0.97),0.54,0.69,0.51
Placilla,6308,O'Higgins,<5,10.9,"55,224",7.2 (2.0–18.5),0.37 (0.10–0.94),0.54,0.73,0.58
Cañete,8203,Biobío,26,51.6,"223,005",11.7 (7.6–17.1),0.50 (0.33–0.74),0.54,0.93,0.64
Mariquina,14106,Los Ríos,16,33.4,"141,208",11.3 (6.5–18.4),0.48 (0.27–0.78),0.54,0.89,0.62
Huechuraba,13107,Metropolitana,88,168.1,"687,917",12.8 (10.3–15.8),0.52 (0.42–0.64),0.53,0.98,0.60
San Esteban,5304,Valparaíso,13,28.7,"126,346",10.3 (5.5–17.6),0.45 (0.24–0.78),0.52,0.87,0.64
Pelluhue,7203,Maule,<5,9.8,"49,343",6.1 (1.3–17.8),0.31 (0.06–0.90),0.51,0.70,0.55
Cerro Navia,13103,Metropolitana,89,178.1,"847,891",10.5 (8.4–12.9),0.50 (0.40–0.62),0.51,0.98,0.57
Mostazal,6110,O'Higgins,17,37.4,"167,209",10.2 (5.9–16.3),0.45 (0.26–0.73),0.51,0.90,0.62
Isla de Maipo,13603,Metropolitana,27,57.2,"246,030",11.0 (7.2–16.0),0.47 (0.31–0.69),0.51,0.93,0.62
La Higuera,4104,Coquimbo,<5,6.0,"26,885",3.7 (0.1–20.7),0.17 (0.00–0.93),0.51,0.59,0.58
Calle Larga,5302,Valparaíso,10,23.8,"101,551",9.8 (4.7–18.1),0.42 (0.20–0.77),0.51,0.85,0.54
Lanco,14103,Los Ríos,10,24.0,"106,806",9.4 (4.5–17.2),0.42 (0.20–0.77),0.50,0.85,0.57
Quilicura,13125,Metropolitana,195,392.7,"1,573,746",12.4 (10.7–14.3),0.50 (0.43–0.57),0.50,0.99,0.61
Carahue,9102,La Araucanía,14,32.7,"152,975",9.2 (5.0–15.4),0.43 (0.23–0.72),0.49,0.89,0.55
Los Vilos,4203,Coquimbo,13,30.8,"142,555",9.1 (4.9–15.6),0.42 (0.22–0.72),0.49,0.88,0.58
Rinconada,5303,Valparaíso,6,16.7,"69,284",8.7 (3.2–18.8),0.36 (0.13–0.78),0.49,0.80,0.55
Petorca,5404,Valparaíso,<5,12.6,"63,498",6.3 (1.7–16.1),0.32 (0.09–0.81),0.49,0.75,0.53
María Elena,2302,Antofagasta,<5,8.7,"40,119",5.0 (0.6–18.0),0.23 (0.03–0.83),0.48,0.68,0.55
Rengo,6115,O'Higgins,38,84.7,"386,916",9.8 (7.0–13.5),0.45 (0.32–0.62),0.47,0.95,0.48
San Pedro,13505,Metropolitana,5,15.3,"73,021",6.8 (2.2–16.0),0.33 (0.11–0.76),0.47,0.79,0.53
Coinco,6103,O'Higgins,<5,9.2,"47,421",4.2 (0.5–15.2),0.22 (0.03–0.78),0.46,0.69,0.49
Machalí,6108,O'Higgins,40,92.4,"370,438",10.8 (7.7–14.7),0.43 (0.31–0.59),0.46,0.96,0.57
Tirúa,8207,Biobío,5,15.9,"66,302",7.5 (2.4–17.6),0.31 (0.10–0.73),0.45,0.80,0.58
Codegua,6102,O'Higgins,6,18.6,"85,767",7.0 (2.6–15.2),0.32 (0.12–0.70),0.44,0.82,0.52
Quinta de Tilcoco,6114,O'Higgins,5,16.6,"84,178",5.9 (1.9–13.9),0.30 (0.10–0.70),0.44,0.80,0.48
Ancud,10202,Los Lagos,20,51.0,"254,878",7.8 (4.8–12.1),0.39 (0.24–0.61),0.44,0.93,0.37
Paiguano,4105,Coquimbo,0,5.3,"28,122",0.0 (0.0–13.1),0.00 (0.00–0.70),0.44,0.56,0.46
Empedrado,7104,Maule,0,5.3,"25,161",0.0 (0.0–14.7),0.00 (0.00–0.70),0.44,0.56,0.48
Melipeuco,9110,La Araucanía,<5,7.6,"37,712",2.7 (0.1–14.8),0.13 (0.00–0.73),0.43,0.65,0.48
Peñaflor,13605,Metropolitana,61,145.6,"619,311",9.8 (7.5–12.7),0.42 (0.32–0.54),0.43,0.97,0.53
La Unión,14201,Los Ríos,19,49.4,"237,582",8.0 (4.8–12.5),0.38 (0.23–0.60),0.43,0.92,0.48
Santa María,5706,Valparaíso,7,21.9,"99,531",7.0 (2.8–14.5),0.32 (0.13–0.66),0.43,0.84,0.51
Maule,7105,Maule,42,104.3,"380,359",11.0 (8.0–14.9),0.40 (0.29–0.54),0.43,0.96,0.56
Licantén,7303,Maule,<5,8.0,"41,923",2.4 (0.1–13.3),0.13 (0.00–0.70),0.42,0.66,0.45
Panguipulli,14108,Los Ríos,17,46.4,"216,461",7.9 (4.6–12.6),0.37 (0.21–0.59),0.42,0.92,0.43
Illapel,4201,Coquimbo,15,42.3,"197,267",7.6 (4.3–12.5),0.35 (0.20–0.59),0.41,0.91,0.44
Teodoro Schmidt,9117,La Araucanía,5,18.5,"94,618",5.3 (1.7–12.3),0.27 (0.09–0.63),0.40,0.82,0.44
Curarrehue,9104,La Araucanía,<5,11.2,"46,973",4.3 (0.5–15.4),0.18 (0.02–0.65),0.40,0.73,0.49
Diego de Almagro,3202,Atacama,6,21.4,"85,089",7.1 (2.6–15.3),0.28 (0.10–0.61),0.40,0.84,0.53
Fresia,10104,Los Lagos,<5,14.2,"75,734",4.0 (0.8–11.6),0.21 (0.04–0.62),0.39,0.78,0.41
Chonchi,10203,Los Lagos,5,19.9,"96,649",5.2 (1.7–12.1),0.25 (0.08–0.59),0.38,0.83,0.43
Catemu,5702,Valparaíso,5,19.9,"92,392",5.4 (1.8–12.6),0.25 (0.08–0.59),0.38,0.83,0.44
La Reina,13113,Metropolitana,42,118.6,"598,773",7.0 (5.1–9.5),0.35 (0.26–0.48),0.38,0.97,0.34
Río Bueno,14204,Los Ríos,12,38.9,"197,693",6.1 (3.1–10.6),0.31 (0.16–0.54),0.37,0.90,0.41
Peumo,6112,O'Higgins,<5,18.0,"89,872",4.5 (1.2–11.4),0.22 (0.06–0.57),0.37,0.81,0.41
San Vicente,6117,O'Higgins,20,62.5,"307,450",6.5 (4.0–10.0),0.32 (0.20–0.49),0.36,0.94,0.36
Maullín,10108,Los Lagos,<5,15.9,"88,996",3.4 (0.7–9.9),0.19 (0.04–0.55),0.36,0.79,0.36
Pichidegua,6113,O'Higgins,6,24.4,"125,199",4.8 (1.8–10.4),0.25 (0.09–0.54),0.35,0.86,0.38
Padre Hurtado,13604,Metropolitana,36,110.4,"462,018",7.8 (5.5–10.8),0.33 (0.23–0.45),0.35,0.96,0.41
Malloa,6109,O'Higgins,<5,16.8,"85,276",3.5 (0.7–10.3),0.18 (0.04–0.52),0.34,0.80,0.37
Colina,13301,Metropolitana,99,304.4,"1,119,792",8.8 (7.2–10.8),0.33 (0.26–0.40),0.33,0.99,0.47
Salamanca,4204,Coquimbo,9,37.4,"176,460",5.1 (2.3–9.7),0.24 (0.11–0.46),0.32,0.90,0.37
Zapallar,5405,Valparaíso,0,9.3,"48,803",0.0 (0.0–7.6),0.00 (0.00–0.40),0.31,0.69,0.32
Chañaral,3201,Atacama,<5,19.3,"78,624",3.8 (0.8–11.2),0.16 (0.03–0.45),0.30,0.82,0.34
Caldera,3102,Atacama,5,27.7,"117,757",4.2 (1.4–9.9),0.18 (0.06–0.42),0.29,0.87,0.36
Canela,4202,Coquimbo,0,10.4,"57,180",0.0 (0.0–6.5),0.00 (0.00–0.35),0.28,0.72,0.29
Lo Barnechea,13115,Metropolitana,30,198.2,"759,414",4.0 (2.7–5.6),0.15 (0.10–0.22),0.17,0.98,0.23
Las Condes,13114,Metropolitana,55,354.7,"2,012,720",2.7 (2.1–3.6),0.16 (0.12–0.20),0.16,0.99,0.14
Vitacura,13132,Metropolitana,14,113.6,"580,577",2.4 (1.3–4.0),0.12 (0.07–0.21),0.15,0.97,0.15
