Series,Panel,Activity,Code position,2019,2020,2021,2022,2023,2024
Strict autism F84.0 (pre-specified series),"Observed annual panel (65, 65, 65, 65, 68 and 72)",Other modalities (2019 only),Secondary only,171; 145.0 (124.1–168.5),0; n/e (n/e),0; n/e (n/e),0; n/e (n/e),0; n/e (n/e),0; n/e (n/e)
Strict autism F84.0 (pre-specified series),"Observed annual panel (65, 65, 65, 65, 68 and 72)",Other modalities (2019 only),Principal and secondary,0; 0.0 (0.0–3.1),0; n/e (n/e),0; n/e (n/e),0; n/e (n/e),0; n/e (n/e),0; n/e (n/e)
Strict autism F84.0 (pre-specified series),Fixed panel of 65 hospitals,All activities,Any position,"1,400; 121.6 (115.3–128.1)","1,084; 138.6 (130.5–147.1)","1,848; 226.2 (216.0–236.8)","3,061; 328.1 (316.6–340.0)","5,286; 515.7 (501.9–529.8)","7,042; 671.5 (655.9–687.4)"
Strict autism F84.0 (pre-specified series),Fixed panel of 65 hospitals,All activities,F84 principal,150; 13.0 (11.0–15.3),114; 14.6 (12.0–17.5),139; 17.0 (14.3–20.1),202; 21.7 (18.8–24.9),251; 24.5 (21.6–27.7),272; 25.9 (22.9–29.2)
Strict autism F84.0 (pre-specified series),Fixed panel of 65 hospitals,All activities,Secondary only,"1,250; 108.6 (102.6–114.7)",970; 124.1 (116.4–132.1),"1,709; 209.2 (199.4–219.4)","2,859; 306.5 (295.4–317.9)","5,035; 491.2 (477.7–505.0)","6,770; 645.6 (630.3–661.1)"
Strict autism F84.0 (pre-specified series),Fixed panel of 65 hospitals,All activities,Principal and secondary,0; 0.0 (0.0–0.3),0; 0.0 (0.0–0.5),0; 0.0 (0.0–0.5),0; 0.0 (0.0–0.4),0; 0.0 (0.0–0.4),0; 0.0 (0.0–0.4)
Strict autism F84.0 (pre-specified series),Fixed panel of 65 hospitals,Strict hospitalisation,Any position,"1,111; 125.3 (118.0–132.9)","1,025; 146.0 (137.2–155.2)","1,698; 237.8 (226.6–249.4)","2,759; 354.6 (341.5–368.1)","4,710; 563.3 (547.3–579.6)","6,063; 715.9 (697.9–734.1)"
Strict autism F84.0 (pre-specified series),Fixed panel of 65 hospitals,Strict hospitalisation,F84 principal,133; 15.0 (12.6–17.8),112; 15.9 (13.1–19.2),139; 19.5 (16.4–23.0),202; 26.0 (22.5–29.8),251; 30.0 (26.4–34.0),272; 32.1 (28.4–36.2)
Strict autism F84.0 (pre-specified series),Fixed panel of 65 hospitals,Strict hospitalisation,Secondary only,978; 110.3 (103.5–117.4),913; 130.0 (121.7–138.7),"1,559; 218.4 (207.6–229.5)","2,557; 328.6 (316.0–341.6)","4,459; 533.3 (517.7–549.1)","5,791; 683.7 (666.2–701.6)"
Strict autism F84.0 (pre-specified series),Fixed panel of 65 hospitals,Strict hospitalisation,Principal and secondary,0; 0.0 (0.0–0.4),0; 0.0 (0.0–0.5),0; 0.0 (0.0–0.5),0; 0.0 (0.0–0.5),0; 0.0 (0.0–0.4),0; 0.0 (0.0–0.4)
Strict autism F84.0 (pre-specified series),Fixed panel of 65 hospitals,Major ambulatory surgery,Any position,102; 69.4 (56.6–84.3),59; 74.1 (56.4–95.6),150; 145.7 (123.3–171.0),302; 195.1 (173.7–218.4),576; 305.0 (280.6–331.0),979; 485.3 (455.3–516.6)
Strict autism F84.0 (pre-specified series),Fixed panel of 65 hospitals,Major ambulatory surgery,F84 principal,1; 0.7 (0.0–3.8),2; 2.5 (0.3–9.1),0; 0.0 (0.0–3.6),0; 0.0 (0.0–2.4),0; 0.0 (0.0–2.0),0; 0.0 (0.0–1.8)
Strict autism F84.0 (pre-specified series),Fixed panel of 65 hospitals,Major ambulatory surgery,Secondary only,101; 68.7 (56.0–83.5),57; 71.6 (54.2–92.7),150; 145.7 (123.3–171.0),302; 195.1 (173.7–218.4),576; 305.0 (280.6–331.0),979; 485.3 (455.3–516.6)
Strict autism F84.0 (pre-specified series),Fixed panel of 65 hospitals,Major ambulatory surgery,Principal and secondary,0; 0.0 (0.0–2.5),0; 0.0 (0.0–4.6),0; 0.0 (0.0–3.6),0; 0.0 (0.0–2.4),0; 0.0 (0.0–2.0),0; 0.0 (0.0–1.8)
Strict autism F84.0 (pre-specified series),Fixed panel of 65 hospitals,Other modalities (2019 only),Any position,187; 158.6 (136.7–183.0),0; n/e (n/e),0; n/e (n/e),0; n/e (n/e),0; n/e (n/e),0; n/e (n/e)
Strict autism F84.0 (pre-specified series),Fixed panel of 65 hospitals,Other modalities (2019 only),F84 principal,16; 13.6 (7.8–22.0),0; n/e (n/e),0; n/e (n/e),0; n/e (n/e),0; n/e (n/e),0; n/e (n/e)
Strict autism F84.0 (pre-specified series),Fixed panel of 65 hospitals,Other modalities (2019 only),Secondary only,171; 145.0 (124.1–168.5),0; n/e (n/e),0; n/e (n/e),0; n/e (n/e),0; n/e (n/e),0; n/e (n/e)
Strict autism F84.0 (pre-specified series),Fixed panel of 65 hospitals,Other modalities (2019 only),Principal and secondary,0; 0.0 (0.0–3.1),0; n/e (n/e),0; n/e (n/e),0; n/e (n/e),0; n/e (n/e),0; n/e (n/e)
