Indicator,Period,Events,Comunas with zero,Comunas with no report,Gini index,"Events in the top decile, %",Theil index,Between regions,Within regions,"Between regions, %",Top-decile / bottom-decile ratio
REM A05 entries ⚠,2021,"4,948",110,110,0.481,33.8%,0.346,0.116,0.230,33.5%,23.7
REM A05 entries ⚠,2022,"8,004",73,73,0.451,32.8%,0.333,0.123,0.210,37.0%,21.7
REM A05 entries ⚠,2023,"12,086",48,48,0.407,28.8%,0.271,0.085,0.186,31.4%,19.6
REM A05 entries ⚠,2024,"14,873",38,38,0.364,25.7%,0.214,0.063,0.152,29.2%,13.4
REM A05 entries ⚠,2025,"15,669",96,96,0.467,29.3%,0.234,0.075,0.159,32.1%,15.6
REM A05 entries ⚠,2021–2025,"55,580",16,16,0.358,26.1%,0.215,0.076,0.139,35.6%,12.9
REM P2 December ⚠,2019,"1,854",126,126,0.613,39.2%,0.490,0.190,0.300,38.7%,74.9
REM P2 December ⚠,2020,"1,919",143,143,0.639,41.9%,0.514,0.203,0.312,39.4%,116.9
REM P2 December ⚠,2021,"3,853",87,87,0.591,40.7%,0.512,0.235,0.277,45.9%,63.4
REM P2 December ⚠,2022,"7,923",51,51,0.474,32.1%,0.314,0.137,0.177,43.7%,24.3
REM P2 December ⚠,2023,"13,190",41,41,0.425,26.7%,0.256,0.079,0.176,31.0%,19.7
REM P2 December ⚠,2024,"21,737",36,36,0.411,25.7%,0.234,0.064,0.170,27.3%,19.6
REM P2 December ⚠,2025,"29,974",24,24,0.378,24.9%,0.246,0.071,0.176,28.7%,37.1
REM P2 December ⚠,2019–2025,"80,450",12,12,0.379,24.5%,0.245,0.091,0.154,37.2%,36.3
REM P6 primary ⚠,2021,"6,237",61,61,0.500,35.1%,0.424,0.163,0.261,38.5%,36.2
REM P6 primary ⚠,2022,"10,298",44,44,0.496,33.7%,0.411,0.151,0.260,36.8%,35.3
REM P6 primary ⚠,2023,"14,895",24,24,0.461,33.8%,0.369,0.180,0.189,48.8%,35.4
REM P6 primary ⚠,2024,"20,911",19,19,0.421,31.4%,0.315,0.143,0.171,45.6%,21.4
REM P6 primary ⚠,2025,"27,319",15,15,0.413,29.9%,0.292,0.112,0.180,38.3%,24.3
REM P6 primary ⚠,2021–2025,"79,660",11,11,0.400,29.0%,0.275,0.134,0.141,48.8%,20.2
REM P6 specialty ⚠,2021,"9,163",245,244,0.655,46.7%,0.505,0.101,0.405,19.9%,41.8
REM P6 specialty ⚠,2022,"10,719",245,245,0.666,47.6%,0.578,0.124,0.454,21.5%,72.7
REM P6 specialty ⚠,2023,"13,653",238,238,0.634,47.5%,0.567,0.119,0.448,21.0%,48.1
REM P6 specialty ⚠,2024,"15,304",234,234,0.593,39.5%,0.416,0.124,0.292,29.8%,43.8
REM P6 specialty ⚠,2025,"20,365",226,226,0.617,45.6%,0.488,0.117,0.371,24.0%,42.0
REM P6 specialty ⚠,2021–2025,"69,204",219,219,0.590,41.3%,0.435,0.110,0.325,25.3%,47.3
APS enrolment ⚠,2019,"13,777,051",21,21,0.156,14.3%,0.042,0.007,0.035,16.8%,3.5
APS enrolment ⚠,2020,"13,885,509",15,15,0.160,14.5%,0.045,0.008,0.036,18.4%,3.6
APS enrolment ⚠,2021,"14,100,841",14,14,0.161,14.6%,0.045,0.009,0.036,19.8%,3.6
APS enrolment ⚠,2022,"14,522,464",10,10,0.160,14.6%,0.044,0.009,0.035,20.8%,3.6
APS enrolment ⚠,2023,"15,051,673",10,10,0.155,14.4%,0.042,0.008,0.034,19.3%,3.3
APS enrolment ⚠,2024,"15,353,689",8,8,0.152,14.4%,0.041,0.008,0.032,20.1%,3.3
APS enrolment ⚠,2025,"15,791,862",9,9,0.149,14.3%,0.038,0.008,0.031,20.0%,3.2
APS enrolment ⚠,2019–2025,"102,483,089",7,7,0.155,14.4%,0.042,0.008,0.034,19.6%,3.4
FONASA beneficiaries ⚠,2019,"14,628,760",0,0,0.118,13.3%,0.026,0.005,0.021,20.5%,2.5
FONASA beneficiaries ⚠,2020,"14,914,359",0,0,0.122,13.4%,0.028,0.006,0.021,23.1%,2.5
FONASA beneficiaries ⚠,2021,"15,038,626",0,0,0.122,13.5%,0.028,0.007,0.021,24.4%,2.6
FONASA beneficiaries ⚠,2022,"15,447,864",0,0,0.120,13.4%,0.027,0.007,0.020,25.0%,2.5
FONASA beneficiaries ⚠,2023,"16,058,254",0,0,0.116,13.4%,0.026,0.006,0.020,23.6%,2.5
FONASA beneficiaries ⚠,2024,"16,559,298",0,0,0.116,13.4%,0.025,0.006,0.019,23.2%,2.4
FONASA beneficiaries ⚠,2025,"16,952,469",0,0,0.115,13.4%,0.025,0.006,0.019,23.8%,2.3
FONASA beneficiaries ⚠,2019–2025,"109,599,630",0,0,0.117,13.3%,0.026,0.006,0.020,23.5%,2.4
REM-20 discharges ⚠,2019,"1,065,092",175,175,0.533,30.8%,0.163,0.019,0.145,11.5%,9.9
REM-20 discharges ⚠,2020,"836,287",173,173,0.527,30.1%,0.165,0.015,0.150,9.3%,10.1
REM-20 discharges ⚠,2021,"861,500",174,174,0.525,30.7%,0.157,0.015,0.142,9.7%,9.5
REM-20 discharges ⚠,2022,"927,210",175,175,0.533,31.1%,0.163,0.019,0.144,11.9%,10.3
REM-20 discharges ⚠,2023,"994,127",174,174,0.528,30.5%,0.163,0.019,0.144,11.7%,10.4
REM-20 discharges ⚠,2024,"1,007,697",175,175,0.527,30.4%,0.158,0.019,0.140,11.8%,9.8
REM-20 discharges ⚠,2025,"1,024,024",175,175,0.527,30.3%,0.158,0.021,0.137,13.2%,9.8
REM-20 discharges ⚠,2019–2025,"6,715,937",172,172,0.527,30.4%,0.170,0.018,0.152,10.8%,11.5
