Year,Sex,Age band (years),DEIS discharges,F84 in DIAG1,"Per 100,000 discharges (95% CI)"
2024,Both sexes,40–49,"187,077",4,2.1 (0.6 to 5.5)
2024,Both sexes,50–59,"193,165",4,2.1 (0.6 to 5.3)
2024,Both sexes,60–69,"232,673",1,0.4 (0.0 to 2.4)
2024,Both sexes,70–79,"196,510",2,1.0 (0.1 to 3.7)
2024,Both sexes,80+,"140,818",0,0.0 (0.0 to 2.6)
2024,Both sexes,<1,"55,505",4,7.2 (2.0 to 18.5)
2024,Males,TOTAL,"704,881",423,60.0 (54.4 to 66.0)
2024,Females,TOTAL,"934,086",247,26.4 (23.2 to 30.0)
2024,SUPRIMIDO,TOTAL,"28,382",8,28.2 (12.2 to 55.5)
2024,Both sexes,TOTAL,"1,667,349",678,40.7 (37.7 to 43.8)
