Flow,Category,Code,Sex,Age group,2019,2020,2021,2022,2023,2024,2025
Exits,Variant PDD family (sum of codes),05990027+05990028+05990030+05990031,Females,10–14,n/e,n/e,89 (387),98 (492),210 (587),384 (725),383 (675)
Exits,Variant PDD family (sum of codes),05990027+05990028+05990030+05990031,Females,15–19,n/e,n/e,63 (387),76 (492),197 (587),366 (725),375 (675)
Exits,Variant PDD family (sum of codes),05990027+05990028+05990030+05990031,Females,20–24,n/e,n/e,16 (387),21 (492),38 (587),143 (725),75 (675)
Exits,Variant PDD family (sum of codes),05990027+05990028+05990030+05990031,Females,25–29,n/e,n/e,15 (387),5 (492),32 (587),48 (725),36 (675)
Exits,Variant PDD family (sum of codes),05990027+05990028+05990030+05990031,Females,30–34,n/e,n/e,11 (387),8 (492),18 (587),58 (725),25 (675)
Exits,Variant PDD family (sum of codes),05990027+05990028+05990030+05990031,Females,35–39,n/e,n/e,13 (387),2 (492),10 (587),36 (725),23 (675)
Exits,Variant PDD family (sum of codes),05990027+05990028+05990030+05990031,Females,40–44,n/e,n/e,15 (387),2 (492),10 (587),34 (725),8 (675)
Exits,Variant PDD family (sum of codes),05990027+05990028+05990030+05990031,Females,45–49,n/e,n/e,10 (387),5 (492),10 (587),15 (725),10 (675)
Exits,Variant PDD family (sum of codes),05990027+05990028+05990030+05990031,Females,50–54,n/e,n/e,10 (387),1 (492),6 (587),10 (725),6 (675)
Exits,Variant PDD family (sum of codes),05990027+05990028+05990030+05990031,Females,55–59,n/e,n/e,11 (387),6 (492),8 (587),18 (725),6 (675)
Exits,Variant PDD family (sum of codes),05990027+05990028+05990030+05990031,Females,60–64,n/e,n/e,15 (387),3 (492),6 (587),25 (725),7 (675)
Exits,Variant PDD family (sum of codes),05990027+05990028+05990030+05990031,Females,65–69,n/e,n/e,9 (387),46 (492),6 (587),9 (725),5 (675)
Exits,Variant PDD family (sum of codes),05990027+05990028+05990030+05990031,Females,70–74,n/e,n/e,6 (387),1 (492),0 (587),11 (725),9 (675)
Exits,Variant PDD family (sum of codes),05990027+05990028+05990030+05990031,Females,75–79,n/e,n/e,0 (387),0 (492),2 (587),2 (725),3 (675)
Exits,Variant PDD family (sum of codes),05990027+05990028+05990030+05990031,Females,80+,n/e,n/e,4 (387),0 (492),2 (587),1 (725),1 (675)
Exits,Variant PDD family (sum of codes),05990027+05990028+05990030+05990031,Females,Total,n/e,n/e,407 (387),447 (492),834 (587),"1,581 (725)","1,403 (675)"
Entries,Autism (single code),05990022,Males,0–4,n/e,n/e,408 (449),753 (658),841 (920),"942 (1,070)",940 (952)
Entries,Autism (single code),05990022,Males,5–9,n/e,n/e,637 (449),"1,488 (658)","2,489 (920)","3,431 (1,070)","3,538 (952)"
Entries,Autism (single code),05990022,Males,10–14,n/e,n/e,316 (449),726 (658),"1,371 (920)","2,153 (1,070)","2,484 (952)"
Entries,Autism (single code),05990022,Males,15–19,n/e,n/e,192 (449),344 (658),755 (920),"1,116 (1,070)","1,267 (952)"
Entries,Autism (single code),05990022,Males,20–24,n/e,n/e,29 (449),86 (658),143 (920),"266 (1,070)",309 (952)
Entries,Autism (single code),05990022,Males,25–29,n/e,n/e,19 (449),25 (658),59 (920),"106 (1,070)",136 (952)
Entries,Autism (single code),05990022,Males,30–34,n/e,n/e,13 (449),18 (658),27 (920),"62 (1,070)",80 (952)
Entries,Autism (single code),05990022,Males,35–39,n/e,n/e,5 (449),12 (658),19 (920),"29 (1,070)",49 (952)
Entries,Autism (single code),05990022,Males,40–44,n/e,n/e,3 (449),3 (658),9 (920),"23 (1,070)",23 (952)
Entries,Autism (single code),05990022,Males,45–49,n/e,n/e,1 (449),4 (658),11 (920),"11 (1,070)",15 (952)
Entries,Autism (single code),05990022,Males,50–54,n/e,n/e,1 (449),1 (658),5 (920),"9 (1,070)",11 (952)
Entries,Autism (single code),05990022,Males,55–59,n/e,n/e,0 (449),1 (658),2 (920),"8 (1,070)",2 (952)
Entries,Autism (single code),05990022,Males,60–64,n/e,n/e,0 (449),1 (658),2 (920),"6 (1,070)",7 (952)
Entries,Autism (single code),05990022,Males,65–69,n/e,n/e,0 (449),1 (658),0 (920),"2 (1,070)",2 (952)
Entries,Autism (single code),05990022,Males,70–74,n/e,n/e,0 (449),0 (658),0 (920),"0 (1,070)",4 (952)
Entries,Autism (single code),05990022,Males,75–79,n/e,n/e,0 (449),0 (658),0 (920),"0 (1,070)",0 (952)
Entries,Autism (single code),05990022,Males,80+,n/e,n/e,0 (449),3 (658),1 (920),"0 (1,070)",0 (952)
Entries,Autism (single code),05990022,Males,Total,n/e,n/e,"1,624 (449)","3,465 (658)","5,734 (920)","8,164 (1,070)","8,867 (952)"
