Flow,Category,Code,Sex,Age group,2019,2020,2021,2022,2023,2024,2025
Exits,Childhood disintegrative disorder,05990030,Males,20–24,n/e,n/e,0 (17),0 (15),0 (10),0 (8),0 (12)
Exits,Childhood disintegrative disorder,05990030,Males,25–29,n/e,n/e,0 (17),1 (15),0 (10),0 (8),0 (12)
Exits,Childhood disintegrative disorder,05990030,Males,30–34,n/e,n/e,0 (17),0 (15),0 (10),0 (8),0 (12)
Exits,Childhood disintegrative disorder,05990030,Males,35–39,n/e,n/e,0 (17),0 (15),0 (10),0 (8),0 (12)
Exits,Childhood disintegrative disorder,05990030,Males,40–44,n/e,n/e,0 (17),1 (15),0 (10),0 (8),0 (12)
Exits,Childhood disintegrative disorder,05990030,Males,45–49,n/e,n/e,0 (17),0 (15),0 (10),0 (8),0 (12)
Exits,Childhood disintegrative disorder,05990030,Males,50–54,n/e,n/e,0 (17),0 (15),0 (10),0 (8),0 (12)
Exits,Childhood disintegrative disorder,05990030,Males,55–59,n/e,n/e,1 (17),0 (15),0 (10),0 (8),0 (12)
Exits,Childhood disintegrative disorder,05990030,Males,60–64,n/e,n/e,0 (17),0 (15),0 (10),0 (8),0 (12)
Exits,Childhood disintegrative disorder,05990030,Males,65–69,n/e,n/e,0 (17),0 (15),0 (10),0 (8),0 (12)
Exits,Childhood disintegrative disorder,05990030,Males,70–74,n/e,n/e,0 (17),0 (15),0 (10),0 (8),0 (12)
Exits,Childhood disintegrative disorder,05990030,Males,75–79,n/e,n/e,0 (17),0 (15),0 (10),0 (8),0 (12)
Exits,Childhood disintegrative disorder,05990030,Males,80+,n/e,n/e,0 (17),0 (15),0 (10),0 (8),0 (12)
Exits,Childhood disintegrative disorder,05990030,Males,Total,n/e,n/e,6 (17),8 (15),3 (10),4 (8),7 (12)
Exits,Childhood disintegrative disorder,05990030,Females,0–4,n/e,n/e,0 (17),0 (15),0 (10),0 (8),0 (12)
Exits,Childhood disintegrative disorder,05990030,Females,5–9,n/e,n/e,0 (17),1 (15),1 (10),0 (8),1 (12)
Exits,Childhood disintegrative disorder,05990030,Females,10–14,n/e,n/e,5 (17),0 (15),0 (10),0 (8),1 (12)
Exits,Childhood disintegrative disorder,05990030,Females,15–19,n/e,n/e,1 (17),0 (15),0 (10),1 (8),1 (12)
Exits,Childhood disintegrative disorder,05990030,Females,20–24,n/e,n/e,0 (17),1 (15),0 (10),0 (8),1 (12)
Exits,Childhood disintegrative disorder,05990030,Females,25–29,n/e,n/e,2 (17),1 (15),0 (10),0 (8),2 (12)
Exits,Childhood disintegrative disorder,05990030,Females,30–34,n/e,n/e,0 (17),1 (15),1 (10),0 (8),1 (12)
Exits,Childhood disintegrative disorder,05990030,Females,35–39,n/e,n/e,2 (17),0 (15),0 (10),1 (8),2 (12)
Exits,Childhood disintegrative disorder,05990030,Females,40–44,n/e,n/e,0 (17),1 (15),0 (10),2 (8),0 (12)
Exits,Childhood disintegrative disorder,05990030,Females,45–49,n/e,n/e,1 (17),1 (15),0 (10),0 (8),0 (12)
Exits,Childhood disintegrative disorder,05990030,Females,50–54,n/e,n/e,0 (17),0 (15),0 (10),0 (8),0 (12)
Exits,Childhood disintegrative disorder,05990030,Females,55–59,n/e,n/e,1 (17),0 (15),0 (10),0 (8),0 (12)
Exits,Childhood disintegrative disorder,05990030,Females,60–64,n/e,n/e,0 (17),0 (15),0 (10),0 (8),0 (12)
Exits,Childhood disintegrative disorder,05990030,Females,65–69,n/e,n/e,0 (17),12 (15),0 (10),0 (8),0 (12)
Exits,Childhood disintegrative disorder,05990030,Females,70–74,n/e,n/e,0 (17),0 (15),0 (10),0 (8),1 (12)
Exits,Childhood disintegrative disorder,05990030,Females,75–79,n/e,n/e,0 (17),0 (15),0 (10),0 (8),0 (12)
Exits,Childhood disintegrative disorder,05990030,Females,80+,n/e,n/e,0 (17),0 (15),1 (10),0 (8),0 (12)
Exits,Childhood disintegrative disorder,05990030,Females,Total,n/e,n/e,12 (17),18 (15),3 (10),4 (8),10 (12)
Exits,Other and unspecified PDD,05990031,Males,0–4,n/e,n/e,44 (226),46 (236),58 (280),45 (269),16 (217)
Exits,Other and unspecified PDD,05990031,Males,5–9,n/e,n/e,170 (226),143 (236),144 (280),141 (269),123 (217)
Exits,Other and unspecified PDD,05990031,Males,10–14,n/e,n/e,133 (226),120 (236),124 (280),163 (269),106 (217)
Exits,Other and unspecified PDD,05990031,Males,15–19,n/e,n/e,89 (226),87 (236),105 (280),125 (269),120 (217)
Exits,Other and unspecified PDD,05990031,Males,20–24,n/e,n/e,27 (226),21 (236),21 (280),56 (269),25 (217)
Exits,Other and unspecified PDD,05990031,Males,25–29,n/e,n/e,8 (226),7 (236),9 (280),23 (269),16 (217)
Exits,Other and unspecified PDD,05990031,Males,30–34,n/e,n/e,4 (226),3 (236),4 (280),9 (269),5 (217)
Exits,Other and unspecified PDD,05990031,Males,35–39,n/e,n/e,4 (226),2 (236),2 (280),22 (269),5 (217)
Exits,Other and unspecified PDD,05990031,Males,40–44,n/e,n/e,2 (226),2 (236),0 (280),9 (269),0 (217)
Exits,Other and unspecified PDD,05990031,Males,45–49,n/e,n/e,0 (226),0 (236),4 (280),6 (269),1 (217)
Exits,Other and unspecified PDD,05990031,Males,50–54,n/e,n/e,4 (226),1 (236),1 (280),9 (269),1 (217)
Exits,Other and unspecified PDD,05990031,Males,55–59,n/e,n/e,1 (226),0 (236),4 (280),2 (269),1 (217)
Exits,Other and unspecified PDD,05990031,Males,60–64,n/e,n/e,2 (226),1 (236),0 (280),7 (269),0 (217)
Exits,Other and unspecified PDD,05990031,Males,65–69,n/e,n/e,1 (226),0 (236),0 (280),1 (269),1 (217)
Exits,Other and unspecified PDD,05990031,Males,70–74,n/e,n/e,0 (226),0 (236),0 (280),0 (269),2 (217)
Exits,Other and unspecified PDD,05990031,Males,75–79,n/e,n/e,2 (226),1 (236),0 (280),0 (269),0 (217)
Exits,Other and unspecified PDD,05990031,Males,80+,n/e,n/e,3 (226),1 (236),0 (280),0 (269),0 (217)
Exits,Other and unspecified PDD,05990031,Males,Total,n/e,n/e,493 (226),435 (236),476 (280),616 (269),422 (217)
Exits,Other and unspecified PDD,05990031,Females,0–4,n/e,n/e,18 (226),12 (236),22 (280),19 (269),6 (217)
Exits,Other and unspecified PDD,05990031,Females,5–9,n/e,n/e,49 (226),38 (236),47 (280),47 (269),44 (217)
Exits,Other and unspecified PDD,05990031,Females,10–14,n/e,n/e,41 (226),38 (236),67 (280),69 (269),56 (217)
Exits,Other and unspecified PDD,05990031,Females,15–19,n/e,n/e,30 (226),24 (236),60 (280),93 (269),76 (217)
Exits,Other and unspecified PDD,05990031,Females,20–24,n/e,n/e,3 (226),7 (236),12 (280),64 (269),14 (217)
Exits,Other and unspecified PDD,05990031,Females,25–29,n/e,n/e,8 (226),1 (236),14 (280),22 (269),7 (217)
Exits,Other and unspecified PDD,05990031,Females,30–34,n/e,n/e,4 (226),2 (236),3 (280),35 (269),1 (217)
Exits,Other and unspecified PDD,05990031,Females,35–39,n/e,n/e,9 (226),1 (236),4 (280),23 (269),3 (217)
Exits,Other and unspecified PDD,05990031,Females,40–44,n/e,n/e,10 (226),1 (236),4 (280),20 (269),1 (217)
Exits,Other and unspecified PDD,05990031,Females,45–49,n/e,n/e,5 (226),3 (236),4 (280),12 (269),1 (217)
Exits,Other and unspecified PDD,05990031,Females,50–54,n/e,n/e,8 (226),1 (236),2 (280),4 (269),1 (217)
Exits,Other and unspecified PDD,05990031,Females,55–59,n/e,n/e,8 (226),2 (236),3 (280),15 (269),2 (217)
Exits,Other and unspecified PDD,05990031,Females,60–64,n/e,n/e,14 (226),2 (236),1 (280),20 (269),4 (217)
Exits,Other and unspecified PDD,05990031,Females,65–69,n/e,n/e,9 (226),14 (236),1 (280),7 (269),1 (217)
Exits,Other and unspecified PDD,05990031,Females,70–74,n/e,n/e,5 (226),1 (236),0 (280),7 (269),1 (217)
Exits,Other and unspecified PDD,05990031,Females,75–79,n/e,n/e,0 (226),0 (236),0 (280),0 (269),1 (217)
Exits,Other and unspecified PDD,05990031,Females,80+,n/e,n/e,4 (226),0 (236),1 (280),0 (269),0 (217)
Exits,Other and unspecified PDD,05990031,Females,Total,n/e,n/e,225 (226),147 (236),245 (280),457 (269),219 (217)
