ICD-10 category (3 characters),2019,2020,2021,2022,2023,2024,Total 2019–2024
F31 — Bipolar affective disorder,13 (0.6%),9 (0.6%),19 (0.8%),37 (1.0%),85 (1.3%),147 (1.7%),310
F70 — Mild mental retardation,31 (1.3%),25 (1.6%),28 (1.2%),49 (1.3%),54 (0.8%),122 (1.4%),309
F50 — Eating disorders,11 (0.5%),4 (0.2%),23 (1.0%),46 (1.2%),84 (1.3%),140 (1.6%),308
K56 — Paralytic ileus and intestinal obstruction without hernia,21 (0.9%),13 (0.8%),34 (1.4%),53 (1.4%),95 (1.5%),92 (1.1%),308
Z82 — Family history of certain disabilities and chronic diseases,23 (1.0%),24 (1.5%),22 (0.9%),43 (1.1%),71 (1.1%),123 (1.4%),306
Z90,22 (0.9%),22 (1.4%),22 (0.9%),33 (0.9%),85 (1.3%),121 (1.4%),305
F83 — Mixed specific developmental disorders,13 (0.6%),6 (0.4%),29 (1.2%),51 (1.3%),78 (1.2%),123 (1.4%),300
J00,14 (0.6%),6 (0.4%),14 (0.6%),40 (1.0%),113 (1.8%),113 (1.3%),300
F20 — Schizophrenia,36 (1.5%),25 (1.6%),31 (1.3%),32 (0.8%),68 (1.1%),105 (1.2%),297
R73,12 (0.5%),13 (0.8%),33 (1.4%),45 (1.2%),57 (0.9%),130 (1.5%),290
M41 — Scoliosis,33 (1.4%),14 (0.9%),44 (1.9%),37 (1.0%),78 (1.2%),80 (0.9%),286
Q02,60 (2.6%),39 (2.4%),24 (1.0%),45 (1.2%),46 (0.7%),71 (0.8%),285
"Z53 — Persons encountering health services for specific procedures, not carried out",36 (1.5%),19 (1.2%),21 (0.9%),53 (1.4%),68 (1.1%),83 (1.0%),280
D69 — Purpura and other haemorrhagic conditions,18 (0.8%),16 (1.0%),32 (1.4%),34 (0.9%),69 (1.1%),105 (1.2%),274
K80 — Cholelithiasis,18 (0.8%),17 (1.1%),20 (0.8%),46 (1.2%),77 (1.2%),92 (1.1%),270
G93 — Other disorders of brain,23 (1.0%),20 (1.2%),40 (1.7%),49 (1.3%),52 (0.8%),84 (1.0%),268
W18 — Other fall on same level,30 (1.3%),21 (1.3%),21 (0.9%),47 (1.2%),57 (0.9%),82 (0.9%),258
"Z99 — Dependence on enabling machines and devices, not elsewhere classified",48 (2.1%),17 (1.1%),18 (0.8%),30 (0.8%),60 (0.9%),83 (1.0%),256
D50 — Iron deficiency anaemia,23 (1.0%),21 (1.3%),26 (1.1%),33 (0.9%),65 (1.0%),83 (1.0%),251
Z74 — Problems related to care-provider dependency,13 (0.6%),18 (1.1%),28 (1.2%),47 (1.2%),64 (1.0%),81 (0.9%),251
K76,11 (0.5%),24 (1.5%),26 (1.1%),36 (0.9%),56 (0.9%),95 (1.1%),248
F72 — Severe mental retardation,36 (1.5%),30 (1.9%),27 (1.1%),38 (1.0%),49 (0.8%),66 (0.8%),246
F29 — Unspecified nonorganic psychosis,21 (0.9%),17 (1.1%),22 (0.9%),26 (0.7%),60 (0.9%),99 (1.1%),245
E10 — Insulin-dependent diabetes mellitus,16 (0.7%),20 (1.2%),27 (1.1%),51 (1.3%),51 (0.8%),77 (0.9%),242
E83,11 (0.5%),22 (1.4%),29 (1.2%),49 (1.3%),52 (0.8%),74 (0.8%),237
S51,7 (0.3%),4 (0.2%),11 (0.5%),20 (0.5%),82 (1.3%),111 (1.3%),235
Z13,48 (2.1%),17 (1.1%),28 (1.2%),36 (0.9%),43 (0.7%),58 (0.7%),230
Q87 — Other specified congenital malformation syndromes affecting multiple systems,28 (1.2%),21 (1.3%),22 (0.9%),35 (0.9%),43 (0.7%),79 (0.9%),228
S52 — Fracture of forearm,18 (0.8%),19 (1.2%),21 (0.9%),43 (1.1%),50 (0.8%),75 (0.9%),226
