ICD-10 category (3 characters),2019,2020,2021,2022,2023,2024,Total 2019–2024
C62,10 (0.4%),0 (0.0%),3 (0.1%),8 (0.2%),7 (0.1%),5 (0.1%),33
H47,1 (0.0%),4 (0.2%),9 (0.4%),3 (0.1%),5 (0.1%),11 (0.1%),33
L92,3 (0.1%),1 (0.1%),4 (0.2%),6 (0.2%),10 (0.2%),9 (0.1%),33
C92,2 (0.1%),3 (0.2%),5 (0.2%),7 (0.2%),4 (0.1%),12 (0.1%),33
I31,3 (0.1%),2 (0.1%),3 (0.1%),3 (0.1%),5 (0.1%),17 (0.2%),33
D17,3 (0.1%),1 (0.1%),5 (0.2%),2 (0.1%),6 (0.1%),16 (0.2%),33
S32 — Fracture of lumbar spine and pelvis,0 (0.0%),1 (0.1%),4 (0.2%),6 (0.2%),5 (0.1%),17 (0.2%),33
C83,1 (0.0%),4 (0.2%),3 (0.1%),3 (0.1%),14 (0.2%),7 (0.1%),32
G95,3 (0.1%),2 (0.1%),8 (0.3%),3 (0.1%),3 (0.0%),13 (0.1%),32
W13,4 (0.2%),5 (0.3%),1 (0.0%),7 (0.2%),7 (0.1%),8 (0.1%),32
M32,0 (0.0%),2 (0.1%),8 (0.3%),6 (0.2%),4 (0.1%),12 (0.1%),32
M35,1 (0.0%),0 (0.0%),2 (0.1%),4 (0.1%),10 (0.2%),15 (0.2%),32
X69,0 (0.0%),0 (0.0%),2 (0.1%),1 (0.0%),10 (0.2%),19 (0.2%),32
F28,2 (0.1%),2 (0.1%),2 (0.1%),5 (0.1%),7 (0.1%),14 (0.2%),32
N62,4 (0.2%),1 (0.1%),2 (0.1%),5 (0.1%),9 (0.1%),11 (0.1%),32
N50,2 (0.1%),1 (0.1%),7 (0.3%),3 (0.1%),13 (0.2%),6 (0.1%),32
Z11,3 (0.1%),26 (1.6%),3 (0.1%),0 (0.0%),0 (0.0%),0 (0.0%),32
L98,3 (0.1%),1 (0.1%),3 (0.1%),5 (0.1%),6 (0.1%),14 (0.2%),32
A02,1 (0.0%),3 (0.2%),6 (0.3%),5 (0.1%),9 (0.1%),8 (0.1%),32
Q68,0 (0.0%),1 (0.1%),1 (0.0%),6 (0.2%),12 (0.2%),12 (0.1%),32
W07,2 (0.1%),6 (0.4%),2 (0.1%),3 (0.1%),3 (0.0%),15 (0.2%),31
S27,1 (0.0%),3 (0.2%),5 (0.2%),7 (0.2%),3 (0.0%),12 (0.1%),31
J11,0 (0.0%),0 (0.0%),2 (0.1%),5 (0.1%),11 (0.2%),13 (0.1%),31
L83,3 (0.1%),0 (0.0%),5 (0.2%),2 (0.1%),6 (0.1%),15 (0.2%),31
N92,2 (0.1%),4 (0.2%),3 (0.1%),2 (0.1%),6 (0.1%),14 (0.2%),31
M93,0 (0.0%),1 (0.1%),3 (0.1%),3 (0.1%),10 (0.2%),14 (0.2%),31
F38,1 (0.0%),0 (0.0%),1 (0.0%),6 (0.2%),8 (0.1%),15 (0.2%),31
H05,0 (0.0%),0 (0.0%),3 (0.1%),6 (0.2%),9 (0.1%),13 (0.1%),31
G09,3 (0.1%),5 (0.3%),1 (0.0%),3 (0.1%),11 (0.2%),8 (0.1%),31
J05 — Acute obstructive laryngitis [croup] and epiglottitis,1 (0.0%),0 (0.0%),2 (0.1%),4 (0.1%),9 (0.1%),14 (0.2%),30
H70,3 (0.1%),1 (0.1%),0 (0.0%),2 (0.1%),9 (0.1%),15 (0.2%),30
F78,4 (0.2%),3 (0.2%),5 (0.2%),6 (0.2%),5 (0.1%),7 (0.1%),30
D66,2 (0.1%),1 (0.1%),5 (0.2%),5 (0.1%),6 (0.1%),11 (0.1%),30
G90,3 (0.1%),0 (0.0%),1 (0.0%),7 (0.2%),7 (0.1%),12 (0.1%),30
I34,1 (0.0%),1 (0.1%),1 (0.0%),4 (0.1%),7 (0.1%),16 (0.2%),30
E84,0 (0.0%),0 (0.0%),2 (0.1%),4 (0.1%),17 (0.3%),7 (0.1%),30
Q76,2 (0.1%),1 (0.1%),2 (0.1%),5 (0.1%),8 (0.1%),12 (0.1%),30
I67,0 (0.0%),1 (0.1%),3 (0.1%),8 (0.2%),9 (0.1%),9 (0.1%),30
S92,0 (0.0%),1 (0.1%),3 (0.1%),5 (0.1%),9 (0.1%),12 (0.1%),30
T51,1 (0.0%),1 (0.1%),3 (0.1%),7 (0.2%),9 (0.1%),8 (0.1%),29
L01,4 (0.2%),2 (0.1%),4 (0.2%),2 (0.1%),6 (0.1%),11 (0.1%),29
T25,1 (0.0%),4 (0.2%),2 (0.1%),3 (0.1%),4 (0.1%),15 (0.2%),29
I82,1 (0.0%),6 (0.4%),5 (0.2%),3 (0.1%),6 (0.1%),8 (0.1%),29
S81,3 (0.1%),0 (0.0%),1 (0.0%),5 (0.1%),6 (0.1%),14 (0.2%),29
H02,1 (0.0%),2 (0.1%),7 (0.3%),6 (0.2%),3 (0.0%),10 (0.1%),29
Y07,1 (0.0%),0 (0.0%),5 (0.2%),0 (0.0%),5 (0.1%),18 (0.2%),29
K82,1 (0.0%),1 (0.1%),1 (0.0%),2 (0.1%),8 (0.1%),16 (0.2%),29
G97,1 (0.0%),2 (0.1%),5 (0.2%),0 (0.0%),10 (0.2%),11 (0.1%),29
K60,4 (0.2%),2 (0.1%),0 (0.0%),2 (0.1%),9 (0.1%),12 (0.1%),29
Z35,0 (0.0%),1 (0.1%),2 (0.1%),0 (0.0%),9 (0.1%),17 (0.2%),29
E72,2 (0.1%),3 (0.2%),2 (0.1%),5 (0.1%),9 (0.1%),7 (0.1%),28
R07,0 (0.0%),3 (0.2%),4 (0.2%),7 (0.2%),9 (0.1%),5 (0.1%),28
Q26,2 (0.1%),2 (0.1%),2 (0.1%),3 (0.1%),8 (0.1%),11 (0.1%),28
Y60,2 (0.1%),4 (0.2%),4 (0.2%),3 (0.1%),3 (0.0%),12 (0.1%),28
Z30,3 (0.1%),4 (0.2%),2 (0.1%),3 (0.1%),7 (0.1%),9 (0.1%),28
X49,0 (0.0%),2 (0.1%),4 (0.2%),4 (0.1%),7 (0.1%),11 (0.1%),28
B27,2 (0.1%),2 (0.1%),3 (0.1%),3 (0.1%),8 (0.1%),10 (0.1%),28
I45,2 (0.1%),1 (0.1%),5 (0.2%),1 (0.0%),4 (0.1%),14 (0.2%),27
H55,5 (0.2%),1 (0.1%),3 (0.1%),6 (0.2%),4 (0.1%),8 (0.1%),27
M54,1 (0.0%),1 (0.1%),4 (0.2%),1 (0.0%),6 (0.1%),14 (0.2%),27
Q64,0 (0.0%),2 (0.1%),2 (0.1%),1 (0.0%),10 (0.2%),12 (0.1%),27
Q86,8 (0.3%),5 (0.3%),5 (0.2%),5 (0.1%),2 (0.0%),2 (0.0%),27
O70,0 (0.0%),2 (0.1%),1 (0.0%),4 (0.1%),5 (0.1%),15 (0.2%),27
I63,1 (0.0%),3 (0.2%),1 (0.0%),3 (0.1%),6 (0.1%),13 (0.1%),27
M60,3 (0.1%),2 (0.1%),2 (0.1%),5 (0.1%),7 (0.1%),8 (0.1%),27
M30,3 (0.1%),3 (0.2%),4 (0.2%),4 (0.1%),1 (0.0%),12 (0.1%),27
Y45,1 (0.0%),2 (0.1%),0 (0.0%),8 (0.2%),9 (0.1%),7 (0.1%),27
"F07 — Personality and behavioural disorders due to brain disease, damage and dysfunction",0 (0.0%),4 (0.2%),4 (0.2%),8 (0.2%),4 (0.1%),7 (0.1%),27
I25,1 (0.0%),2 (0.1%),2 (0.1%),8 (0.2%),5 (0.1%),9 (0.1%),27
E74,2 (0.1%),1 (0.1%),6 (0.3%),2 (0.1%),6 (0.1%),9 (0.1%),26
J84,3 (0.1%),1 (0.1%),4 (0.2%),5 (0.1%),8 (0.1%),5 (0.1%),26
K81,2 (0.1%),1 (0.1%),4 (0.2%),5 (0.1%),5 (0.1%),9 (0.1%),26
D53,0 (0.0%),0 (0.0%),3 (0.1%),4 (0.1%),13 (0.2%),6 (0.1%),26
H26 — Other cataract,6 (0.3%),2 (0.1%),2 (0.1%),6 (0.2%),4 (0.1%),6 (0.1%),26
"R47 — Speech disturbances, not elsewhere classified",2 (0.1%),3 (0.2%),2 (0.1%),2 (0.1%),7 (0.1%),10 (0.1%),26
Q12,5 (0.2%),1 (0.1%),1 (0.0%),4 (0.1%),4 (0.1%),11 (0.1%),26
T29,4 (0.2%),1 (0.1%),2 (0.1%),4 (0.1%),6 (0.1%),9 (0.1%),26
G21,3 (0.1%),3 (0.2%),4 (0.2%),4 (0.1%),8 (0.1%),4 (0.0%),26
B01,6 (0.3%),0 (0.0%),2 (0.1%),3 (0.1%),4 (0.1%),11 (0.1%),26
L53,1 (0.0%),2 (0.1%),2 (0.1%),3 (0.1%),9 (0.1%),9 (0.1%),26
H61,2 (0.1%),3 (0.2%),7 (0.3%),5 (0.1%),3 (0.0%),6 (0.1%),26
L28,3 (0.1%),1 (0.1%),5 (0.2%),2 (0.1%),6 (0.1%),9 (0.1%),26
R52,1 (0.0%),1 (0.1%),2 (0.1%),13 (0.3%),5 (0.1%),4 (0.0%),26
E21,0 (0.0%),3 (0.2%),1 (0.0%),0 (0.0%),7 (0.1%),15 (0.2%),26
S71,0 (0.0%),0 (0.0%),1 (0.0%),2 (0.1%),7 (0.1%),15 (0.2%),25
D22,3 (0.1%),2 (0.1%),2 (0.1%),2 (0.1%),7 (0.1%),9 (0.1%),25
Z04 — Examination and observation for other reasons,5 (0.2%),4 (0.2%),1 (0.0%),1 (0.0%),0 (0.0%),14 (0.2%),25
K11,3 (0.1%),2 (0.1%),4 (0.2%),1 (0.0%),8 (0.1%),7 (0.1%),25
K83,0 (0.0%),4 (0.2%),5 (0.2%),4 (0.1%),7 (0.1%),5 (0.1%),25
Z09,2 (0.1%),0 (0.0%),7 (0.3%),3 (0.1%),2 (0.0%),11 (0.1%),25
D59,1 (0.0%),5 (0.3%),2 (0.1%),7 (0.2%),6 (0.1%),4 (0.0%),25
B36,4 (0.2%),1 (0.1%),4 (0.2%),5 (0.1%),4 (0.1%),7 (0.1%),25
K44,3 (0.1%),2 (0.1%),3 (0.1%),2 (0.1%),5 (0.1%),10 (0.1%),25
G11,3 (0.1%),1 (0.1%),5 (0.2%),4 (0.1%),5 (0.1%),7 (0.1%),25
G31,6 (0.3%),2 (0.1%),3 (0.1%),6 (0.2%),4 (0.1%),4 (0.0%),25
F25 — Schizoaffective disorders,0 (0.0%),0 (0.0%),2 (0.1%),5 (0.1%),6 (0.1%),12 (0.1%),25
C41,0 (0.0%),3 (0.2%),0 (0.0%),0 (0.0%),15 (0.2%),7 (0.1%),25
A38,2 (0.1%),2 (0.1%),2 (0.1%),2 (0.1%),3 (0.0%),14 (0.2%),25
K08 — Other disorders of teeth and supporting structures,4 (0.2%),4 (0.2%),1 (0.0%),3 (0.1%),4 (0.1%),8 (0.1%),24
W02,0 (0.0%),5 (0.3%),5 (0.2%),2 (0.1%),5 (0.1%),7 (0.1%),24
V49,1 (0.0%),2 (0.1%),4 (0.2%),3 (0.1%),4 (0.1%),10 (0.1%),24
X11,1 (0.0%),2 (0.1%),2 (0.1%),2 (0.1%),7 (0.1%),10 (0.1%),24
D16,1 (0.0%),2 (0.1%),1 (0.0%),1 (0.0%),9 (0.1%),10 (0.1%),24
K37,0 (0.0%),4 (0.2%),2 (0.1%),7 (0.2%),2 (0.0%),9 (0.1%),24
"R48 — Dyslexia and other symbolic dysfunctions, not elsewhere classified",0 (0.0%),0 (0.0%),2 (0.1%),0 (0.0%),10 (0.2%),12 (0.1%),24
E80,1 (0.0%),2 (0.1%),4 (0.2%),2 (0.1%),6 (0.1%),9 (0.1%),24
Q78,4 (0.2%),0 (0.0%),0 (0.0%),3 (0.1%),4 (0.1%),13 (0.1%),24
G96 — Other disorders of central nervous system,7 (0.3%),2 (0.1%),2 (0.1%),1 (0.0%),5 (0.1%),7 (0.1%),24
M20,2 (0.1%),1 (0.1%),3 (0.1%),1 (0.0%),11 (0.2%),6 (0.1%),24
A86,0 (0.0%),1 (0.1%),2 (0.1%),8 (0.2%),4 (0.1%),9 (0.1%),24
T17 — Foreign body in respiratory tract,3 (0.1%),5 (0.3%),3 (0.1%),1 (0.0%),5 (0.1%),6 (0.1%),23
K25,1 (0.0%),2 (0.1%),1 (0.0%),3 (0.1%),8 (0.1%),8 (0.1%),23
G61,3 (0.1%),1 (0.1%),2 (0.1%),2 (0.1%),9 (0.1%),6 (0.1%),23
O36,1 (0.0%),0 (0.0%),1 (0.0%),2 (0.1%),8 (0.1%),11 (0.1%),23
H35,1 (0.0%),6 (0.4%),2 (0.1%),3 (0.1%),5 (0.1%),6 (0.1%),23
Q92,2 (0.1%),2 (0.1%),0 (0.0%),0 (0.0%),3 (0.0%),16 (0.2%),23
R74,1 (0.0%),1 (0.1%),1 (0.0%),1 (0.0%),6 (0.1%),13 (0.1%),23
W25,4 (0.2%),2 (0.1%),2 (0.1%),6 (0.2%),6 (0.1%),3 (0.0%),23
R25,2 (0.1%),3 (0.2%),1 (0.0%),2 (0.1%),3 (0.0%),12 (0.1%),23
H60,2 (0.1%),1 (0.1%),2 (0.1%),4 (0.1%),7 (0.1%),7 (0.1%),23
F66,0 (0.0%),0 (0.0%),1 (0.0%),2 (0.1%),10 (0.2%),10 (0.1%),23
Z38,1 (0.0%),2 (0.1%),1 (0.0%),3 (0.1%),3 (0.0%),13 (0.1%),23
J36,0 (0.0%),1 (0.1%),1 (0.0%),1 (0.0%),3 (0.0%),16 (0.2%),22
S31,1 (0.0%),1 (0.1%),1 (0.0%),4 (0.1%),7 (0.1%),8 (0.1%),22
R23,5 (0.2%),2 (0.1%),4 (0.2%),2 (0.1%),1 (0.0%),8 (0.1%),22
K38,2 (0.1%),1 (0.1%),4 (0.2%),3 (0.1%),5 (0.1%),7 (0.1%),22
O24,1 (0.0%),2 (0.1%),2 (0.1%),2 (0.1%),8 (0.1%),7 (0.1%),22
T54,0 (0.0%),1 (0.1%),2 (0.1%),2 (0.1%),6 (0.1%),11 (0.1%),22
Q69,4 (0.2%),1 (0.1%),1 (0.0%),6 (0.2%),3 (0.0%),7 (0.1%),22
E24,0 (0.0%),1 (0.1%),2 (0.1%),2 (0.1%),5 (0.1%),12 (0.1%),22
Q17,0 (0.0%),0 (0.0%),3 (0.1%),3 (0.1%),6 (0.1%),10 (0.1%),22
I77,0 (0.0%),1 (0.1%),2 (0.1%),4 (0.1%),5 (0.1%),10 (0.1%),22
M89,0 (0.0%),3 (0.2%),3 (0.1%),4 (0.1%),6 (0.1%),6 (0.1%),22
X40,2 (0.1%),2 (0.1%),7 (0.3%),5 (0.1%),3 (0.0%),2 (0.0%),21
B98,0 (0.0%),0 (0.0%),1 (0.0%),7 (0.2%),6 (0.1%),7 (0.1%),21
I61,1 (0.0%),2 (0.1%),4 (0.2%),3 (0.1%),5 (0.1%),6 (0.1%),21
X59,9 (0.4%),8 (0.5%),4 (0.2%),0 (0.0%),0 (0.0%),0 (0.0%),21
S11,2 (0.1%),0 (0.0%),1 (0.0%),6 (0.2%),4 (0.1%),8 (0.1%),21
E05,1 (0.0%),2 (0.1%),4 (0.2%),2 (0.1%),1 (0.0%),11 (0.1%),21
J80,2 (0.1%),2 (0.1%),3 (0.1%),6 (0.2%),6 (0.1%),2 (0.0%),21
J47,2 (0.1%),1 (0.1%),1 (0.0%),4 (0.1%),3 (0.0%),10 (0.1%),21
O42,1 (0.0%),1 (0.1%),2 (0.1%),2 (0.1%),6 (0.1%),9 (0.1%),21
X80,0 (0.0%),0 (0.0%),1 (0.0%),4 (0.1%),6 (0.1%),10 (0.1%),21
M00,1 (0.0%),1 (0.1%),2 (0.1%),4 (0.1%),9 (0.1%),4 (0.0%),21
S36,1 (0.0%),4 (0.2%),3 (0.1%),3 (0.1%),6 (0.1%),3 (0.0%),20
D58,2 (0.1%),2 (0.1%),4 (0.2%),5 (0.1%),3 (0.0%),4 (0.0%),20
S22,0 (0.0%),2 (0.1%),3 (0.1%),4 (0.1%),4 (0.1%),7 (0.1%),20
T44,1 (0.0%),1 (0.1%),5 (0.2%),4 (0.1%),2 (0.0%),7 (0.1%),20
I28,0 (0.0%),1 (0.1%),1 (0.0%),6 (0.2%),7 (0.1%),5 (0.1%),20
S05,1 (0.0%),2 (0.1%),0 (0.0%),4 (0.1%),6 (0.1%),7 (0.1%),20
F30,0 (0.0%),0 (0.0%),0 (0.0%),2 (0.1%),3 (0.0%),15 (0.2%),20
T63,0 (0.0%),1 (0.1%),5 (0.2%),3 (0.1%),3 (0.0%),8 (0.1%),20
