Panel,Series,Code,Definition era,Measure,Year,Value,Unit,Reporting establishments,Stable-panel establishments,Stable-panel total
d,A05 Discharges: PDD family,05990027+05990028+05990030+05990031,2021–2025,annual sum of months (flow),2022,"1,799",clinical discharges reported,492,186,920
d,A05 Discharges: PDD family,05990027+05990028+05990030+05990031,2021–2025,annual sum of months (flow),2023,"2,975",clinical discharges reported,587,186,"1,560"
d,A05 Discharges: PDD family,05990027+05990028+05990030+05990031,2021–2025,annual sum of months (flow),2024,"4,872",clinical discharges reported,725,186,"1,643"
d,A05 Discharges: PDD family,05990027+05990028+05990030+05990031,2021–2025,annual sum of months (flow),2025,"4,449",clinical discharges reported,675,186,"2,195"
e,P2 December stock,P2500500,2019–2025,December stock,2019,"1,854",people under control (stock),460,193,"1,040"
e,P2 December stock,P2500500,2019–2025,December stock,2020,"1,919",people under control (stock),400,193,"1,154"
e,P2 December stock,P2500500,2019–2025,December stock,2021,"3,853",people under control (stock),640,193,"1,748"
e,P2 December stock,P2500500,2019–2025,December stock,2022,"7,923",people under control (stock),897,193,"2,997"
e,P2 December stock,P2500500,2019–2025,December stock,2023,"13,190",people under control (stock),"1,012",193,"4,711"
e,P2 December stock,P2500500,2019–2025,December stock,2024,"21,737",people under control (stock),"1,218",193,"6,849"
e,P2 December stock,P2500500,2019–2025,December stock,2025,"29,974",people under control (stock),"1,325",193,"9,128"
e,P2 June stock (sensitivity),P2500500,2019–2025,June stock (sensitivity),2019,"1,502",people under control (stock),374,13,102
e,P2 June stock (sensitivity),P2500500,2019–2025,June stock (sensitivity),2020,172,people under control (stock),28,13,122
e,P2 June stock (sensitivity),P2500500,2019–2025,June stock (sensitivity),2021,"2,434",people under control (stock),475,13,138
e,P2 June stock (sensitivity),P2500500,2019–2025,June stock (sensitivity),2022,"5,364",people under control (stock),765,13,260
e,P2 June stock (sensitivity),P2500500,2019–2025,June stock (sensitivity),2023,"10,523",people under control (stock),980,13,487
e,P2 June stock (sensitivity),P2500500,2019–2025,June stock (sensitivity),2024,"17,743",people under control (stock),"1,168",13,582
e,P2 June stock (sensitivity),P2500500,2019–2025,June stock (sensitivity),2025,"26,195",people under control (stock),"1,256",13,"1,373"
e,P2 NANEAS total,P2501878,2023–2025,December stock,2023,"59,907",people under control (stock),"1,187",907,"52,901"
e,P2 NANEAS total,P2501878,2023–2025,December stock,2024,"77,081",people under control (stock),"1,293",907,"67,127"
e,P2 NANEAS total,P2501878,2023–2025,December stock,2025,"100,789",people under control (stock),"1,394",907,"84,833"
f,P6 Primary care: broad PDD,P6223000,2019–2020,December stock,2019,"5,520",people under control (stock),727,594,"4,837"
f,P6 Primary care: broad PDD,P6223000,2019–2020,December stock,2020,"5,185",people under control (stock),695,594,"4,752"
f,P6 Specialty: broad PDD,P6223380,2019–2020,December stock,2019,"6,624",people under control (stock),111,104,"6,087"
f,P6 Specialty: broad PDD,P6223380,2019–2020,December stock,2020,"6,905",people under control (stock),121,104,"6,250"
f,P6 Primary care: strict autism,P6241010,2021–2025,December stock,2021,"2,257",people under control (stock),482,353,"1,853"
f,P6 Primary care: strict autism,P6241010,2021–2025,December stock,2022,"5,042",people under control (stock),704,353,"3,629"
f,P6 Primary care: strict autism,P6241010,2021–2025,December stock,2023,"9,717",people under control (stock),956,353,"6,359"
f,P6 Primary care: strict autism,P6241010,2021–2025,December stock,2024,"15,934",people under control (stock),"1,160",353,"9,152"
