Variable,Category,2019,2020,2021,2022,2023,2024,All GRD episodes 2024
SERVICIO_SALUD,CHILOÉ,18 (0.8%),11 (0.7%),14 (0.6%),15 (0.4%),45 (0.7%),63 (0.7%),"9,090 (0.8%)"
SERVICIO_SALUD,UNKNOWN,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),5 (0.1%),4 (0.0%),593 (0.1%)
SERVICIO_SALUD,NOT APPLICABLE,0 (0.0%),0 (0.0%),1 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
NACIONALIDAD,CHILE,"2,267 (97.1%)","1,591 (98.9%)","2,321 (98.1%)","3,794 (98.3%)","6,245 (97.2%)","8,541 (97.8%)","1,019,656 (93.9%)"
NACIONALIDAD,VENEZUELA (BOLIVARIAN REPUBLIC OF),16 (0.7%),12 (0.7%),30 (1.3%),39 (1.0%),118 (1.8%),87 (1.0%),"24,788 (2.3%)"
NACIONALIDAD,PERU,5 (0.2%),0 (0.0%),4 (0.2%),9 (0.2%),19 (0.3%),37 (0.4%),"10,428 (1.0%)"
NACIONALIDAD,BOLIVIA (PLURINATIONAL STATE OF),6 (0.3%),1 (0.1%),5 (0.2%),5 (0.1%),23 (0.4%),22 (0.3%),"11,680 (1.1%)"
NACIONALIDAD,COLOMBIA,2 (0.1%),2 (0.1%),0 (0.0%),5 (0.1%),9 (0.1%),18 (0.2%),"8,255 (0.8%)"
NACIONALIDAD,UNKNOWN,31 (1.3%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
NACIONALIDAD,ECUADOR,0 (0.0%),1 (0.1%),0 (0.0%),3 (0.1%),2 (0.0%),6 (0.1%),"2,266 (0.2%)"
NACIONALIDAD,HAITI,2 (0.1%),1 (0.1%),1 (0.0%),0 (0.0%),4 (0.1%),4 (0.0%),"4,383 (0.4%)"
NACIONALIDAD,BULGARIA,0 (0.0%),0 (0.0%),0 (0.0%),1 (0.0%),1 (0.0%),4 (0.0%),143 (0.0%)
NACIONALIDAD,EUROPE,0 (0.0%),0 (0.0%),2 (0.1%),2 (0.1%),0 (0.0%),0 (0.0%),175 (0.0%)
NACIONALIDAD,PARAGUAY,1 (0.0%),0 (0.0%),1 (0.0%),0 (0.0%),0 (0.0%),1 (0.0%),307 (0.0%)
NACIONALIDAD,MEXICO,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),2 (0.0%),100 (0.0%)
