Block,Definition era,Region of the establishment,2019,2020,2021,2022,2023,2024,2025
"P6 · Specialty, broad PDD (2019–2020 era)",2019–2020,Ñuble,116 (3),223 (4),not reported,not reported,not reported,not reported,not reported
"P6 · Specialty, broad PDD (2019–2020 era)",2019–2020,Biobío,"1,271 (13)","1,035 (11)",not reported,not reported,not reported,not reported,not reported
"P6 · Specialty, broad PDD (2019–2020 era)",2019–2020,La Araucanía,423 (9),530 (10),not reported,not reported,not reported,not reported,not reported
"P6 · Specialty, broad PDD (2019–2020 era)",2019–2020,Los Ríos,73 (3),60 (3),not reported,not reported,not reported,not reported,not reported
"P6 · Specialty, broad PDD (2019–2020 era)",2019–2020,Los Lagos,153 (5),131 (9),not reported,not reported,not reported,not reported,not reported
"P6 · Specialty, broad PDD (2019–2020 era)",2019–2020,Aysén,88 (2),102 (2),not reported,not reported,not reported,not reported,not reported
"P6 · Specialty, broad PDD (2019–2020 era)",2019–2020,Magallanes,153 (1),164 (2),not reported,not reported,not reported,not reported,not reported
"P6 · Specialty, broad PDD (2019–2020 era)",2019–2020,Chile (national total),"6,624 (111)","6,905 (121)",not reported,not reported,not reported,not reported,not reported
"P6 · Specialty, variant F84 family (2021–2025 era)",2021–2025,Arica y Parinacota,not reported,not reported,157 (2),202 (2),161 (2),158 (2),158 (2)
"P6 · Specialty, variant F84 family (2021–2025 era)",2021–2025,Tarapacá,not reported,not reported,124 (3),175 (3),206 (3),195 (4),283 (4)
"P6 · Specialty, variant F84 family (2021–2025 era)",2021–2025,Antofagasta,not reported,not reported,468 (5),317 (4),468 (5),596 (4),703 (4)
"P6 · Specialty, variant F84 family (2021–2025 era)",2021–2025,Atacama,not reported,not reported,87 (2),17 (1),164 (2),296 (3),327 (3)
"P6 · Specialty, variant F84 family (2021–2025 era)",2021–2025,Coquimbo,not reported,not reported,184 (6),181 (6),204 (8),232 (9),250 (9)
"P6 · Specialty, variant F84 family (2021–2025 era)",2021–2025,Valparaíso,not reported,not reported,292 (10),332 (9),473 (11),590 (12),724 (15)
"P6 · Specialty, variant F84 family (2021–2025 era)",2021–2025,Metropolitana,not reported,not reported,"4,077 (47)","4,879 (52)","6,370 (55)","6,263 (56)","9,264 (55)"
"P6 · Specialty, variant F84 family (2021–2025 era)",2021–2025,O'Higgins,not reported,not reported,190 (8),239 (9),384 (9),362 (8),429 (10)
"P6 · Specialty, variant F84 family (2021–2025 era)",2021–2025,Maule,not reported,not reported,366 (7),546 (7),713 (9),877 (10),"1,337 (12)"
"P6 · Specialty, variant F84 family (2021–2025 era)",2021–2025,Ñuble,not reported,not reported,344 (4),365 (4),970 (5),934 (5),"1,120 (5)"
"P6 · Specialty, variant F84 family (2021–2025 era)",2021–2025,Biobío,not reported,not reported,"1,503 (12)","2,058 (12)","1,652 (10)","2,411 (14)","3,013 (16)"
"P6 · Specialty, variant F84 family (2021–2025 era)",2021–2025,La Araucanía,not reported,not reported,770 (9),701 (12),"1,094 (10)","1,161 (10)","1,505 (13)"
"P6 · Specialty, variant F84 family (2021–2025 era)",2021–2025,Los Ríos,not reported,not reported,74 (2),95 (2),105 (3),109 (3),250 (4)
"P6 · Specialty, variant F84 family (2021–2025 era)",2021–2025,Los Lagos,not reported,not reported,303 (10),231 (8),387 (12),640 (10),468 (11)
"P6 · Specialty, variant F84 family (2021–2025 era)",2021–2025,Aysén,not reported,not reported,117 (2),196 (2),75 (2),273 (5),289 (2)
"P6 · Specialty, variant F84 family (2021–2025 era)",2021–2025,Magallanes,not reported,not reported,107 (3),185 (1),227 (2),207 (3),245 (4)
"P6 · Specialty, variant F84 family (2021–2025 era)",2021–2025,Chile (national total),not reported,not reported,"9,163 (132)","10,719 (134)","13,653 (148)","15,304 (158)","20,365 (169)"
