Year,Level,Sex,Students; ASD cases,Weighted % (95% CI),Unweighted %,Weighted total; weighted population,Weight and design,Estimable
2024,Grade 5,Females,"78,911; 1,743",2.21 (2.11–2.32),2.21,"2,370; 107,042",EXP_REG; SE by Taylor linearisation with students as independent units (no strata or PSU in the dictionary; the school cluster is ignored); logit-scale 95% CI; weight EXP_REG,Yes
2024,Grade 5,Males,"86,622; 5,725",6.58 (6.42–6.75),6.61,"7,674; 116,622",EXP_REG; SE by Taylor linearisation with students as independent units (no strata or PSU in the dictionary; the school cluster is ignored); logit-scale 95% CI; weight EXP_REG,Yes
2024,Year 9,Both sexes,"184,963; n/e",n/e,n/e,n/e; n/e,EXP_REG; SE by Taylor linearisation with students as independent units (no strata or PSU in the dictionary; the school cluster is ignored); logit-scale 95% CI; weight EXP_REG,"No — Not estimable: variable D15_11 is entirely empty in the published file (184,963 rows), even though 52,563 carers answered Yes to the filter. It must not be read as zero. Weight EXP_REG is missing in 458 rows."
2024,Year 9,Females,"88,149; n/e",n/e,n/e,n/e; n/e,EXP_REG; SE by Taylor linearisation with students as independent units (no strata or PSU in the dictionary; the school cluster is ignored); logit-scale 95% CI; weight EXP_REG,"No — Not estimable: variable D15_11 is entirely empty in the published file (184,963 rows), even though 52,563 carers answered Yes to the filter. It must not be read as zero. Weight EXP_REG is missing in 458 rows."
2024,Year 9,Males,"96,812; n/e",n/e,n/e,n/e; n/e,EXP_REG; SE by Taylor linearisation with students as independent units (no strata or PSU in the dictionary; the school cluster is ignored); logit-scale 95% CI; weight EXP_REG,"No — Not estimable: variable D15_11 is entirely empty in the published file (184,963 rows), even though 52,563 carers answered Yes to the filter. It must not be read as zero. Weight EXP_REG is missing in 458 rows."
2024,Pre-school,Both sexes,"258,255; 17,641",6.74 (6.64–6.84),6.83,"24,344; 361,185",EXP_REG; SE by Taylor linearisation with students as independent units (no strata or PSU in the dictionary; the school cluster is ignored); logit-scale 95% CI; weight EXP_REG,Yes
2024,Pre-school,Females,"125,635; 4,421",3.48 (3.38–3.58),3.52,"6,087; 175,046",EXP_REG; SE by Taylor linearisation with students as independent units (no strata or PSU in the dictionary; the school cluster is ignored); logit-scale 95% CI; weight EXP_REG,Yes
2024,Pre-school,Males,"132,620; 13,220",9.81 (9.65–9.97),9.97,"18,257; 186,139",EXP_REG; SE by Taylor linearisation with students as independent units (no strata or PSU in the dictionary; the school cluster is ignored); logit-scale 95% CI; weight EXP_REG,Yes
2025,Grade 1,Both sexes,"148,970; 12,536",8.35 (8.20–8.49),8.42,"16,509; 197,819",EXP; SE by Taylor linearisation with students as independent units (no strata or PSU in the dictionary; the school cluster is ignored); logit-scale 95% CI; weight EXP,Yes
2025,Grade 1,Females,"72,288; 3,084",4.22 (4.08–4.37),4.27,"4,052; 95,949",EXP; SE by Taylor linearisation with students as independent units (no strata or PSU in the dictionary; the school cluster is ignored); logit-scale 95% CI; weight EXP,Yes
2025,Grade 1,Males,"76,682; 9,452",12.23 (12.00–12.47),12.33,"12,457; 101,871",EXP; SE by Taylor linearisation with students as independent units (no strata or PSU in the dictionary; the school cluster is ignored); logit-scale 95% CI; weight EXP,Yes
2025,Grade 5,Both sexes,"171,925; 9,887",5.71 (5.60–5.82),5.75,"13,389; 234,673",EXP; SE by Taylor linearisation with students as independent units (no strata or PSU in the dictionary; the school cluster is ignored); logit-scale 95% CI; weight EXP,Yes
2025,Grade 5,Females,"83,098; 2,448",2.93 (2.82–3.05),2.95,"3,331; 113,564",EXP; SE by Taylor linearisation with students as independent units (no strata or PSU in the dictionary; the school cluster is ignored); logit-scale 95% CI; weight EXP,Yes
2025,Grade 5,Males,"88,827; 7,439",8.31 (8.12–8.49),8.37,"10,058; 121,109",EXP; SE by Taylor linearisation with students as independent units (no strata or PSU in the dictionary; the school cluster is ignored); logit-scale 95% CI; weight EXP,Yes
2025,Year 9,Both sexes,"183,573; 9,164",5.03 (4.93–5.14),4.99,"13,018; 258,741",EXP; SE by Taylor linearisation with students as independent units (no strata or PSU in the dictionary; the school cluster is ignored); logit-scale 95% CI; weight EXP,Yes
2025,Year 9,Females,"87,948; 2,938",3.36 (3.24–3.49),3.34,"4,156; 123,641",EXP; SE by Taylor linearisation with students as independent units (no strata or PSU in the dictionary; the school cluster is ignored); logit-scale 95% CI; weight EXP,Yes
2025,Year 9,Males,"95,624; 6,225",6.56 (6.40–6.72),6.51,"8,861; 135,099",EXP; SE by Taylor linearisation with students as independent units (no strata or PSU in the dictionary; the school cluster is ignored); logit-scale 95% CI; weight EXP,Yes
2025,Pre-school,Both sexes,"239,332; 18,785",7.69 (7.58–7.80),7.85,"25,699; 334,102",EXP; SE by Taylor linearisation with students as independent units (no strata or PSU in the dictionary; the school cluster is ignored); logit-scale 95% CI; weight EXP,Yes
2025,Pre-school,Females,"116,700; 4,959",4.17 (4.06–4.29),4.25,"6,772; 162,284",EXP; SE by Taylor linearisation with students as independent units (no strata or PSU in the dictionary; the school cluster is ignored); logit-scale 95% CI; weight EXP,Yes
2025,Pre-school,Males,"122,632; 13,826",11.02 (10.84–11.19),11.27,"18,927; 171,818",EXP; SE by Taylor linearisation with students as independent units (no strata or PSU in the dictionary; the school cluster is ignored); logit-scale 95% CI; weight EXP,Yes
