Source,File,Manifest,Manifest SHA-256 (12),Observed SHA-256 (12),SHA match,Manifest bytes,Observed bytes,Bytes match,Manifest date,Manifest note
fonasa_aggregates,Resultados_202012.rar,Autism/metadata/download_manifest.csv,e364d6144fd0,e364d6144fd0,Yes,"3,964,279","3,964,279",Yes,2026-09-04,status=adopted; source_url=https://www.fonasa.cl/assets/datos-abiertos/Beneficiarios/Resultados%20Beneficiarios%20202012.rar
fonasa_aggregates,Resultados_202012.rar,FONASA/metadata/source_manifest.csv,e364d6144fd0,e364d6144fd0,Yes,"3,964,279","3,964,279",Yes,no date,no date in manifest (consolidated 2026-09-02 per data-root README)
fonasa_aggregates,Resultados_202112.rar,Autism/metadata/download_manifest.csv,804dacfb83a8,804dacfb83a8,Yes,"1,496,429","1,496,429",Yes,2026-09-04,status=adopted; source_url=https://www.fonasa.cl/assets/datos-abiertos/Beneficiarios/Resultados%20Beneficiarios%20202112.rar
fonasa_aggregates,Resultados_202112.rar,FONASA/metadata/source_manifest.csv,804dacfb83a8,804dacfb83a8,Yes,"1,496,429","1,496,429",Yes,no date,no date in manifest (consolidated 2026-09-02 per data-root README)
fonasa_aggregates,Resultados_202212.zip,Autism/metadata/download_manifest.csv,70311659098b,70311659098b,Yes,"2,521,984","2,521,984",Yes,2026-09-04,status=adopted; source_url=https://www.fonasa.cl/assets/datos-abiertos/Beneficiarios/Resultados%20Beneficiarios%20202212.zip
fonasa_aggregates,Resultados_202212.zip,FONASA/metadata/source_manifest.csv,70311659098b,70311659098b,Yes,"2,521,984","2,521,984",Yes,no date,no date in manifest (consolidated 2026-09-02 per data-root README)
fonasa_aggregates,Resultados_202312.zip,Autism/metadata/download_manifest.csv,7e2d584cee47,7e2d584cee47,Yes,"730,429","730,429",Yes,2026-09-04,status=adopted; source_url=https://www.fonasa.cl/assets/datos-abiertos/Beneficiarios/Resultados%20Beneficiarios%20202312.zip
fonasa_aggregates,Resultados_202312.zip,FONASA/metadata/source_manifest.csv,7e2d584cee47,7e2d584cee47,Yes,"730,429","730,429",Yes,no date,no date in manifest (consolidated 2026-09-02 per data-root README)
fonasa_aggregates,Resultados_202412.zip,Autism/metadata/download_manifest.csv,b4361ffe69e1,b4361ffe69e1,Yes,"1,082,516","1,082,516",Yes,2026-09-04,status=adopted; source_url=https://www.fonasa.cl/assets/datos-abiertos/Beneficiarios/Resultados%20Beneficiarios%20202412.zip
fonasa_aggregates,Resultados_202412.zip,FONASA/metadata/source_manifest.csv,b4361ffe69e1,b4361ffe69e1,Yes,"1,082,516","1,082,516",Yes,no date,no date in manifest (consolidated 2026-09-02 per data-root README)
