region,comuna,comuna_norm,hospitalizations,asr
Tarapacá,POZO ALMONTE,POZO ALMONTE,27,316.46
Valparaíso,ALGARROBO,ALGARROBO,10,158.06
Valparaíso,CABILDO,CABILDO,23,283.64
Valparaíso,CALERA,CALERA,53,257.12
Valparaíso,CALLE LARGA,CALLE LARGA,11,155.29
Valparaíso,CARTAGENA,CARTAGENA,23,247.02
Valparaíso,CASABLANCA,CASABLANCA,29,251.8
Valparaíso,CATEMU,CATEMU,5,83.6
Valparaíso,EL QUISCO,EL QUISCO,25,408.17
Valparaíso,EL TABO,EL TABO,10,234.13
Valparaíso,HIJUELAS,HIJUELAS,21,296.0
Valparaíso,LA CRUZ,LA CRUZ,20,182.42
Valparaíso,LA LIGUA,LA LIGUA,27,196.67
Valparaíso,LIMACHE,LIMACHE,41,211.12
Valparaíso,LLAILLAY,LLAILLAY,19,179.06
Valparaíso,LOS ANDES,LOS ANDES,77,297.28
Valparaíso,NOGALES,NOGALES,26,283.04
Valparaíso,OLMUÉ,OLMUE,17,251.85
Valparaíso,PANQUEHUE,PANQUEHUE,5,158.78
Valparaíso,PAPUDO,PAPUDO,9,391.72
Valparaíso,PETORCA,PETORCA,4,116.42
Valparaíso,PUCHUNCAVÍ,PUCHUNCAVI,18,233.96
Valparaíso,PUTAENDO,PUTAENDO,14,212.9
Valparaíso,QUILLOTA,QUILLOTA,153,408.3
Valparaíso,QUILPUE,QUILPUE,234,385.77
Valparaíso,QUINTERO,QUINTERO,44,291.24
Valparaíso,RINCONADA,RINCONADA,6,123.27
Valparaíso,SAN ANTONIO,SAN ANTONIO,128,344.35
Valparaíso,SAN ESTEBAN,SAN ESTEBAN,13,158.94
Valparaíso,SAN FELIPE,SAN FELIPE,84,251.43
Valparaíso,SANTA MARIA,SANTA MARIA,7,107.29
Valparaíso,SANTO DOMINGO,SANTO DOMINGO,10,205.74
Valparaíso,VALPARAISO,VALPARAISO,552,493.12
Valparaíso,VILLA ALEMANA,VILLA ALEMANA,173,317.26
Valparaíso,VIÑA DEL MAR,VINA DEL MAR,556,454.24
Ñuble,BULNES,BULNES,40,488.46
Ñuble,CHILLAN,CHILLAN,687,902.12
Ñuble,CHILLAN VIEJO,CHILLAN VIEJO,35,236.14
Ñuble,COBQUECURA,COBQUECURA,9,651.43
Ñuble,COELEMU,COELEMU,24,406.15
Ñuble,COIHUECO,COIHUECO,46,409.39
Ñuble,EL CARMEN,EL CARMEN,18,380.55
