year,age_group,sex,icd_code,hospitalizations
2019,50-54,Female,F82,1
2019,50-54,Female,F84.0,1
2019,50-54,Female,F84.5,1
2019,50-54,Male,F80,6
2019,50-54,Male,F81,1
2019,50-54,Male,F84.0,1
2019,50-54,Male,F84.1,1
2019,50-54,Male,F84.5,1
2019,55-59,Female,F80,3
2019,55-59,Female,F82,1
2019,55-59,Female,F84.0,3
2019,55-59,Female,F84.1,1
2019,55-59,Female,F84.9,1
2019,55-59,Female,F89,1
2019,55-59,Male,F80,9
2019,55-59,Male,F81,1
2019,55-59,Male,F82,1
2019,55-59,Male,F84.0,1
2019,55-59,Male,F84.5,1
2019,55-59,Male,F84.9,1
2019,55-59,Male,F89,1
2019,60-64,Female,F80,4
2019,60-64,Female,F82,1
2019,60-64,Female,F84.2,1
2019,60-64,Male,F80,9
2019,60-64,Male,F82,1
2019,60-64,Male,F84.0,2
2019,65-69,Female,F80,6
2019,65-69,Female,F81,1
2019,65-69,Female,F82,1
2019,65-69,Female,F84.0,1
2019,65-69,Male,F80,12
2019,65-69,Male,F84.5,1
2019,65-69,Male,F84.9,1
2019,70-74,Female,F80,8
2019,70-74,Male,F80,13
2019,70-74,Male,F82,1
2019,70-74,Male,F84.1,1
2019,75-79,Female,F80,9
2019,75-79,Female,F81,1
2019,75-79,Male,F80,7
2019,80+,Female,F80,9
2019,80+,Female,F82,1
2019,80+,Female,F90.0,1
2019,80+,Male,F80,14
2019,80+,Male,F81,2
2019,80+,Male,F84.5,1
2019,80+,Male,F88,1
2020,0-4,Female,F80,59
2020,0-4,Female,F81,1
2020,0-4,Female,F82,79
2020,0-4,Female,F83,37
2020,0-4,Female,F84.0,30
2020,0-4,Female,F84.2,3
2020,0-4,Female,F84.4,1
2020,0-4,Female,F84.5,1
2020,0-4,Female,F84.8,20
2020,0-4,Female,F84.9,30
2020,0-4,Female,F89,6
2020,0-4,Female,F90.0,4
2020,0-4,Female,F90.8,2
2020,0-4,Female,F90.9,2
2020,0-4,Male,F80,130
2020,0-4,Male,F82,105
2020,0-4,Male,F83,61
2020,0-4,Male,F84.0,134
2020,0-4,Male,F84.1,3
2020,0-4,Male,F84.3,2
2020,0-4,Male,F84.5,6
2020,0-4,Male,F84.8,27
2020,0-4,Male,F84.9,50
2020,0-4,Male,F89,7
2020,0-4,Male,F90.0,11
2020,0-4,Male,F90.9,7
2020,10-14,Female,F80,16
2020,10-14,Female,F81,21
2020,10-14,Female,F82,9
2020,10-14,Female,F83,6
2020,10-14,Female,F84.0,73
2020,10-14,Female,F84.1,3
2020,10-14,Female,F84.2,7
2020,10-14,Female,F84.4,2
2020,10-14,Female,F84.5,16
2020,10-14,Female,F84.8,3
2020,10-14,Female,F84.9,6
2020,10-14,Female,F88,2
2020,10-14,Female,F89,15
2020,10-14,Female,F90.0,81
2020,10-14,Female,F90.1,2
2020,10-14,Female,F90.9,2
2020,10-14,Male,F80,47
2020,10-14,Male,F81,28
2020,10-14,Male,F82,14
2020,10-14,Male,F83,9
2020,10-14,Male,F84.0,241
2020,10-14,Male,F84.1,5
2020,10-14,Male,F84.2,1
2020,10-14,Male,F84.4,1
2020,10-14,Male,F84.5,59
2020,10-14,Male,F84.8,7
2020,10-14,Male,F84.9,18
2020,10-14,Male,F88,6
2020,10-14,Male,F89,5
2020,10-14,Male,F90.0,256
2020,10-14,Male,F90.1,10
2020,10-14,Male,F90.8,5
2020,10-14,Male,F90.9,16
2020,15-19,Female,F80,7
2020,15-19,Female,F81,10
2020,15-19,Female,F82,4
2020,15-19,Female,F83,1
2020,15-19,Female,F84.0,38
2020,15-19,Female,F84.1,8
2020,15-19,Female,F84.2,2
2020,15-19,Female,F84.4,1
2020,15-19,Female,F84.5,11
2020,15-19,Female,F84.8,4
2020,15-19,Female,F84.9,1
2020,15-19,Female,F88,4
2020,15-19,Female,F89,11
2020,15-19,Female,F90.0,47
2020,15-19,Female,F90.8,1
2020,15-19,Female,F90.9,4
2020,15-19,Male,F80,9
2020,15-19,Male,F81,6
2020,15-19,Male,F82,20
2020,15-19,Male,F83,2
2020,15-19,Male,F84.0,136
2020,15-19,Male,F84.1,9
2020,15-19,Male,F84.3,1
2020,15-19,Male,F84.5,44
2020,15-19,Male,F84.8,5
